Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+7 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+7 Quarters,,
Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"22,378,000","2,005,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1549.079%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,-,-,-,-,-,-,-,-,"-37,928,000","13,597,000","11,945,000",-,"12,106,000","12,740,000","11,130,000","10,578,000","11,397,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,-,-,-,-,-,-,-,"37,928,000","-13,597,000","-11,945,000",-,"-12,106,000","-12,740,000","-11,130,000","11,800,000","-9,392,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,725,000","4,076,000","4,364,000","3,963,000","4,608,000","5,711,000","5,424,000","4,949,000","5,711,000","5,303,000","5,747,000","4,807,000","4,911,000","6,007,000","4,848,000","4,131,000","4,659,000","4,671,000","3,588,000","2,618,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"8,770,000","12,418,000","11,398,000","11,827,000","11,010,000","13,447,000","11,647,000","12,822,000","13,528,000","12,825,000","15,024,000","50,192,000",-,-,"12,386,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"12,495,000","16,494,000","15,762,000","15,790,000","15,618,000","19,158,000","17,071,000","17,771,000","19,239,000","18,128,000","20,771,000","54,999,000","4,911,000","6,007,000","17,234,000","4,131,000","4,659,000","4,671,000","3,588,000","2,618,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-12,495,000","-16,494,000","-15,762,000","-15,790,000","-15,618,000","-19,158,000","-17,071,000","-17,771,000","-19,239,000","-18,128,000","-20,771,000","-17,071,000","-18,508,000","-17,952,000","-17,234,000","-16,237,000","-17,399,000","-15,801,000","8,212,000","-12,010,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,"-77,000",-,-,-,"-183,000",-,-,-,"-209,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"955,000","1,090,000","1,197,000","1,323,000","1,317,000","1,299,000","975,000","471,000","321,000","201,000","167,000","209,000","577,000",-,"647,000","4,735,000",-,"1,293,000","1,457,000","1,292,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,-,-,"-35,000",-,"-3,776,000","1,032,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-11,540,000","-15,404,000","-14,565,000","-14,467,000","-14,301,000","-17,859,000","-16,096,000","-17,300,000","-18,918,000","-17,927,000","-20,604,000","-16,939,000","-17,931,000","-17,987,000","-16,587,000","-15,461,000","-16,367,000","-14,508,000","9,669,000","-10,927,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,"-2,542,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,"7,000","7,000","2,000",-,"1,000",-,"54,000",-,-,-,"64,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-11,540,000","-15,404,000","-17,107,000","-14,467,000","-14,301,000","-17,859,000","-16,096,000","-17,300,000","-18,911,000","-17,920,000","-20,602,000","-16,939,000","-17,930,000","-17,987,000","-16,533,000","-15,461,000","-16,367,000","-14,508,000","9,733,000","-10,927,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-11,540,000","-15,404,000","-17,107,000","-14,467,000","-14,301,000","-17,859,000","-16,096,000","-17,300,000","-18,911,000","-17,920,000","-20,602,000","-16,939,000","-17,930,000","-17,987,000","-16,533,000","-15,461,000","-16,367,000","-14,508,000","9,733,000","-10,927,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-11,540,000","-15,404,000","-17,107,000","-14,467,000","-14,301,000","-17,859,000","-16,096,000","-17,300,000","-18,911,000","-17,920,000","-20,602,000","-16,939,000","-17,930,000","-17,987,000","-16,533,000","-15,461,000","-16,367,000","-14,508,000","9,733,000","-10,927,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"27,975,840","27,972,744","27,903,040","27,902,371","27,839,968","27,828,741","27,774,536","27,774,023","27,748,844","27,744,762","27,708,768","27,640,853","27,615,038","27,610,398","27,597,426","27,555,658","27,547,737","27,518,129","27,506,927","24,954,187",Upgrade,Financials in USD,Fiscal year is January - December
