Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"85,164,000","168,338,000","164,579,000","275,111,000","122,694,000","156,700,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-41.371%,2.284%,-40.177%,124.225%,-21.701%,285.932%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"239,675,000","253,598,000","199,563,000","192,507,000","169,802,000","118,590,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-154,511,000","-85,260,000","-34,984,000","82,604,000","-47,108,000","38,110,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","60,305,000","52,112,000","45,979,000","38,837,000","29,689,000","24,286,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"60,305,000","52,112,000","45,979,000","38,837,000","29,689,000","24,286,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-214,816,000","-137,372,000","-80,963,000","43,767,000","-76,797,000","13,824,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-2,695,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"30,699,000","18,626,000","4,817,000","849,000","7,264,000","13,619,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-31,000","-31,000","-286,000","-1,274,000","95,000","-256,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-186,843,000","-118,777,000","-76,432,000","43,342,000","-69,438,000","27,187,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-7,640,000","-395,000","23,434,000","39,289,000","105,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-1,267,000","-1,267,000","-1,510,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-195,750,000","-120,439,000","-54,508,000","82,631,000","-69,333,000","27,187,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"5,928,000","5,811,000","673,000",-,-,"312,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-201,678,000","-126,250,000","-55,181,000","82,631,000","-69,333,000","26,875,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"3,438,000","163,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-198,240,000","-126,087,000","-55,181,000","82,631,000","-69,333,000","26,875,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-198,240,000","-126,087,000","-55,181,000","82,631,000","-69,333,000","26,875,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"61,945,445","60,503,283","59,652,461","58,379,641","57,212,737","56,531,439",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"61,945,445","60,503,283","59,652,461","60,495,455","57,212,737","58,467,880",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),2.781%,1.426%,-1.393%,5.738%,-2.147%,8.390%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-3.200,-2.084,-0.925,1.415,-1.212,0.475,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-3.200,-2.084,-0.930,1.370,-1.212,0.460,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"29,180,000","66,663,000","-14,009,000","-30,152,000","-15,543,000","57,021,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.471,1.102,-0.235,-0.498,-0.272,0.975,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-181.428%,-50.648%,-21.257%,30.026%,-38.395%,24.320%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-252.238%,-81.605%,-49.194%,15.909%,-62.592%,8.822%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-232.774%,-74.901%,-33.529%,30.036%,-56.509%,17.151%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,34.263%,39.601%,-8.512%,-10.960%,-12.668%,36.389%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-202,475,000","-125,874,000","-72,164,000","51,258,000","-71,003,000","18,122,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-237.747%,-74.775%,-43.848%,18.632%,-57.870%,11.565%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"12,341,000","11,498,000","8,799,000","7,491,000","5,794,000","4,298,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-214,816,000","-137,372,000","-80,963,000","43,767,000","-76,797,000","13,824,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-252.238%,-81.605%,-49.194%,15.909%,-62.592%,8.822%,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,-,1.148%,Upgrade,Financials in USD,Fiscal year is January - December
