Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"11,475,000","34,477,000","13,851,000","9,598,000","12,361,000","5,788,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-66.846%,148.913%,44.311%,-22.353%,113.563%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"130,968,000","112,075,000","82,230,000","52,255,000","34,425,000","23,635,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-119,493,000","-77,598,000","-68,379,000","-42,657,000","-22,064,000","-17,847,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","41,790,000","38,461,000","38,020,000","24,322,000","14,060,000","16,458,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"41,790,000","38,461,000","38,020,000","24,322,000","14,060,000","16,458,000",Financials in USD,Fiscal year is January - December
Operating Income,"-161,283,000","-116,059,000","-106,399,000","-66,979,000","-36,124,000","-34,305,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,"-20,000","-4,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,654,000",-,-,-,"236,000","1,047,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"15,727,000","14,188,000","7,181,000","-1,207,000","514,000",-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-143,902,000","-101,871,000","-99,218,000","-68,186,000","-35,394,000","-33,262,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-125,000","-6,000","-133,000",-,"-733,000","2,294,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"1,584,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-147,927,000","-101,877,000","-99,351,000","-66,602,000","-36,127,000","-30,968,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"193,000","193,000","70,000","321,000","-1,819,000","-7,537,000",Financials in USD,Fiscal year is January - December
Net Income,"-148,120,000","-102,070,000","-99,421,000","-66,923,000","-34,308,000","-23,431,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-148,120,000","-102,070,000","-99,421,000","-66,923,000","-34,308,000","-23,431,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"89,674,506","73,807,597","60,801,133","31,663,243","8,546,741","8,374,674",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"89,674,506","73,807,597","60,801,133","31,663,243","8,546,741","8,374,674",Financials in USD,Fiscal year is January - December
Shares Change (YoY),34.019%,21.392%,92.024%,270.472%,2.055%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.652,-1.383,-1.635,-2.114,-4.014,-2.798,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.652,-1.383,-1.635,-2.114,-4.014,-2.798,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-130,748,000","-104,904,000","-97,420,000","-34,640,000","-33,532,000","-32,890,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.458,-1.421,-1.602,-1.094,-3.923,-3.927,Financials in USD,Fiscal year is January - December
Gross Margin,-,-225.072%,-,-,-178.497%,-,Financials in USD,Fiscal year is January - December
Operating Margin,-1405.516%,-336.627%,-768.168%,-697.843%,-292.242%,-592.692%,Financials in USD,Fiscal year is January - December
Profit Margin,-1290.806%,-296.052%,-717.789%,-697.260%,-277.550%,-404.820%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1139.416%,-304.272%,-703.343%,-360.909%,-271.273%,-568.245%,Financials in USD,Fiscal year is January - December
EBITDA,"-157,800,000","-112,534,000","-104,777,000","-65,995,000","-35,224,000","-33,554,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-284.961%,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"3,483,000","3,525,000","1,622,000","984,000","900,000","751,000",Financials in USD,Fiscal year is January - December
EBIT,"-161,283,000","-116,059,000","-106,399,000","-66,979,000","-36,124,000","-34,305,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-292.242%,-,Financials in USD,Fiscal year is January - December
