Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+7 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+7 Quarters,,
Revenue,-,-,-,-,"315,000","9,827,500","9,827,500","-136,710,500","-136,710,500","25,929,000","25,929,000","35,125,500","35,125,500","8,887,500","8,887,500","1,542,668,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-,-,-,-62.098%,-62.098%,-,-,191.747%,191.747%,-97.723%,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,-,-,-,-,-,-,"13,618,500","13,618,500","23,216,000","23,216,000",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,"315,000","9,827,500","9,827,500","-136,710,500","-136,710,500","12,310,500","12,310,500","11,909,500","11,909,500","8,887,500","8,887,500","1,542,668,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","7,937,000","11,871,000","7,156,000",-,"5,861,000","122,495,500","122,495,500","211,653,000","211,653,000","196,230,000","196,230,000","224,221,500","224,221,500","221,250,000","221,250,000","91,634,000","139,391,000","85,692,000","85,692,000","71,821,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"4,475,000","3,137,000","5,394,500",-,"5,088,000","223,218,000","223,218,000","226,141,500","226,141,500","226,309,000","226,309,000","309,982,500","309,982,500","296,496,500","296,496,500","286,228,000","256,170,000","221,145,500","221,145,500","262,038,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"12,412,000","15,008,000","12,550,500",-,"10,949,000","345,713,500","345,713,500","437,794,500","437,794,500","422,539,000","422,539,000","534,204,000","534,204,000","517,746,500","517,746,500","377,862,000","395,561,000","306,837,500","306,837,500","333,859,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-12,412,000","-15,008,000","-12,550,500",-,"-10,634,000","-335,886,000","-335,886,000","-574,505,000","-574,505,000","-410,228,500","-410,228,500","-522,294,500","-522,294,500","-508,859,000","-508,859,000","1,164,806,000","-395,561,000","-306,837,500","-306,837,500","-333,859,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,"-109,500","-109,500","-4,500","-4,500",-,-,-,-,-,-,-,"-297,000","-478,500","-478,500","-525,000",Upgrade,Financials in USD,Fiscal year is January - December
