Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"61,759,000","78,123,000","19,712,000","25,544,000","90,732,000","20,531,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),150.951%,296.322%,-22.831%,-71.847%,341.927%,-35.714%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"220,192,000","177,651,000","174,958,000","142,507,000","157,996,000","96,898,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-158,433,000","-99,528,000","-155,246,000","-116,963,000","-67,264,000","-76,367,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","70,088,000","69,653,000","70,704,000","76,183,000","67,576,000","64,555,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"70,088,000","69,653,000","70,704,000","76,183,000","67,576,000","64,555,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-228,521,000","-169,181,000","-225,950,000","-193,146,000","-134,840,000","-140,922,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"17,963,000","17,566,000","5,518,000","607,000","2,605,000","7,313,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,590,000",-,-,"37,000","-107,000","-137,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-208,968,000","-151,615,000","-220,432,000","-192,502,000","-132,342,000","-133,746,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-1,604,000","-1,604,000",-,-,"16,366,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-210,572,000","-153,219,000","-220,432,000","-192,502,000","-115,976,000","-133,746,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-210,572,000","-153,219,000","-220,432,000","-192,502,000","-115,976,000","-133,746,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-210,572,000","-153,219,000","-220,432,000","-192,502,000","-115,976,000","-133,746,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"82,127,659","75,965,633","68,664,822","67,619,388","58,609,389","49,983,329",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"82,127,659","75,965,633","68,664,822","67,619,388","58,609,389","49,983,329",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),12.935%,10.633%,1.546%,15.373%,17.258%,6.127%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.564,-2.017,-3.210,-2.847,-1.979,-2.676,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.564,-2.017,-3.210,-2.847,-1.979,-2.676,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-191,355,000","-136,897,000","-181,467,000","-171,780,000","-187,005,000","-46,836,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.330,-1.802,-2.643,-2.540,-3.191,-0.937,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-256.534%,-127.399%,-,-,-74.135%,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-370.021%,-216.557%,-1146.256%,-756.131%,-148.613%,-686.386%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-340.958%,-196.125%,-1118.263%,-753.609%,-127.823%,-651.434%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-309.841%,-175.233%,-920.592%,-672.487%,-206.107%,-228.123%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-222,627,000","-163,117,000","-219,613,000","-188,093,000","-130,881,000","-138,092,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-208.795%,-,-,-144.250%,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"5,894,000","6,064,000","6,337,000","5,053,000","3,959,000","2,830,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-228,521,000","-169,181,000","-225,950,000","-193,146,000","-134,840,000","-140,922,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-216.557%,-,-,-148.613%,-,Upgrade,Financials in USD,Fiscal year is January - December
