Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"19,720,000","18,686,000","26,496,000","23,763,000","21,763,000","31,789,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-21.013%,-29.476%,11.501%,9.190%,-31.539%,834.696%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"17,270,000","15,108,000","13,331,000","14,992,000","14,218,000","11,849,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"2,450,000","3,578,000","13,165,000","8,771,000","7,545,000","19,940,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","11,930,000","11,612,000","10,645,000","9,736,000","8,687,000","9,306,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"7,700,000","7,467,000","9,976,000","10,256,000","7,698,000","4,969,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"19,854,000","19,079,000","20,621,000","19,992,000","16,385,000","14,275,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-17,404,000","-15,501,000","-7,456,000","-11,221,000","-8,840,000","5,665,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-17,395,000","-274,000","-102,000","-120,000","-832,000","-925,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,"2,341,000","270,000","11,000","297,000","434,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-654,000","-654,000","59,000","-511,000","113,000","122,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-69,000","-69,000","-11,002,000","-190,000","-447,000","-368,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-35,522,000","-14,157,000","-18,231,000","-12,031,000","-9,709,000","4,928,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"7,626,000","7,626,000","-1,290,000","-1,493,000","433,000","-2,862,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-27,896,000","-6,531,000","-19,521,000","-13,524,000","-9,276,000","2,066,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"163,000","185,000","78,000","27,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-28,059,000","-6,716,000","-19,599,000","-13,551,000","-9,276,000","2,066,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,-,-,-,"80,000","2,889,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-28,059,000","-6,716,000","-19,599,000","-13,551,000","-9,196,000","4,955,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-28,059,000","-6,716,000","-19,599,000","-13,551,000","-9,196,000","4,955,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"9,565,440","9,013,144","4,987,069","3,892,068","3,882,692","3,882,690",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"9,565,440","9,013,144","4,987,069","3,892,068","3,882,692","3,882,690",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),15.457%,80.730%,28.134%,0.241%,0.000%,0.241%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.933,-0.745,-3.930,-3.482,-2.368,1.276,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.933,-0.745,-3.930,-3.482,-2.368,1.276,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-22,278,000","-16,929,000","-12,440,000","-9,405,000","-7,818,000","7,497,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.329,-1.878,-2.494,-2.416,-2.014,1.931,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,12.424%,19.148%,49.687%,36.910%,34.669%,62.726%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-88.256%,-82.955%,-28.140%,-47.220%,-40.619%,17.821%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-142.287%,-35.941%,-73.970%,-57.026%,-42.255%,15.587%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-112.972%,-90.597%,-46.950%,-39.578%,-35.923%,23.584%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-16,537,000","-14,763,000","-6,723,000","-9,983,000","-7,750,000","6,814,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-83.859%,-79.006%,-25.374%,-42.011%,-35.611%,21.435%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"867,000","738,000","733,000","1,238,000","1,090,000","1,149,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-17,404,000","-15,501,000","-7,456,000","-11,221,000","-8,840,000","5,665,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-88.255%,-82.955%,-28.140%,-47.220%,-40.619%,17.821%,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"18,686,000","18,686,000","26,496,000","23,763,000","21,763,000","31,789,000",Upgrade,Financials in USD,Fiscal year is January - December
