Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
"Selling, General & Admin","1,583,744","1,373,901","1,322,045","1,538,431","1,356,893","1,333,540","1,666,721","1,083,233","1,295,642","1,181,308","1,043,331","142,598","227,980","422,953","571,683","351,578","158,977","44,292","117,032",Financials in USD,Fiscal year is January - December
Research & Development,"2,281,827","999,553","1,025,258","992,725","488,177","1,031,056","1,047,677","683,205","831,844","455,546","307,829","-41,005","313,133","674,765","895,910","391,176","164,382","152,042","139,672",Financials in USD,Fiscal year is January - December
Operating Expenses,"3,865,571","2,373,454","2,347,303","2,531,156","1,845,070","2,364,596","2,714,398","1,766,438","2,127,486","1,636,854","1,351,160","101,593","541,113","1,097,718","1,467,593","742,754","323,359","196,334","256,704",Financials in USD,Fiscal year is January - December
Operating Income,"-3,865,571","-2,373,454","-2,347,303","-2,531,156","-1,845,070","-2,364,596","-2,714,398","-1,766,438","-2,127,486","-1,636,854","-1,351,160","-101,593","-541,113","-1,097,718","-1,467,593","-742,754","-323,359","-196,334","-256,704",Financials in USD,Fiscal year is January - December
Interest Expense,"-3,009","-5,217","-4,700",-354,"-3,496","-6,517","-6,138",-,-,-,"-1,591,244","-258,365","-235,822","-188,900","-148,190","-106,038","-61,364","-45,099","-34,033",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"72,728","53,614","95,894","57,733","28,451","34,199","32,248",-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-3,795,852","-2,325,057","-2,256,109","-2,473,777","-1,820,115","-2,336,914","-2,688,288","-1,766,438","-2,127,486","-1,636,854","-2,942,404","-359,958","-776,935","-1,286,618","-1,615,783","-848,792","-384,723","-241,433","-290,737",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,"2,812,896","-76,501","-269,471","-634,273","-157,875","-29,389",-,"-175,222",Financials in USD,Fiscal year is January - December
Pretax Income,"-3,795,852","-2,325,057","-2,256,109","-2,473,777","-1,820,115","-2,336,914","-2,688,288","-1,766,438","-2,127,486","-1,636,854","-2,942,404","2,452,938","-853,436","-1,556,089","-2,250,056","-1,295,867","-414,112","-241,433","-465,959",Financials in USD,Fiscal year is January - December
