Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+7 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+7 Quarters,,
"Selling, General & Admin","5,216,000","9,574,000","6,701,000","5,566,000","7,858,000","6,878,000","6,808,000","7,243,000","6,277,000","6,978,000","7,893,000","6,416,000","7,738,000","7,996,000","7,893,000","5,427,000","5,551,000","4,858,000","5,525,000","2,884,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"12,914,000","12,556,000","13,545,000","15,289,000","16,154,000","13,154,000","14,753,000","14,609,000","15,847,000","16,195,000","17,786,000","19,664,000","27,626,000","26,719,000","22,820,000","17,756,000","12,929,000","10,170,000","7,354,000","7,460,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"18,130,000","22,130,000","20,246,000","20,855,000","24,012,000","20,032,000","21,561,000","21,852,000","22,124,000","23,173,000","25,679,000","26,080,000","35,364,000","34,715,000","30,713,000","23,183,000","18,480,000","15,028,000","12,879,000","10,344,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-18,130,000","-22,130,000","-20,246,000","-20,855,000","-24,012,000","-20,032,000","-21,561,000","-21,852,000","-22,124,000","-23,173,000","-25,679,000","-26,080,000","-35,364,000","-34,715,000","-30,713,000","-23,183,000","-18,480,000","-15,028,000","-12,879,000","-10,344,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"516,000","464,000","637,000","324,000","439,000","539,000","622,000","677,000","562,000","386,000","406,000","588,000","776,000","948,000","1,152,000","1,254,000","1,162,000","881,000","744,000","440,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,-,-,-,-,"-2,250,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,-,-,"-3,000",-,-,"-20,000","2,018,000","-594,000","-423,000","-10,000","6,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"2,057,000","1,757,000","452,000","2,658,000","566,000","341,000","173,000","195,000","-92,000","-143,000","-2,000",-,"-489,000","-584,000",-,-,-,-,-,"23,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-15,557,000","-19,909,000","-19,157,000","-17,873,000","-23,007,000","-19,152,000","-20,766,000","-23,230,000","-21,654,000","-22,930,000","-25,275,000","-25,495,000","-35,077,000","-34,351,000","-29,581,000","-19,911,000","-17,912,000","-14,571,000","-12,145,000","-9,875,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,"932,000","-1,535,000",-,-,"-109,000","-80,000",-,-,"-232,000","-372,000",-,-,"-720,000","-2,715,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,"2,232,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-15,557,000","-19,909,000","-18,225,000","-19,408,000","-23,007,000","-19,152,000","-20,875,000","-21,078,000","-21,654,000","-22,930,000","-25,507,000","-25,867,000","-35,077,000","-34,351,000","-30,301,000","-22,626,000","-17,912,000","-14,571,000","-12,145,000","-9,875,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-15,557,000","-19,909,000","-18,225,000","-19,408,000","-23,007,000","-19,152,000","-20,875,000","-21,078,000","-21,654,000","-22,930,000","-25,507,000","-25,867,000","-35,077,000","-34,351,000","-30,301,000","-22,626,000","-17,912,000","-14,571,000","-12,145,000","-9,875,000",Upgrade,Financials in USD,Fiscal year is January - December
