Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,-,"263,137","944,575","305,011","1,267,361","85,518","581,101","2,160,872","3,589,708","6,350,525","11,803,077","11,058,253","14,680,589","18,209,502","16,927,734","25,755,145","17,468,545","6,007,034","6,007,035",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,207.698%,62.549%,-85.885%,-64.695%,-98.653%,-95.077%,-80.459%,-75.548%,-65.125%,-30.274%,-57.064%,-15.960%,203.136%,181.798%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"7,830,745","6,822,198","8,146,070","4,297,436","4,019,718","3,662,130","4,535,721","7,138,108","7,352,978","8,584,427","13,324,344","10,647,918","15,070,265","18,683,402","12,782,004","27,908,659","-7,582,736","3,791,368","3,791,368",Financials in USD,Fiscal year is January - December
Gross Profit,"-7,830,745","-6,559,061","-7,201,495","-3,992,425","-2,752,357","-3,576,612","-3,954,620","-4,977,236","-3,763,270","-2,233,902","-1,521,267","410,335","-389,676","-473,900","4,145,730","-2,153,514","25,051,281","2,215,666","2,215,667",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,478,621","3,642,637","4,189,121","14,881,346","2,570,565","2,900,006","3,447,389","2,882,773","4,044,046","4,309,042","5,186,072","7,754,567","3,600,678","2,398,641","3,331,806","692,159","3,670,965","1,204,589","1,204,590",Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-11,428,495","11,428,495",-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"3,478,621","3,642,637","4,189,121","14,881,346","2,570,565","2,900,006","3,447,389","2,882,773","4,044,046","4,309,042","5,186,072","7,754,567","3,600,678","2,398,641","3,331,806","-10,736,336","15,099,460","1,204,589","1,204,590",Financials in USD,Fiscal year is January - December
Operating Income,"-11,309,366","-10,201,698","-11,390,616","-18,873,771","-5,322,922","-6,476,618","-7,402,009","-7,860,009","-7,807,316","-6,542,944","-6,707,339","-7,344,232","-3,990,354","-2,872,541","813,924","8,582,822","9,951,821","1,011,077","1,011,077",Financials in USD,Fiscal year is January - December
Interest Expense,"-78,036","-93,119","-76,371","-77,879","-69,700","-75,320","-92,385","-87,699","-70,626","-71,237","-72,022","-66,275","-78,558","-74,434","-75,192","-143,362","-32,334","-146,727","-146,728",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"277,174","374,557","497,893","484,046","14,364","28,568","57,988","29,929","17,385","15,824","7,933","8,544","3,769","5,296","5,506","4,848","4,172","8,555","8,556",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"760,818","2,584,805","5,943,349","-4,344,666","275,941","-357,516","82,586","20,800","784,489","1,730,080","7,849,572","-4,149,533","3,953",-,-,366,"2,777",426,427,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-10,349,410","-7,335,455","-5,025,745","-22,812,270","-5,102,317","-6,880,886","-7,353,820","-7,896,979","-7,076,068","-4,868,277","1,078,144","-11,551,496","-4,061,190","-2,941,679","744,238","8,444,674","9,926,436","873,331","873,332",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"-44,493",-,-,-,"15,805",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,"32,208",-,-,-,-,-,-,"665,596",-,-,-,-,Financials in USD,Fiscal year is January - December
