Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Operating Revenue,"391,867,000","91,434,000","83,029,000","36,772,000","66,616,000","31,918,000",Financials in USD,Fiscal year is January - December
Other Revenue,"2,052,000","1,948,000","1,988,000","2,912,000","2,833,000","50,757,000",Financials in USD,Fiscal year is January - December
Revenue,"393,919,000","93,382,000","85,017,000","39,684,000","69,449,000","82,675,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),517.922%,9.839%,114.235%,-42.859%,-15.998%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"161,398,000","160,856,000","61,995,000",-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"232,521,000","-67,474,000","23,022,000","39,684,000","69,449,000","82,675,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","61,739,000","73,862,000","75,681,000","67,638,000","58,914,000","48,566,000",Financials in USD,Fiscal year is January - December
Research & Development,"189,064,000","192,327,000","180,622,000","191,006,000","145,930,000","95,557,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"250,803,000","266,189,000","256,303,000","258,644,000","204,844,000","144,123,000",Financials in USD,Fiscal year is January - December
Operating Income,"-18,282,000","-333,663,000","-233,281,000","-218,960,000","-135,395,000","-61,448,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-264,681,000","-134,824,000","-77,497,000","-114,557,000","-100,728,000","-98,573,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"37,519,000","4,823,000","912,000","19,000","215,000","1,738,000",Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,"-3,170,000","-7,153,000","-2,590,000","-2,418,000","-1,505,000","-192,000",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-4,410,000","-5,183,000","10,566,000","2,681,000","3,215,000","3,790,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-132,333,000","-132,333,000","-86,774,000","48,745,000","-55,430,000","-54,700,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-385,357,000","-608,333,000","-388,664,000","-284,490,000","-289,628,000","-209,385,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-918,000","-918,000","-39,695,000","-12,503,000",-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-24,489,000","-21,519,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,"-1,779,000","-1,779,000","-2,755,000","-3,993,000","-2,142,000",-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-69,378,000","-18,500,000","-120,533,000","151,788,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-481,921,000","-651,049,000","-551,647,000","-149,198,000","-291,770,000","-209,385,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"-40,467,000","-99,318,000","-38,067,000","-47,694,000","-121,726,000","491,000",Financials in USD,Fiscal year is January - December
Net Income,"-441,454,000","-551,731,000","-513,580,000","-101,504,000","-170,044,000","-209,876,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-441,454,000","-551,731,000","-513,580,000","-101,504,000","-170,044,000","-209,876,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"253,000,025","227,256,469","197,721,710","110,673,309","93,648,813","6,819,783",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"253,000,025","227,256,469","197,721,710","110,673,309","93,648,813","6,819,783",Financials in USD,Fiscal year is January - December
Shares Change (YoY),13.210%,14.938%,78.653%,18.179%,1273.193%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.745,-2.428,-2.597,-0.917,-1.816,-30.775,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.745,-2.428,-2.597,-0.917,-1.816,-30.775,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-292,689,000","-345,419,000","-350,269,000","-248,632,000","-81,780,000","-95,751,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.157,-1.520,-1.772,-2.247,-0.873,-14.040,Financials in USD,Fiscal year is January - December
Gross Margin,59.028%,-72.256%,27.079%,100.000%,100.000%,100.000%,Financials in USD,Fiscal year is January - December
Operating Margin,-4.641%,-357.310%,-274.393%,-551.759%,-194.956%,-74.325%,Financials in USD,Fiscal year is January - December
Profit Margin,-112.067%,-590.832%,-604.091%,-255.781%,-244.847%,-253.857%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-74.302%,-369.899%,-411.999%,-626.530%,-117.755%,-115.816%,Financials in USD,Fiscal year is January - December
EBITDA,"2,050,000","-318,992,000","-223,164,000","-209,463,000","-126,164,000","-53,149,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,0.520%,-,-262.493%,-,-181.664%,-64.287%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"20,332,000","14,671,000","10,117,000","9,497,000","9,231,000","8,299,000",Financials in USD,Fiscal year is January - December
EBIT,"-18,282,000","-333,663,000","-233,281,000","-218,960,000","-135,395,000","-61,448,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-4.641%,-,-274.393%,-,-194.956%,-74.325%,Financials in USD,Fiscal year is January - December
