Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021",,
"Selling, General & Admin","20,561,000","18,953,000","27,268,000","18,898,000","15,030,000","14,521,000","14,321,000","76,368,000","14,792,000","20,023,000","19,677,000","9,065,000","8,519,000","9,915,000","9,915,000",Financials in USD,Fiscal year is January - December
Research & Development,"157,607,000","314,819,000","155,972,000","134,813,000","95,517,000","79,490,000","63,461,000","33,297,000","52,845,000","177,087,000","70,096,000","41,818,000","46,973,000","46,347,500","46,347,500",Financials in USD,Fiscal year is January - December
Operating Expenses,"178,168,000","333,772,000","183,240,000","153,711,000","110,547,000","94,011,000","77,782,000","109,665,000","67,637,000","197,110,000","89,773,000","50,883,000","55,492,000","56,262,500","56,262,500",Financials in USD,Fiscal year is January - December
Operating Income,"-178,168,000","-333,772,000","-183,240,000","-153,711,000","-110,547,000","-94,011,000","-77,782,000","-109,665,000","-67,637,000","-197,110,000","-89,773,000","-50,883,000","-55,492,000","-56,262,500","-56,262,500",Financials in USD,Fiscal year is January - December
Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,630,500","2,630,500",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"12,157,000","9,118,000","4,000","2,046,000","920,000","1,829,000","4,130,000","4,954,000",-,"-67,000","-4,000","-5,303,000","-5,000","-120,000","-120,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-166,011,000","-324,654,000","-183,236,000","-151,665,000","-109,627,000","-92,182,000","-73,652,000","-104,711,000","-67,637,000","-197,177,000","-89,777,000","-56,186,000","-55,497,000","-53,752,000","-53,752,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"5,648,000","5,060,000","4,301,000","5,697,000","3,766,000","4,013,000","4,099,000","-6,792,000",-,-,-,"5,300,000",-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,"-103,747,000",-,-,-,"1,457,000",-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-160,363,000","-319,594,000","-178,935,000","-145,968,000","-105,861,000","-88,169,000","-69,553,000","-215,250,000","-67,637,000","-197,177,000","-89,777,000","-49,429,000","-55,497,000","-53,752,000","-53,752,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"-59,000","177,000","569,000","-1,212,000","-3,287,000","2,177,000","939,000","-14,143,000","1,216,000","6,110,000","7,255,000","2,457,000","-1,132,000","20,500","20,500",Financials in USD,Fiscal year is January - December
Net Income,"-160,304,000","-319,771,000","-179,504,000","-144,756,000","-102,574,000","-90,346,000","-70,492,000","-201,107,000","-68,853,000","-203,287,000","-97,032,000","-51,886,000","-54,365,000","-53,772,500","-53,772,500",Financials in USD,Fiscal year is January - December
Net Income to Common,"-160,304,000","-319,771,000","-179,504,000","-144,756,000","-102,574,000","-90,346,000","-70,492,000","-201,107,000","-68,853,000","-203,287,000","-97,032,000","-51,886,000","-54,365,000","-53,772,500","-53,772,500",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"94,372,159","87,766,069","81,601,826","79,929,910","68,320,125","68,248,023","68,206,879","60,661,359","39,375,944","39,375,944","39,375,944","39,399,650","39,368,042",-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"94,372,159","87,766,069","81,601,826","79,929,910","68,320,125","68,248,023","68,206,879","60,661,359","39,375,944","39,375,944","39,375,944","39,399,650","39,368,042",-,-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),38.132%,28.599%,19.639%,31.764%,73.507%,73.324%,73.220%,53.964%,0.020%,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.699,-3.643,-2.200,-1.811,-1.501,-1.324,-1.034,-3.315,-1.749,-5.163,-2.464,-1.317,-1.381,-,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.699,-3.643,-2.200,-1.811,-1.501,-1.324,-1.034,-3.315,-1.749,-5.163,-2.464,-1.317,-1.381,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-141,887,000","-170,747,000","-103,077,000","-115,351,000","-96,061,000","-44,988,000","-78,373,000","-75,707,000","-100,084,000","-68,890,000","-59,082,000","-33,257,000","-43,762,000","-34,879,500","-34,879,500",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.503,-1.945,-1.263,-1.443,-1.406,-0.659,-1.149,-1.248,-2.542,-1.750,-1.500,-0.844,-1.112,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-176,174,000","-331,818,000","-181,794,000","-151,817,000","-109,009,000","-92,180,000","-76,133,000","-109,321,000","-67,260,000","-196,695,000","-89,523,000","-50,198,000","-55,266,000","-56,021,500","-56,021,500",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,994,000","1,954,000","1,446,000","1,894,000","1,538,000","1,831,000","1,649,000","344,000","377,000","415,000","250,000","685,000","226,000","241,000","241,000",Financials in USD,Fiscal year is January - December
EBIT,"-178,168,000","-333,772,000","-183,240,000","-153,711,000","-110,547,000","-94,011,000","-77,782,000","-109,665,000","-67,637,000","-197,110,000","-89,773,000","-50,883,000","-55,492,000","-56,262,500","-56,262,500",Financials in USD,Fiscal year is January - December
