Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021",,
Revenue,-,-,"77,000","426,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-81.925%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,"18,000","30,000",Financials in USD,Fiscal year is January - December
Gross Profit,-,-,"59,000","396,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","17,073,000","14,078,000","7,659,000","7,585,000",Financials in USD,Fiscal year is January - December
Research & Development,"14,342,000","15,668,000","16,746,000","14,672,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"31,415,000","29,746,000","24,405,000","22,257,000",Financials in USD,Fiscal year is January - December
Operating Income,"-31,415,000","-29,746,000","-24,346,000","-21,861,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-2,365,000","-745,000","-2,306,000","-1,315,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-67,133,000","-48,184,000","82,000","-84,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-100,913,000","-78,675,000","-26,570,000","-23,260,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-3,329,000","-3,329,000",-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"15,996,000","-943,000","-177,000",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-88,246,000","-82,947,000","-26,747,000","-23,260,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"7,000","7,000","7,000","5,000",Financials in USD,Fiscal year is January - December
Net Income,"-88,253,000","-82,954,000","-26,754,000","-23,265,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-88,253,000","-82,954,000","-26,754,000","-23,265,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"20,300,267","15,426,908","6,356,348","14,250,287",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"20,300,267","15,426,908","6,356,348","14,250,287",Financials in USD,Fiscal year is January - December
Shares Change (YoY),250.525%,142.701%,-55.395%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-4.347,-5.377,-4.209,-1.633,Financials in USD,Fiscal year is January - December
EPS (Diluted),-4.347,-5.377,-4.209,-1.633,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-21,537,000","-21,948,000","-22,658,000","-19,951,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.061,-1.423,-3.565,-1.400,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,76.623%,92.958%,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-31618.182%,-5131.690%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-34745.455%,-5461.268%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-29425.974%,-4683.333%,Financials in USD,Fiscal year is January - December
EBITDA,"-30,226,000","-28,543,000","-23,136,000","-20,733,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,189,000","1,203,000","1,210,000","1,128,000",Financials in USD,Fiscal year is January - December
EBIT,"-31,415,000","-29,746,000","-24,346,000","-21,861,000",Financials in USD,Fiscal year is January - December
