Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019 - 2015,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021","Jun '20 Jun 30, 2020",2019 - 2015,,
Revenue,"1,046,762,000","1,017,679,000","977,889,000","942,261,000","833,350,000","800,354,000",Upgrade,Financials in USD,Fiscal year is July - June
Revenue Growth (YoY),7.171%,4.069%,3.781%,13.069%,4.123%,-3.338%,Upgrade,Financials in USD,Fiscal year is July - June
Cost of Revenue,"717,380,000","704,066,000","679,652,000","656,545,000","561,973,000","543,192,000",Upgrade,Financials in USD,Fiscal year is July - June
Gross Profit,"329,382,000","313,613,000","298,237,000","285,716,000","271,377,000","257,162,000",Upgrade,Financials in USD,Fiscal year is July - June
"Selling, General & Admin","211,809,000","217,889,000","192,056,000","183,525,000","193,823,000","189,622,000",Upgrade,Financials in USD,Fiscal year is July - June
Research & Development,"29,194,000","29,194,000","24,395,000","20,832,000",-,-,Upgrade,Financials in USD,Fiscal year is July - June
Other Operating Expenses,"4,202,000","4,202,000","6,894,000",-,-,-,Upgrade,Financials in USD,Fiscal year is July - June
Operating Expenses,"248,191,000","254,271,000","226,390,000","207,338,000","196,509,000","189,622,000",Upgrade,Financials in USD,Fiscal year is July - June
Operating Income,"81,191,000","59,342,000","71,847,000","78,378,000","74,868,000","67,540,000",Upgrade,Financials in USD,Fiscal year is July - June
Interest Expense,"-26,130,000","-23,010,000","-18,676,000","-12,691,000","-12,698,000","-14,613,000",Upgrade,Financials in USD,Fiscal year is July - June
Interest & Investment Income,"4,517,000","4,474,000","3,355,000","816,000","838,000","1,757,000",Upgrade,Financials in USD,Fiscal year is July - June
Currency Exchange Gain (Loss),"-17,612,000","-23,863,000","-2,455,000","5,216,000","4,480,000","-826,000",Upgrade,Financials in USD,Fiscal year is July - June
EBT Excluding Unusual Items,"41,966,000","16,943,000","54,071,000","71,719,000","67,488,000","53,858,000",Upgrade,Financials in USD,Fiscal year is July - June
Merger & Restructuring Charges,"-10,350,000","-6,926,000",-,"-595,000",-,"-1,167,000",Upgrade,Financials in USD,Fiscal year is July - June
Gain (Loss) on Sale of Investments,-,-,-,"1,203,000",-,-,Upgrade,Financials in USD,Fiscal year is July - June
Other Unusual Items,-,-,-,-,"-1,020,000","2,821,000",Upgrade,Financials in USD,Fiscal year is July - June
Pretax Income,"32,515,000","10,916,000","54,071,000","72,327,000","66,468,000","55,512,000",Upgrade,Financials in USD,Fiscal year is July - June
Income Tax Expense,"15,109,000","8,500,000","21,465,000","23,152,000","12,083,000","21,960,000",Upgrade,Financials in USD,Fiscal year is July - June
Net Income,"17,406,000","2,416,000","32,606,000","49,175,000","54,385,000","33,552,000",Upgrade,Financials in USD,Fiscal year is July - June
Net Income to Common,"17,406,000","2,416,000","32,606,000","49,175,000","54,385,000","33,552,000",Upgrade,Financials in USD,Fiscal year is July - June
Net Income Growth,-16.055%,-92.590%,-33.694%,-9.580%,62.092%,-38.676%,Upgrade,Financials in USD,Fiscal year is July - June
Shares Outstanding (Basic),"40,504,000","40,504,000","40,504,000","40,504,000","40,473,000","40,454,000",Upgrade,Financials in USD,Fiscal year is July - June
Shares Outstanding (Diluted),"40,542,500","40,523,000","40,504,000","40,504,000","40,504,000","40,504,000",Upgrade,Financials in USD,Fiscal year is July - June
Shares Change (YoY),0.095%,0.047%,-,-,-,-0.047%,Upgrade,Financials in USD,Fiscal year is July - June
EPS (Basic),0.430,0.060,0.805,1.214,1.344,0.829,Upgrade,Financials in USD,Fiscal year is July - June
EPS (Diluted),0.430,0.060,0.805,1.210,1.340,0.829,Upgrade,Financials in USD,Fiscal year is July - June
EPS Growth,-15.738%,-92.590%,-33.471%,-9.701%,61.565%,-38.564%,Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow,"40,672,000","46,356,000","-38,484,000","-5,395,000","18,986,000","25,303,000",Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow Per Share,1.003,1.144,-0.950,-0.133,0.469,0.625,Upgrade,Financials in USD,Fiscal year is July - June
Dividend Per Share,0.480,0.480,0.480,0.480,0.480,0.480,Upgrade,Financials in USD,Fiscal year is July - June
Dividend Growth,0%,0%,0%,0%,0%,4.348%,Upgrade,Financials in USD,Fiscal year is July - June
Gross Margin,31.467%,30.816%,30.498%,30.322%,32.565%,32.131%,Upgrade,Financials in USD,Fiscal year is July - June
Operating Margin,7.756%,5.831%,7.347%,8.318%,8.984%,8.439%,Upgrade,Financials in USD,Fiscal year is July - June
Profit Margin,1.663%,0.237%,3.334%,5.219%,6.526%,4.192%,Upgrade,Financials in USD,Fiscal year is July - June
Free Cash Flow Margin,3.886%,4.555%,-3.935%,-0.573%,2.278%,3.161%,Upgrade,Financials in USD,Fiscal year is July - June
EBITDA,"116,066,000","94,084,000","104,404,000","110,036,000","105,499,000","98,843,000",Upgrade,Financials in USD,Fiscal year is July - June
EBITDA Margin,11.088%,9.245%,10.676%,11.678%,12.660%,12.350%,Upgrade,Financials in USD,Fiscal year is July - June
D&A For EBITDA,"34,875,000","34,742,000","32,557,000","31,658,000","30,631,000","31,303,000",Upgrade,Financials in USD,Fiscal year is July - June
EBIT,"81,191,000","59,342,000","71,847,000","78,378,000","74,868,000","67,540,000",Upgrade,Financials in USD,Fiscal year is July - June
EBIT Margin,7.756%,5.831%,7.347%,8.318%,8.984%,8.439%,Upgrade,Financials in USD,Fiscal year is July - June
Effective Tax Rate,46.468%,77.867%,39.698%,32.010%,18.179%,39.559%,Upgrade,Financials in USD,Fiscal year is July - June
