Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
"Selling, General & Admin","1,104,130","1,020,312","1,068,320","1,240,292","1,334,690","1,879,917","987,987","1,224,031","1,554,244","1,346,763","1,395,112","2,399,657","1,428,795","1,540,392","1,078,163","901,281","884,529","484,921","580,447",Financials in USD,Fiscal year is January - December
Research & Development,"707,747","401,104","1,198,938","2,960,599","1,912,322","2,224,444","770,430","2,470,480","1,803,232","2,163,968","2,629,741","726,539","2,979,408","1,661,265","1,350,976","1,031,228","908,119","365,519","263,789",Financials in USD,Fiscal year is January - December
Operating Expenses,"1,825,639","1,861,043","2,784,623","4,908,513","3,842,588","5,781,632","1,827,485","3,808,039","3,709,893","3,642,977","4,121,853","3,126,196","4,408,203","18,237,708","2,429,139","3,678,665","2,909,387","855,024","848,819",Financials in USD,Fiscal year is January - December
Operating Income,"-1,825,639","-1,861,043","-2,784,623","-4,908,513","-3,842,588","-5,781,632","-1,827,485","-3,808,039","-3,709,893","-3,642,977","-4,121,853","-3,126,196","-4,408,203","-18,237,708","-2,429,139","-3,678,665","-2,909,387","-855,024","-848,819",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,"-40,526","-660,564","-609,401","-213,648","-224,885","-182,114",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"163,951","21,148","18,306","115,839","139,056","174,851","25,824","62,432","15,453","5,986",120,"94,182","1,714","5,641",-,-,135,-,3,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-,-,-,-,758,-758,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-373,000","-7,725,602","-7,033,000","2,427,100","7,922,900","1,440,500","291,466",-,-,-,-,-,-,-,-,-,-,"-15,000","-7,500",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-2,034,688","-9,565,497","-9,799,317","-2,365,574","4,219,368","-4,166,281","-1,510,195","-3,745,607","-3,694,440","-3,636,991","-4,121,733","-3,031,256","-4,407,247","-18,272,593","-3,089,703","-4,288,066","-3,122,900","-1,094,909","-1,038,429",Financials in USD,Fiscal year is January - December
