Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020",,
Revenue,-,-,"8,000",-,-,-,"170,000","68,000","11,000,000",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-95.294%,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,"8,000",-,-,-,"170,000","68,000","11,000,000",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","2,890,000","2,475,000","4,113,000","2,841,000","2,488,000","2,452,000","3,787,000","694,000","2,242,000","972,000","1,095,000","1,738,000","1,157,000","4,418,000","981,000","1,811,000",Financials in USD,Fiscal year is January - December
Research & Development,"4,051,000","4,417,000","4,010,000","4,160,000","2,819,000","2,943,000","2,845,000","2,468,000","2,414,000","1,827,000","2,369,000","1,658,000","1,449,000","1,539,000","1,673,000","1,575,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"6,941,000","6,892,000","8,123,000","7,001,000","5,307,000","5,395,000","6,632,000","3,162,000","4,656,000","2,799,000","3,464,000","3,396,000","2,606,000","5,957,000","2,654,000","3,386,000",Financials in USD,Fiscal year is January - December
Operating Income,"-6,941,000","-6,892,000","-8,115,000","-7,001,000","-5,307,000","-5,395,000","-6,462,000","-3,094,000","6,344,000","-2,799,000","-3,464,000","-3,396,000","-2,606,000","-5,957,000","-2,654,000","-3,386,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-6,000",-,"-24,000","-792,000","-401,000","-335,000","-335,000","-337,000","-344,000","-338,000","-360,000","-375,000","-386,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"474,000","316,000","265,000","240,000","4,000",-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,"-42,000",-,"-3,110,000",-,-,-,-,-,-,"-398,000",-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-6,467,000","-6,576,000","-7,850,000","-6,767,000","-5,345,000","-5,419,000","-10,364,000","-3,495,000","6,009,000","-3,134,000","-3,801,000","-3,740,000","-2,944,000","-6,715,000","-3,029,000","-3,772,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,"-402,000",-,-,-,"314,000",-,-,-,"20,000","30,000",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-6,467,000","-6,576,000","-7,850,000","-6,767,000","-5,345,000","-5,821,000","-10,364,000","-3,495,000","6,009,000","-2,820,000","-3,801,000","-3,740,000","-2,944,000","-6,695,000","-2,999,000","-3,772,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,-,-,"1,100,000",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-6,467,000","-6,576,000","-7,850,000","-6,767,000","-5,345,000","-5,821,000","-10,364,000","-3,495,000","4,909,000","-2,820,000","-3,801,000","-3,740,000","-2,944,000","-6,695,000","-2,999,000","-3,772,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-6,467,000","-6,576,000","-7,850,000","-6,767,000","-5,345,000","-5,821,000","-10,364,000","-3,495,000","4,909,000","-2,820,000","-3,801,000","-3,740,000","-2,944,000","-6,695,000","-2,999,000","-3,772,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"34,532,355","29,689,344","26,849,737","26,794,127","26,210,068","25,068,334","19,575,631","9,126,839","9,117,596","9,111,694","9,110,376","9,109,176","9,106,610","9,014,274","8,900,408","8,165,064",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"34,532,355","29,689,344","26,849,737","26,794,127","26,210,068","25,068,334","19,575,631","9,126,839","10,073,788","9,111,694","9,110,376","9,109,176","9,106,610","9,014,274","8,900,408","8,165,064",Financials in USD,Fiscal year is January - December
Shares Change (YoY),31.752%,18.434%,37.159%,193.575%,160.181%,175.123%,114.872%,0.194%,10.621%,1.081%,2.359%,11.563%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.187,-0.221,-0.292,-0.253,-0.204,-0.232,-0.529,-0.383,0.538,-0.309,-0.417,-0.411,-0.323,-0.743,-0.337,-0.462,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.187,-0.221,-0.292,-0.253,-0.204,-0.232,-0.529,-0.383,0.490,-0.309,-0.417,-0.414,-0.323,-0.743,-0.337,-0.462,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-5,775,000","-7,052,000","-4,384,000","-7,153,000","-3,634,000","-5,814,000","-4,699,000","-1,518,000","-2,503,000","-2,409,000","2,810,000","1,016,000","-2,353,000","-2,406,000","-2,842,000","-1,724,000",Financials in USD,Fiscal year is January - December
