Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"1,456,000","1,279,000","1,677,000","1,313,000","1,240,000","1,854,000","506,000","151,000","73,000",-,-,-,-,-,-,-,-,"185,000","118,000","1,188,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),17.419%,-31.014%,231.423%,769.536%,1598.630%,-,-,-,-,-,-,-,-,-,-,-,-,-38.742%,-83.989%,66.620%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"2,858,000","2,773,000","2,763,000","2,794,000","2,493,000","1,420,000","2,983,000","2,138,000","2,945,000","2,831,000","1,785,000","1,599,000","1,491,000","1,106,000","1,127,000","1,096,000","336,000","327,000","941,000","1,729,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-1,402,000","-1,494,000","-1,086,000","-1,481,000","-1,253,000","434,000","-2,477,000","-1,987,000","-2,872,000","-2,831,000","-1,785,000","-1,599,000","-1,491,000","-1,106,000","-1,127,000","-1,096,000","-336,000","-142,000","-823,000","-541,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","2,397,000","2,203,000","2,213,000","2,379,000","1,998,000","1,924,000","2,245,000","3,585,000","2,222,000","2,289,000","2,141,000","2,042,000","1,990,000","1,469,000","1,352,000","2,299,000","1,060,000","1,429,000","1,618,000","1,672,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"2,397,000","2,203,000","2,213,000","2,379,000","1,998,000","1,924,000","2,245,000","3,585,000","2,222,000","2,289,000","2,141,000","2,042,000","1,990,000","1,469,000","1,352,000","2,299,000","1,060,000","1,429,000","1,618,000","1,672,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-3,799,000","-3,697,000","-3,299,000","-3,860,000","-3,251,000","-1,490,000","-4,722,000","-5,572,000","-5,094,000","-5,120,000","-3,926,000","-3,641,000","-3,481,000","-2,575,000","-2,479,000","-3,395,000","-1,396,000","-1,571,000","-2,441,000","-2,213,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-61,000","-3,572,000","-34,000","-62,000","-87,000","-112,000","-134,000","-159,000","-173,000","-181,000","-198,000","-224,000","-232,000","-229,000","-247,000","-253,000","-253,000","-252,000","-349,000","-378,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"80,000","67,000","72,000","110,000","119,000","120,000","51,000","73,000","48,000","19,000","7,000","6,000","5,000","4,000","4,000","3,000","2,000","9,000","36,000","35,000",Upgrade,Financials in USD,Fiscal year is January - December
