Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021",,
"Selling, General & Admin","115,936,000","63,178,000","13,547,000","3,564,000",Financials in USD,Fiscal year is January - December
Research & Development,"257,400,000","225,229,000","55,632,000","38,230,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"373,336,000","288,407,000","69,179,000","41,794,000",Financials in USD,Fiscal year is January - December
Operating Income,"-373,336,000","-288,407,000","-69,179,000","-41,794,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"35,201,000","30,555,000","4,052,000",-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-400,000","-400,000","-100,000",-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-10,094,000","10,268,000","455,000","-45,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-348,629,000","-247,984,000","-64,772,000","-41,839,000",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"38,278,000","-10,000,000",-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"29,400,000","-600,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-264,405,000","-381,641,000","-64,772,000","-41,839,000",Financials in USD,Fiscal year is January - December
Net Income,"-264,405,000","-381,641,000","-64,772,000","-41,839,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-264,405,000","-381,641,000","-64,772,000","-41,839,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"98,626,140","70,249,580","1,557,534","687,398",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"98,626,140","70,249,580","1,557,534","687,398",Financials in USD,Fiscal year is January - December
Shares Change (YoY),112.804%,4410.308%,126.584%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.681,-5.433,-41.586,-60.866,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.681,-5.433,-41.586,-60.866,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-257,233,000","-171,999,000","-61,520,000","-4,979,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.608,-2.448,-39.498,-7.243,Financials in USD,Fiscal year is January - December
EBITDA,"-373,011,000","-288,292,000",-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"325,000","115,000",-,-,Financials in USD,Fiscal year is January - December
EBIT,"-373,336,000","-288,407,000","-69,179,000","-41,794,000",Financials in USD,Fiscal year is January - December
