Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
"Selling, General & Admin","21,040,000","24,247,000","25,052,000","21,800,000","11,009,000","5,878,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"57,545,000","55,885,000","51,988,000","36,493,000","23,933,000","20,759,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"78,585,000","80,132,000","77,040,000","58,293,000","34,942,000","26,637,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-78,585,000","-80,132,000","-77,040,000","-58,293,000","-34,942,000","-26,637,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"11,534,000","11,171,000","3,627,000","449,000","651,000","1,301,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"82,000","3,000","87,000","21,000","-143,000","-8,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-67,566,000","-68,958,000","-73,326,000","-57,823,000","-34,434,000","-25,344,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-16,101,000","2,000","-9,000","23,000","6,000","8,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-51,465,000","-68,960,000","-73,317,000","-57,846,000","-34,440,000","-25,352,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-51,465,000","-68,960,000","-73,317,000","-57,846,000","-34,440,000","-25,352,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"51,472,068","48,014,645","45,594,824","45,137,656","14,364,475","3,035,243",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"51,472,068","48,014,645","45,594,824","45,137,656","14,364,475","3,035,243",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),10.467%,5.307%,1.013%,214.231%,373.256%,0.762%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.000,-1.436,-1.608,-1.282,-2.398,-8.353,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.000,-1.436,-1.608,-1.282,-2.398,-8.353,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-47,502,000","-56,619,000","-71,744,000","-47,920,000","-32,887,000","-22,174,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.923,-1.179,-1.574,-1.062,-2.289,-7.306,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-77,121,000","-78,875,000","-76,725,000","-57,986,000","-34,624,000","-26,249,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,464,000","1,257,000","315,000","307,000","318,000","388,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-78,585,000","-80,132,000","-77,040,000","-58,293,000","-34,942,000","-26,637,000",Upgrade,Financials in USD,Fiscal year is January - December
