Fiscal Year,TTM,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Mar '23 Mar 31, 2023","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021","Mar '20 Mar 31, 2020",2019,,
Revenue,"129,129,000","124,795,000","61,280,000","55,286,000","23,795,000","67,689,000",Upgrade,Financials in USD,Fiscal year is April - March
Revenue Growth (YoY),145.684%,103.647%,10.842%,132.343%,-64.847%,2812.608%,Upgrade,Financials in USD,Fiscal year is April - March
Cost of Revenue,"552,211,000","517,296,000","538,343,000","469,101,000","238,683,000","264,348,000",Upgrade,Financials in USD,Fiscal year is April - March
Gross Profit,"-423,082,000","-392,501,000","-477,063,000","-413,815,000","-214,888,000","-196,659,000",Upgrade,Financials in USD,Fiscal year is April - March
"Selling, General & Admin","717,758,000","687,443,000","600,506,000","425,033,000","259,878,000","335,766,000",Upgrade,Financials in USD,Fiscal year is April - March
Operating Expenses,"717,758,000","687,443,000","600,506,000","425,033,000","259,878,000","335,766,000",Upgrade,Financials in USD,Fiscal year is April - March
Operating Income,"-1,140,840,000","-1,079,944,000","-1,077,569,000","-838,848,000","-474,766,000","-532,425,000",Upgrade,Financials in USD,Fiscal year is April - March
Interest Expense,"-34,778,000","-34,778,000","-27,968,000","-7,041,000","-2,809,000","-7,683,000",Upgrade,Financials in USD,Fiscal year is April - March
Interest & Investment Income,"257,311,000","146,425,000","32,184,000","369,000","1,418,000","17,990,000",Upgrade,Financials in USD,Fiscal year is April - March
Earnings From Equity Investments,-,-,-,-,"-3,750,000","-21,386,000",Upgrade,Financials in USD,Fiscal year is April - March
Other Non Operating Income (Expenses),"-34,284,000","-85,032,000","-62,193,000","73,063,000","-33,405,000","11,179,000",Upgrade,Financials in USD,Fiscal year is April - March
EBT Excluding Unusual Items,"-952,591,000","-1,053,329,000","-1,135,546,000","-772,457,000","-513,312,000","-532,325,000",Upgrade,Financials in USD,Fiscal year is April - March
Gain (Loss) on Sale of Investments,"69,041,000","-47,973,000","-20,815,000","356,463,000","95,533,000","-136,005,000",Upgrade,Financials in USD,Fiscal year is April - March
Gain (Loss) on Sale of Assets,"5,474,215,000","5,381,182,000","29,276,000","5,041,000","115,364,000","107,344,000",Upgrade,Financials in USD,Fiscal year is April - March
Other Unusual Items,"-96,300,000",-,-,"-372,900,000",-,-,Upgrade,Financials in USD,Fiscal year is April - March
Pretax Income,"4,494,365,000","4,253,430,000","-1,224,834,000","-923,747,000","-898,547,000","-560,986,000",Upgrade,Financials in USD,Fiscal year is April - March
Income Tax Expense,"41,734,000","22,224,000","5,190,000","369,000","1,686,000","7,124,000",Upgrade,Financials in USD,Fiscal year is April - March
Earnings From Continuing Operations,"4,452,631,000","4,231,206,000","-1,230,024,000","-924,116,000","-900,233,000","-568,110,000",Upgrade,Financials in USD,Fiscal year is April - March
Earnings From Discontinued Operations,"215,104,000",-,"114,561,000",-,-,"1,578,426,000",Upgrade,Financials in USD,Fiscal year is April - March
Net Income to Company,"4,667,735,000","4,231,206,000","-1,115,463,000","-924,116,000","-900,233,000","1,010,316,000",Upgrade,Financials in USD,Fiscal year is April - March
Minority Interest in Earnings,"142,447,000","117,720,000","106,433,000","78,854,000","90,999,000","190,193,000",Upgrade,Financials in USD,Fiscal year is April - March
Net Income,"4,810,182,000","4,348,926,000","-1,009,030,000","-845,262,000","-809,234,000","1,200,509,000",Upgrade,Financials in USD,Fiscal year is April - March
Preferred Dividends & Other Adjustments,-,-,-,-,-,"77,777,000",Upgrade,Financials in USD,Fiscal year is April - March
Net Income to Common,"4,810,182,000","4,348,926,000","-1,009,030,000","-845,262,000","-809,234,000","1,122,732,000",Upgrade,Financials in USD,Fiscal year is April - March
Shares Outstanding (Basic),"768,679,952","783,248,906","712,791,115","669,753,458","630,046,720","219,036,630",Upgrade,Financials in USD,Fiscal year is April - March
Shares Outstanding (Diluted),"816,480,490","831,049,444","712,791,115","669,753,458","630,046,720","219,036,630",Upgrade,Financials in USD,Fiscal year is April - March
Shares Change (YoY),9.413%,16.591%,6.426%,6.302%,187.644%,4.932%,Upgrade,Financials in USD,Fiscal year is April - March
EPS (Basic),6.258,5.552,-1.416,-1.262,-1.284,5.126,Upgrade,Financials in USD,Fiscal year is April - March
EPS (Diluted),5.886,5.230,-1.419,-1.262,-1.284,5.126,Upgrade,Financials in USD,Fiscal year is April - March
Free Cash Flow,"-781,209,000","-766,650,000","-856,083,000","-695,165,000","-557,944,000","-763,666,000",Upgrade,Financials in USD,Fiscal year is April - March
Free Cash Flow Per Share,-0.957,-0.923,-1.201,-1.038,-0.886,-3.486,Upgrade,Financials in USD,Fiscal year is April - March
Gross Margin,-,-,-,-,-,-290.533%,Upgrade,Financials in USD,Fiscal year is April - March
Operating Margin,-883.489%,-865.374%,-1758.435%,-1517.288%,-1995.234%,-786.575%,Upgrade,Financials in USD,Fiscal year is April - March
