Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Operating Revenue,"10,091,000","1,698,000","6,360,000","2,330,000","1,715,000","2,908,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"10,091,000","1,698,000","6,360,000","2,330,000","1,715,000","2,908,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),82.709%,-73.302%,172.961%,35.860%,-41.025%,97.554%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"128,215,000","130,481,000","117,354,000","110,839,000","134,888,000","105,418,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-118,124,000","-128,783,000","-110,994,000","-108,509,000","-133,173,000","-102,510,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","83,138,000","46,745,000","31,899,000","31,865,000","34,972,000","39,452,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"16,934,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"100,072,000","46,745,000","31,899,000","31,865,000","34,972,000","39,452,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-218,196,000","-175,528,000","-142,893,000","-140,374,000","-168,145,000","-141,962,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-70,257,000","-45,067,000","-8,905,000","-1,105,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"27,918,000","13,505,000","1,708,000","262,000","536,000","2,542,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"2,674,000","2,600,000","1,800,000","-2,300,000","-200,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-11,687,000","261,000","338,000","155,000","1,552,000","4,514,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-269,548,000","-204,229,000","-147,952,000","-143,362,000","-166,257,000","-134,906,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-223,000","-3,791,000","-515,000","-676,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-414,000","-382,000",-,-,-,"-4,102,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"-100,000","2,000,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-270,185,000","-208,402,000","-148,567,000","-142,038,000","-166,257,000","-139,008,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"42,000","-19,000","272,000","58,000","-24,163,000","-15,159,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-270,227,000","-208,383,000","-148,839,000","-142,096,000","-142,094,000","-123,849,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-270,227,000","-208,383,000","-148,839,000","-142,096,000","-142,094,000","-123,849,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"232,134,317","173,941,926","94,993,400","72,084,078","51,558,075","43,065,542",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"232,134,317","173,941,926","94,993,400","72,084,078","51,558,075","43,065,542",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),47.725%,83.109%,31.781%,39.811%,19.720%,25.922%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.164,-1.198,-1.567,-1.971,-2.756,-2.876,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.164,-1.198,-1.567,-1.971,-2.756,-2.876,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-205,610,000","-156,573,000","-123,149,000","-126,718,000","-132,439,000","-119,825,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.886,-0.900,-1.296,-1.758,-2.569,-2.782,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-2162.283%,-10337.338%,-2246.745%,-6024.635%,-9804.373%,-4881.774%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-2677.901%,-12272.261%,-2340.236%,-6098.541%,-8285.364%,-4258.906%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-2037.558%,-9221.025%,-1936.305%,-5438.541%,-7722.391%,-4120.530%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-210,782,000","-168,963,000","-135,536,000","-132,006,000","-162,578,000","-137,398,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"7,414,000","6,565,000","7,357,000","8,368,000","5,567,000","4,564,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-218,196,000","-175,528,000","-142,893,000","-140,374,000","-168,145,000","-141,962,000",Upgrade,Financials in USD,Fiscal year is January - December
