Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
Revenue,"8,381,000","19,049,000","39,850,000","589,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-85.350%,-52.198%,6665.705%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"23,771,000","17,653,000","14,355,000","15,173,000","6,648,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-15,390,000","1,396,000","25,495,000","-14,584,000","-6,648,000",-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","14,197,000","11,959,000","7,269,000","8,121,000","2,818,000","1,820,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"-113,000",-,-,-,-,"2,373,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"14,084,000","11,959,000","7,269,000","8,121,000","2,818,000","4,193,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-29,474,000","-10,563,000","18,226,000","-22,705,000","-9,466,000","-4,193,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-1,328,000","-1,328,000","-9,000","-2,000","-6,847,000","-1,409,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,198,000","1,800,000","159,000","4,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,-,"-3,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,418,000","151,000",-,"-33,829,000","-1,477,000","-567,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-27,186,000","-9,940,000","18,373,000","-56,532,000","-17,790,000","-6,169,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-8,000","-34,000","-170,000","-70,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-91,000","3,672,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-27,194,000","-9,974,000","18,203,000","-56,693,000","-24,620,000","-6,169,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-2,000","12,000","315,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-27,192,000","-9,986,000","17,888,000","-56,693,000","-24,620,000","-6,169,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-27,192,000","-9,986,000","17,888,000","-56,693,000","-24,620,000","-6,169,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"24,877,751","21,589,821","19,931,080","14,852,745","4,661,110","2,844,832",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"24,877,751","21,589,821","20,597,212","14,852,745","4,661,110","2,844,832",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),14.600%,4.819%,38.676%,218.653%,63.845%,19.083%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.093,-0.463,0.897,-3.817,-5.282,-2.168,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.093,-0.463,0.870,-3.820,-5.282,-2.168,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-13,590,000","-1,112,000","14,314,000","-19,470,000","-8,272,000","-3,618,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.546,-0.052,0.695,-1.311,-1.775,-1.272,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-183.630%,7.328%,63.977%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-351.676%,-55.452%,45.737%,-3854.839%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-324.448%,-52.423%,44.888%,-9625.297%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-162.152%,-5.838%,35.920%,-3305.603%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-29,466,500","-10,557,000","18,230,000","-22,701,000","-9,458,000","-4,190,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-55.420%,45.746%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"7,500","6,000","4,000","4,000","8,000","3,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-29,474,000","-10,563,000","18,226,000","-22,705,000","-9,466,000","-4,193,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-55.452%,45.736%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,1.730%,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
