Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Operating Revenue,-,-,"4,010,000","18,394,000","43,975,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Other Revenue,-,-,-,-,"22,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue,-,-,"4,010,000","18,394,000","43,997,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-78.199%,-58.193%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,"651,000","5,820,000","34,548,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,"3,359,000","12,574,000","9,449,000",-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","4,570,000","4,662,000","6,305,000","9,388,000","18,198,000","7,143,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"37,740,000","32,848,000","31,544,000","28,268,000","9,527,000","24,090,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"42,310,000","37,510,000","37,849,000","37,656,000","27,725,000","31,233,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-42,310,000","-37,510,000","-34,490,000","-25,082,000","-18,276,000","-31,233,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"10,319,000","10,421,000","3,823,000","467,000","2,456,000","564,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-182,000","1,893,000","-2,800,000","-711,000","3,496,000","-888,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"28,000","883,000","-121,000","-132,000","-503,000","10,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-32,748,000","-24,313,000","-33,588,000","-25,458,000","-12,827,000","-31,547,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,"750,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-32,748,000","-24,313,000","-33,588,000","-25,458,000","-12,827,000","718,453,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-90,000","244,000","-688,000","-8,044,000","-1,606,000","49,824,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-32,658,000","-24,557,000","-32,900,000","-17,414,000","-11,221,000","668,629,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-32,658,000","-24,557,000","-32,900,000","-17,414,000","-11,221,000","668,629,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"30,455,060","30,438,459","30,439,275","30,043,380","30,823,458","38,945,468",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"30,455,060","30,438,459","30,439,275","30,043,380","30,823,458","46,319,457",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.057%,-0.003%,1.318%,-2.531%,-33.455%,29.368%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.072,-0.807,-1.081,-0.580,-0.364,17.168,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.076,-0.810,-1.081,-0.580,-0.364,14.440,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-29,191,000","-19,087,000","-15,409,000","65,920,000","-68,876,000","-18,474,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.958,-0.627,-0.506,2.194,-2.235,-0.399,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,83.766%,68.359%,21.476%,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-860.100%,-136.360%,-41.539%,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-820.449%,-94.672%,-25.504%,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-384.264%,358.378%,-156.547%,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-40,570,000","-35,766,000","-31,876,000","-22,434,000","-16,038,000","-28,872,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-121.964%,-36.452%,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,740,000","1,744,000","2,614,000","2,648,000","2,238,000","2,361,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-42,310,000","-37,510,000","-34,490,000","-25,082,000","-18,276,000","-31,233,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-136.360%,-41.539%,-,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,-,6.935%,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,"4,010,000","18,394,000","43,997,000",-,Upgrade,Financials in USD,Fiscal year is January - December
