Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Operating Revenue,"188,819,000","179,388,000","157,629,000","155,649,000","151,855,000","145,712,000","140,022,000","135,023,000","120,129,000","123,467,000","120,368,000","120,887,000","112,198,000","101,663,000","103,020,000","95,921,000","83,431,000","85,806,000","84,688,000","83,383,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Revenue,"2,395,000","3,006,000","14,207,000","22,456,000","28,701,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue,"191,214,000","182,394,000","171,836,000","178,105,000","180,556,000","145,712,000","140,022,000","135,023,000","120,129,000","123,467,000","120,368,000","120,887,000","112,198,000","101,663,000","103,020,000","95,921,000","83,431,000","85,806,000","84,688,000","83,383,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),5.903%,25.174%,22.721%,31.907%,50.302%,18.017%,16.328%,11.694%,7.069%,21.447%,16.839%,26.028%,34.480%,18.480%,21.647%,15.037%,4.110%,8.551%,6.139%,-7.032%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"89,273,000","87,228,000","81,736,000","81,965,000","72,153,000","72,974,000","63,482,000","63,855,000","61,619,000","60,111,000","64,542,000","64,653,000","61,015,000","54,287,000","58,074,000","59,089,000","46,923,000","52,629,000","47,865,000","50,002,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"101,941,000","95,166,000","90,100,000","96,140,000","108,403,000","72,738,000","76,540,000","71,168,000","58,510,000","63,356,000","55,826,000","56,234,000","51,183,000","47,376,000","44,946,000","36,832,000","36,508,000","33,177,000","36,823,000","33,381,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","23,816,000","22,297,000","25,047,000","21,741,000","19,061,000","18,999,000","20,592,000","16,100,000","16,768,000","15,735,000","17,989,000","12,896,000","15,655,000","18,694,000","19,875,000","13,520,000","15,347,000","19,950,000","14,040,000","13,981,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"21,077,000","17,652,000","17,043,000","20,419,000","16,664,000","16,843,000","19,815,000","17,236,000","18,514,000","22,798,000","16,223,000","17,286,000","10,759,000","18,122,000","14,765,000","18,133,000","17,644,000","16,149,000","15,303,000","19,644,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"44,893,000","39,949,000","42,090,000","42,160,000","35,725,000","35,842,000","40,407,000","33,336,000","35,282,000","38,533,000","34,212,000","30,182,000","26,414,000","36,816,000","34,640,000","31,653,000","32,991,000","36,099,000","29,343,000","33,625,000",Upgrade,Financials in USD,Fiscal year is January - December
