Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"13,049,000","8,083,000","8,612,000","3,637,000",-,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),54.116%,-6.143%,136.789%,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"59,823,000","54,922,000","53,441,000","26,237,000","3,041,000",-,Financials in USD,Fiscal year is January - December
Gross Profit,"-46,774,000","-46,839,000","-44,829,000","-22,600,000","-3,041,000",-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","39,188,000","26,140,000","22,262,000","10,329,000","1,802,000","772,000",Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,-,-,"2,999,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"39,188,000","26,140,000","22,262,000","10,329,000","1,802,000","3,771,000",Financials in USD,Fiscal year is January - December
Operating Income,"-85,962,000","-72,979,000","-67,091,000","-32,929,000","-4,843,000","-3,771,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,"-206,000","-233,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"25,426,000","14,686,000","4,032,000","257,000",-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-60,536,000","-58,293,000","-63,059,000","-32,672,000","-5,049,000","-4,004,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,"-1,735,000",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-60,536,000","-58,293,000","-63,059,000","-32,672,000","-6,784,000","-4,004,000",Financials in USD,Fiscal year is January - December
Net Income,"-60,536,000","-58,293,000","-63,059,000","-32,672,000","-6,784,000","-4,004,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-60,536,000","-58,293,000","-63,059,000","-32,672,000","-6,784,000","-4,004,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"51,215,996","44,016,283","41,469,631","23,530,252","915,146","669,428",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"51,215,996","44,016,283","41,469,631","23,530,252","915,146","669,428",Financials in USD,Fiscal year is January - December
Shares Change (YoY),19.847%,6.141%,76.240%,2471.202%,36.706%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.182,-1.324,-1.521,-1.389,-7.413,-5.981,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.186,-1.324,-1.521,-1.389,-7.413,-5.981,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-37,822,000","-52,425,000","-49,367,000","-18,458,000","-4,369,000","-3,828,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.738,-1.191,-1.190,-0.784,-4.774,-5.718,Financials in USD,Fiscal year is January - December
Operating Margin,-658.763%,-902.870%,-779.041%,-905.389%,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-463.913%,-721.180%,-732.222%,-898.323%,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-289.846%,-648.583%,-573.235%,-507.506%,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-83,883,000","-71,024,000","-66,250,000","-32,816,000","-4,830,000","-3,765,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"2,079,000","1,955,000","841,000","113,000","13,000","6,000",Financials in USD,Fiscal year is January - December
EBIT,"-85,962,000","-72,979,000","-67,091,000","-32,929,000","-4,843,000","-3,771,000",Financials in USD,Fiscal year is January - December
