Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"628,555,000","482,375,000","401,858,000","365,978,000","353,874,000","306,486,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),39.671%,20.036%,9.804%,3.420%,15.462%,21.986%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"9,803,000","6,481,000","5,385,000","5,281,000","5,582,000","5,504,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"618,752,000","475,894,000","396,473,000","360,697,000","348,292,000","300,982,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","244,100,000","184,259,000","152,848,000","122,356,000","105,326,000","100,359,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"231,294,000","184,353,000","130,991,000","113,864,000","114,764,000","89,017,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"475,394,000","368,612,000","283,839,000","236,220,000","220,090,000","189,376,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"143,358,000","107,282,000","112,634,000","124,477,000","128,202,000","111,606,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"22,984,000","17,275,000","3,557,000","529,000","3,400,000","5,070,000",Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,"-14,000,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"166,342,000","124,557,000","116,191,000","125,006,000","131,602,000","116,676,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"24,524,000","18,417,000","14,773,000","12,494,000","25,591,000","22,495,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"141,818,000","106,140,000","101,418,000","112,512,000","106,011,000","94,181,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"1,331,000","644,000","130,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"140,487,000","105,496,000","101,288,000","112,512,000","106,011,000","94,181,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,55.186%,4.656%,-9.860%,6.132%,12.561%,24.892%,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"102,930,750","103,560,000","106,787,000","115,653,000","115,412,000","114,349,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"111,379,750","111,742,000","115,966,000","125,963,000","124,194,000","122,566,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-1.558%,-3.642%,-7.936%,1.424%,1.328%,-3.254%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),1.365,1.019,0.949,0.973,0.919,0.824,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),1.261,0.940,0.870,0.890,0.850,0.770,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,57.969%,8.046%,-2.247%,4.706%,10.390%,28.333%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"142,603,000","126,900,000","119,910,000","167,423,000","150,732,000","135,029,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,1.280,1.136,1.034,1.329,1.214,1.102,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,98.440%,98.656%,98.660%,98.557%,98.423%,98.204%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,22.808%,22.240%,28.028%,34.012%,36.228%,36.415%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,22.351%,21.870%,25.205%,30.743%,29.957%,30.729%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,22.687%,26.307%,29.839%,45.747%,42.595%,44.057%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"144,086,000","108,324,000","113,893,000","125,958,000","128,727,000","112,309,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,22.923%,22.456%,28.342%,34.417%,36.377%,36.644%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"728,000","1,042,000","1,259,000","1,481,000","525,000","703,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"143,358,000","107,282,000","112,634,000","124,477,000","128,202,000","111,606,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,22.808%,22.240%,28.028%,34.012%,36.228%,36.415%,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,14.743%,14.786%,12.714%,9.995%,19.446%,19.280%,Upgrade,Financials in USD,Fiscal year is January - December
