Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"1,927,000","2,171,000","1,827,000","2,669,000","1,744,000","2,081,000","2,054,000","3,315,000","11,977,000","2,076,000","1,915,000","7,297,000","2,165,000","2,303,000","2,212,000",-,"1,810,000","24,498,000","1,595,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),10.493%,4.325%,-11.052%,-19.487%,-85.439%,0.241%,7.258%,-54.570%,453.210%,-9.857%,-13.427%,-,19.613%,-90.599%,38.683%,-,-83.183%,514.755%,-61.389%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"2,677,000","2,603,000","4,408,000","6,271,000","7,511,000","8,305,000","8,981,000","10,468,000","10,226,000","9,210,000","8,546,000","9,295,000","8,387,000","7,792,000","8,327,000",-,"7,209,000","6,820,000","7,983,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-750,000","-432,000","-2,581,000","-3,602,000","-5,767,000","-6,224,000","-6,927,000","-7,153,000","1,751,000","-7,134,000","-6,631,000","-1,998,000","-6,222,000","-5,489,000","-6,115,000",-,"-5,399,000","17,678,000","-6,388,000",-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,217,000","2,972,000","3,136,000","2,652,000","3,790,000","3,827,000","4,095,000","4,345,000","3,883,000","3,952,000","3,735,000","4,514,000","3,236,000","3,168,000","3,531,000",-,"3,429,000","3,337,000","3,431,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"3,217,000","2,972,000","3,136,000","2,652,000","3,790,000","3,827,000","4,095,000","4,345,000","3,883,000","3,952,000","3,735,000","4,514,000","3,236,000","3,168,000","3,531,000",-,"3,429,000","3,337,000","3,431,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-3,967,000","-3,404,000","-5,717,000","-6,254,000","-9,557,000","-10,051,000","-11,022,000","-11,498,000","-2,132,000","-11,086,000","-10,366,000","-6,512,000","-9,458,000","-8,657,000","-9,646,000",-,"-8,828,000","14,341,000","-9,819,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-364,000","-445,000","-529,000","-617,000","-700,000","-749,000","-726,000","-654,000","-623,000","-592,000","-530,000","-542,000","-553,000","-528,000","-525,000",-,"-546,000","-552,000","-592,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"163,000","227,000","321,000","448,000","653,000","511,000","517,000","433,000","284,000","127,000","54,000","46,000","34,000","39,000","37,000",-,"84,000","135,000","258,000",-,Upgrade,Financials in USD,Fiscal year is January - December
