Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"3,495,990","2,841,794","6,722,090",-,"4,099,750",-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),22.267%,-57.725%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"7,612,903","7,531,434","4,135,712",-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"-4,116,913","-4,689,640","2,586,378",-,"4,099,750",-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","24,292,907","13,440,004","8,412,791","5,302,210","2,752,019","2,081,940",Financials in USD,Fiscal year is January - December
Research & Development,"7,378,280","7,587,516","9,252,365","8,065,624","7,172,256","5,283,334",Financials in USD,Fiscal year is January - December
Operating Expenses,"31,671,187","21,027,520","17,665,156","13,367,834","9,924,275","7,365,274",Financials in USD,Fiscal year is January - December
Operating Income,"-35,788,100","-25,717,160","-15,078,778","-13,367,834","-5,824,525","-7,365,274",Financials in USD,Fiscal year is January - December
Interest Expense,"-381,606","-283,042","-126,660",-,-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,-,-,-,-,"22,324","72,353",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"123,009","741,855","491,105","-61,945",-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-36,046,697","-25,258,347","-14,714,333","-13,429,779","-5,802,201","-7,292,921",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"15,625","264,070","-186,370",-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"-1,300,000",-,-,"567,311",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-37,331,072","-24,994,277","-14,900,703","-12,862,468","-5,802,201","-7,292,921",Financials in USD,Fiscal year is January - December
Net Income,"-37,331,072","-24,994,277","-14,900,703","-12,862,468","-5,802,201","-7,292,921",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,"1,271,675","489,610",Financials in USD,Fiscal year is January - December
Net Income to Common,"-37,331,072","-24,994,277","-14,900,703","-12,862,468","-7,073,876","-7,782,531",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"37,216,698","35,929,446","35,822,249","18,770,935","4,739,285","4,286,528",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"37,216,698","35,929,446","35,822,249","18,770,935","4,739,285","4,286,528",Financials in USD,Fiscal year is January - December
Shares Change (YoY),3.680%,0.299%,90.839%,296.071%,10.562%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.003,-0.696,-0.416,-0.685,-1.493,-1.816,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.003,-0.696,-0.416,-0.685,-1.493,-1.816,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-19,151,194","-28,716,721","-20,661,238","-11,022,980","-10,618,008","-8,225,423",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.515,-0.799,-0.577,-0.587,-2.240,-1.919,Financials in USD,Fiscal year is January - December
Gross Margin,-117.761%,-165.024%,38.476%,-,100.000%,-,Financials in USD,Fiscal year is January - December
Operating Margin,-1023.690%,-904.962%,-224.317%,-,-142.070%,-,Financials in USD,Fiscal year is January - December
Profit Margin,-1067.825%,-879.525%,-221.668%,-,-172.544%,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-547.805%,-1010.514%,-307.363%,-,-258.992%,-,Financials in USD,Fiscal year is January - December
EBITDA,"-35,338,410","-24,908,718","-14,489,170","-12,824,236","-5,251,657","-6,943,457",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-215.546%,-,-128.097%,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"449,690","808,442","589,608","543,598","572,868","421,817",Financials in USD,Fiscal year is January - December
EBIT,"-35,788,100","-25,717,160","-15,078,778","-13,367,834","-5,824,525","-7,365,274",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-224.317%,-,-142.070%,-,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,-,"4,099,750",-,Financials in USD,Fiscal year is January - December
