Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020",,
Revenue,-,-,"654,000","1,657,000","518,476",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-60.531%,219.590%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"63,935,000","53,130,000","49,162,000","45,121,000","4,318,765",Financials in USD,Fiscal year is January - December
Gross Profit,"-63,935,000","-53,130,000","-48,508,000","-43,464,000","-3,800,289",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","29,423,000","15,383,000","12,001,000","7,173,000","787,499",Financials in USD,Fiscal year is January - December
Operating Expenses,"29,423,000","15,383,000","12,001,000","7,173,000","787,499",Financials in USD,Fiscal year is January - December
Operating Income,"-93,358,000","-68,513,000","-60,509,000","-50,637,000","-4,587,788",Financials in USD,Fiscal year is January - December
Interest Expense,"-157,000","-205,000","-91,000",-,"-147,150",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"7,193,000","2,867,000","1,325,000","15,000",-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-16,000","-13,000","-2,000",-,"4,241",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-86,338,000","-65,864,000","-59,277,000","-50,622,000","-4,730,697",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-258,000","-530,000",-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,"-422,091",Financials in USD,Fiscal year is January - December
Pretax Income,"-86,596,000","-66,394,000","-59,277,000","-50,622,000","-5,152,788",Financials in USD,Fiscal year is January - December
Net Income,"-86,596,000","-66,394,000","-59,277,000","-50,622,000","-5,152,788",Financials in USD,Fiscal year is January - December
Net Income to Common,"-86,596,000","-66,394,000","-59,277,000","-50,622,000","-5,152,788",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"27,656,120","5,354,368","1,630,348","1,552,714","1,441,441",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"27,656,120","5,354,368","1,630,348","1,552,714","1,441,441",Financials in USD,Fiscal year is January - December
Shares Change (YoY),1601.387%,228.419%,5.000%,7.720%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-3.131,-12.400,-36.358,-32.602,-3.575,Financials in USD,Fiscal year is January - December
EPS (Diluted),-3.131,-12.400,-36.358,-32.602,-3.575,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-67,360,000","-59,611,000","-55,232,000","-44,370,000","-3,133,396",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.436,-11.133,-33.877,-28.576,-2.174,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-9252.141%,-3055.944%,-884.860%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-9063.761%,-3055.039%,-993.833%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-8445.260%,-2677.731%,-604.347%,Financials in USD,Fiscal year is January - December
EBITDA,"-92,728,000","-67,936,000","-60,241,000","-50,624,000",-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"630,000","577,000","268,000","13,000",-,Financials in USD,Fiscal year is January - December
EBIT,"-93,358,000","-68,513,000","-60,509,000","-50,637,000","-4,587,788",Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,"654,000","1,657,000","518,476",Financials in USD,Fiscal year is January - December
