Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"24,489,000","27,461,000","10,161,000","28,650,000","13,288,000","12,839,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),47.854%,170.259%,-64.534%,115.608%,3.497%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"8,050,000","2,945,000","222,000","2,059,000","1,305,000","2,945,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"16,439,000","24,516,000","9,939,000","26,591,000","11,983,000","9,894,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","54,175,000","35,089,000","15,613,000","9,226,000","8,444,000","11,415,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"44,389,000","39,031,000","19,228,000","9,636,000","8,320,000","18,816,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"103,183,000","74,120,000","34,841,000","18,862,000","16,764,000","30,231,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-86,744,000","-49,604,000","-24,902,000","7,729,000","-4,781,000","-20,337,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-5,913,000","-1,501,000","-335,000","-376,000","-7,090,000","-6,514,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,458,000","4,541,000","1,513,000","261,000","89,000","309,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"309,000","-98,000","15,159,000","-26,000","-184,000","1,998,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-89,890,000","-46,662,000","-8,565,000","7,588,000","-11,966,000","-24,544,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,"-828,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"226,000","613,000","-577,000","-13,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-16,096,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-89,664,000","-46,049,000","-26,805,000","-8,521,000","-12,794,000","-24,544,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,"-33,000","34,000","-34,000","-22,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-89,664,000","-46,049,000","-26,772,000","-8,555,000","-12,760,000","-24,522,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,"54,342,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-89,664,000","-46,049,000","-26,772,000","-62,897,000","-12,760,000","-24,522,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"42,562,292","35,452,460","34,488,800","29,766,347","3,980,975","1,853,397",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"42,562,292","35,452,460","34,488,800","29,766,347","3,980,975","1,853,397",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),23.728%,2.794%,15.865%,647.715%,114.793%,65.389%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.107,-1.299,-0.776,-2.113,-3.205,-13.231,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.107,-1.299,-0.776,-2.113,-3.210,-13.231,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-69,645,000","-33,831,000","-18,810,000","10,337,000","-1,972,000","-23,763,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.636,-0.954,-0.545,0.347,-0.495,-12.821,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,67.128%,89.276%,97.815%,92.813%,90.179%,77.062%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-354.216%,-180.634%,-245.074%,26.977%,-35.980%,-158.400%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-366.140%,-167.689%,-263.478%,-219.536%,-96.026%,-190.996%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-284.393%,-123.197%,-185.120%,36.080%,-14.840%,-185.085%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-81,216,000","-48,598,000","-23,958,000","7,986,000","-4,508,000","-20,033,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-176.971%,-235.784%,27.874%,-33.925%,-156.032%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"5,528,000","1,006,000","944,000","257,000","273,000","304,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-86,744,000","-49,604,000","-24,902,000","7,729,000","-4,781,000","-20,337,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-180.634%,-245.074%,26.977%,-35.980%,-158.400%,Upgrade,Financials in USD,Fiscal year is January - December
