Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"20,409,000","34,164,000","59,077,000","34,748,000","23,268,000","18,318,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-68.450%,-42.170%,70.016%,49.338%,27.023%,-,Financials in USD,Fiscal year is January - December
Gross Profit,"20,409,000","34,164,000","59,077,000","34,748,000","23,268,000","18,318,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","36,231,000","38,012,000","29,225,000","19,174,000","10,225,000","8,651,000",Financials in USD,Fiscal year is January - December
Research & Development,"51,589,000","51,826,000","44,042,000","37,005,000","24,796,000","13,208,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"102,181,000","103,392,000","86,317,000","69,147,000","46,821,000","32,163,000",Financials in USD,Fiscal year is January - December
Operating Income,"-81,772,000","-69,228,000","-27,240,000","-34,399,000","-23,553,000","-13,845,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-7,000","-5,000",-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,632,000","5,055,000","587,000",-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-20,000","1,000",-,"1,000",-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-78,160,000","-64,172,000","-26,653,000","-34,405,000","-23,558,000","-13,845,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"1,265,000",-,-,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,"1,900,000",-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"1,944,000","-191,000","592,000","-1,210,000","-2,070,000","818,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-76,216,000","-64,363,000","-26,061,000","-34,350,000","-23,728,000","-13,027,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"-13,198,000","-13,744,000","-3,727,000","-7,308,000","-6,171,000","562,000",Financials in USD,Fiscal year is January - December
Net Income,"-63,018,000","-50,619,000","-22,334,000","-27,042,000","-17,557,000","-13,589,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-63,018,000","-50,619,000","-22,334,000","-27,042,000","-17,557,000","-13,589,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"101,195,750","99,683,000","85,318,000","82,612,000",-,-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"101,195,750","99,683,000","85,318,000","82,612,000",-,-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),3.261%,16.837%,3.276%,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.623,-0.508,-0.262,-0.327,-,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.623,-0.508,-0.262,-0.327,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-46,849,000","703,000","-20,755,000","-9,742,000","1,866,000","-5,450,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.463,0.007,-0.243,-0.118,-,-,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,Financials in USD,Fiscal year is January - December
Operating Margin,-400.666%,-202.634%,-46.109%,-98.996%,-101.225%,-75.581%,Financials in USD,Fiscal year is January - December
Profit Margin,-308.776%,-148.165%,-37.805%,-77.823%,-75.456%,-74.184%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-229.551%,2.058%,-35.132%,-28.036%,8.020%,-29.752%,Financials in USD,Fiscal year is January - December
EBITDA,"-60,861,000","-49,731,000","-8,991,000","-18,147,000","-10,926,000","-3,252,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-298.207%,-145.565%,-15.219%,-52.224%,-46.957%,-17.753%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"20,911,000","19,497,000","18,249,000","16,252,000","12,627,000","10,593,000",Financials in USD,Fiscal year is January - December
EBIT,"-81,772,000","-69,228,000","-27,240,000","-34,399,000","-23,553,000","-13,845,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-202.634%,-46.109%,-98.996%,-101.225%,-75.581%,Financials in USD,Fiscal year is January - December
Revenue as Reported,"20,409,000","34,164,000","59,077,000","34,748,000","23,268,000","18,318,000",Financials in USD,Fiscal year is January - December
