Fiscal Quarter,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,+18 Quarters,Currency,Fiscal_Year_period
Period Ending,"Oct '24 Oct 31, 2024","Jul '24 Jul 31, 2024","Apr '24 Apr 30, 2024","Jan '24 Jan 31, 2024","Oct '23 Oct 31, 2023","Jul '23 Jul 31, 2023","Apr '23 Apr 30, 2023","Jan '23 Jan 31, 2023","Oct '22 Oct 31, 2022","Jul '22 Jul 31, 2022","Apr '22 Apr 30, 2022","Jan '22 Jan 31, 2022","Oct '21 Oct 31, 2021","Jul '21 Jul 31, 2021","Apr '21 Apr 30, 2021","Jan '21 Jan 31, 2021","Oct '20 Oct 31, 2020","Jul '20 Jul 31, 2020","Apr '20 Apr 30, 2020","Jan '20 Jan 31, 2020",+18 Quarters,,
Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,824,000","1,577,000",Upgrade,Financials in USD,Fiscal year is May - April
Revenue Growth (YoY),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30.690%,-59.460%,Upgrade,Financials in USD,Fiscal year is May - April
Cost of Revenue,"16,610,000","26,614,000","25,248,000","22,523,000","19,089,000","19,307,000","23,951,000","20,063,000","18,077,000","18,186,000","19,213,000","19,738,000","17,546,000","13,669,000","11,877,000","9,097,000","9,148,000","11,165,000","9,485,000","11,233,000",Upgrade,Financials in USD,Fiscal year is May - April
Gross Profit,"-16,610,000","-26,614,000","-25,248,000","-22,523,000","-19,089,000","-19,307,000","-23,951,000","-20,063,000","-18,077,000","-18,186,000","-19,213,000","-19,738,000","-17,546,000","-13,669,000","-11,877,000","-9,097,000","-9,148,000","-11,165,000","-5,661,000","-9,656,000",Upgrade,Financials in USD,Fiscal year is May - April
"Selling, General & Admin","29,201,000","17,601,000","23,207,000","10,628,000","10,657,000","9,786,000","7,777,000","6,882,000","7,806,000","8,130,000","7,598,000","6,945,000","6,057,000","5,847,000","6,165,000","3,560,000","3,633,000","3,278,000","3,296,000","3,068,000",Upgrade,Financials in USD,Fiscal year is May - April
Operating Expenses,"29,201,000","17,601,000","23,207,000","10,628,000","10,657,000","9,786,000","7,777,000","6,882,000","7,806,000","8,130,000","7,598,000","6,945,000","6,057,000","5,847,000","6,165,000","3,560,000","3,633,000","3,278,000","3,296,000","3,068,000",Upgrade,Financials in USD,Fiscal year is May - April
Operating Income,"-45,811,000","-44,215,000","-48,455,000","-33,151,000","-29,746,000","-29,093,000","-31,728,000","-26,945,000","-25,883,000","-26,316,000","-26,811,000","-26,683,000","-23,603,000","-19,516,000","-18,042,000","-12,657,000","-12,781,000","-14,443,000","-8,957,000","-12,724,000",Upgrade,Financials in USD,Fiscal year is May - April
Interest & Investment Income,"1,357,000","1,692,000","1,513,000","684,000","776,000","923,000","808,000","732,000","449,000","242,000","268,000","258,000","290,000","274,000","314,000","137,000","193,000","259,000","363,000","372,000",Upgrade,Financials in USD,Fiscal year is May - April
Currency Exchange Gain (Loss),"67,000","514,000","-139,000","1,120,000","-1,299,000","456,000","327,000","597,000","-317,000","-517,000","-1,008,000","-198,000","-280,000","-51,000","132,000","301,000","-24,000","438,000","-612,000","138,000",Upgrade,Financials in USD,Fiscal year is May - April
Other Non Operating Income (Expenses),"1,470,000","1,249,000","2,237,000","2,098,000","2,024,000","2,083,000","4,343,000","4,312,000","3,563,000","3,565,000","3,723,000","4,156,000","3,943,000","3,207,000","2,679,000","2,171,000","2,186,000","2,862,000","2,427,000","2,923,000",Upgrade,Financials in USD,Fiscal year is May - April
EBT Excluding Unusual Items,"-42,917,000","-40,760,000","-44,844,000","-29,249,000","-28,245,000","-25,631,000","-26,250,000","-21,304,000","-22,188,000","-23,026,000","-23,828,000","-22,467,000","-19,650,000","-16,086,000","-14,917,000","-10,048,000","-10,426,000","-10,884,000","-6,779,000","-9,291,000",Upgrade,Financials in USD,Fiscal year is May - April
Gain (Loss) on Sale of Investments,"649,000","317,000","195,000","221,000","595,000","314,000","-55,000","1,000","-69,000","-16,000","-285,000",-,-,"-23,000","-39,000",-,-,"70,000","71,000",-,Upgrade,Financials in USD,Fiscal year is May - April
Pretax Income,"-42,268,000","-40,443,000","-44,649,000","-29,028,000","-27,650,000","-25,317,000","-26,305,000","-21,303,000","-22,257,000","-23,042,000","-24,113,000","-22,467,000","-19,650,000","-16,109,000","-14,956,000","-10,048,000","-10,426,000","-10,814,000","-6,708,000","-9,291,000",Upgrade,Financials in USD,Fiscal year is May - April
Income Tax Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-124,000",-,Upgrade,Financials in USD,Fiscal year is May - April
Net Income,"-42,268,000","-40,443,000","-44,649,000","-29,028,000","-27,650,000","-25,317,000","-26,305,000","-21,303,000","-22,257,000","-23,042,000","-24,113,000","-22,467,000","-19,650,000","-16,109,000","-14,956,000","-10,048,000","-10,426,000","-10,814,000","-6,584,000","-9,291,000",Upgrade,Financials in USD,Fiscal year is May - April
Net Income to Common,"-42,268,000","-40,443,000","-44,649,000","-29,028,000","-27,650,000","-25,317,000","-26,305,000","-21,303,000","-22,257,000","-23,042,000","-24,113,000","-22,467,000","-19,650,000","-16,109,000","-14,956,000","-10,048,000","-10,426,000","-10,814,000","-6,584,000","-9,291,000",Upgrade,Financials in USD,Fiscal year is May - April
Shares Outstanding (Basic),"46,695,220","46,232,977","43,590,657","34,723,379","34,565,955","34,414,226","34,342,664","28,278,453","24,595,039","24,557,615","24,545,360","24,479,660","24,439,623","24,429,919","23,118,127","17,961,802","17,907,393","17,848,583","17,843,493","17,838,872",Upgrade,Financials in USD,Fiscal year is May - April
