Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022",,
"Selling, General & Admin","2,139,000","2,249,000","2,490,000","1,707,000","1,481,000","1,546,000","1,787,000","959,000","993,000","684,000","684,000",Financials in USD,Fiscal year is January - December
Research & Development,"1,213,000","975,000","960,000","773,000","571,000","547,000","478,000","345,000","348,000","227,000","227,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"3,352,000","3,224,000","3,450,000","2,480,000","2,052,000","2,093,000","2,265,000","1,304,000","1,341,000","911,000","911,000",Financials in USD,Fiscal year is January - December
Operating Income,"-3,352,000","-3,224,000","-3,450,000","-2,480,000","-2,052,000","-2,093,000","-2,265,000","-1,304,000","-1,341,000","-911,000","-911,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-5,000","-5,000","-4,000","-1,000",-,"-10,000","-135,000","-220,000","-221,000","-106,500","-106,500",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"79,000","70,000","39,000",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"2,778,000","4,057,000","-5,045,000","-7,236,000","-141,000","-57,000","-15,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-500,000","898,000","-8,460,000","-9,717,000","-2,193,000","-2,160,000","-2,415,000","-1,524,000","-1,562,000","-1,017,500","-1,017,500",Financials in USD,Fiscal year is January - December
Net Income,"-500,000","898,000","-8,460,000","-9,717,000","-2,193,000","-2,160,000","-2,415,000","-1,524,000","-1,562,000","-1,017,500","-1,017,500",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,"2,573,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-500,000","898,000","-8,460,000","-9,717,000","-2,193,000","-2,160,000","-4,988,000","-1,524,000","-1,562,000","-1,017,500","-1,017,500",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"33,516,656","32,719,125","31,133,762","28,230,842","28,230,842","28,230,842","28,230,842","28,230,842","28,230,842","28,230,842","28,230,842",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"33,516,656","32,719,125","31,133,762","28,230,842","28,230,842","28,230,842","28,230,842","28,230,842","28,230,842","28,230,842","28,230,842",Financials in USD,Fiscal year is January - December
Shares Change (YoY),18.724%,15.899%,10.283%,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.015,0.027,-0.272,-0.344,-0.078,-0.077,-0.177,-0.054,-0.055,-0.036,-0.036,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.015,0.027,-0.272,-0.344,-0.078,-0.077,-0.177,-0.054,-0.055,-0.036,-0.036,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-2,617,000","-2,013,000","-4,283,000","-1,603,000","-1,552,000","-1,649,000","-2,092,000","-1,173,000","-1,367,000","-763,000","-763,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.078,-0.062,-0.138,-0.057,-0.055,-0.058,-0.074,-0.042,-0.048,-0.027,-0.027,Financials in USD,Fiscal year is January - December
EBITDA,"-3,314,000","-3,187,000","-3,415,000","-2,449,000","-2,039,000","-2,091,000","-2,264,000",-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"38,000","37,000","35,000","31,000","13,000","2,000","1,000",-,-,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-3,352,000","-3,224,000","-3,450,000","-2,480,000","-2,052,000","-2,093,000","-2,265,000","-1,304,000","-1,341,000","-911,000","-911,000",Financials in USD,Fiscal year is January - December
