Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,Currency,Fiscal_Year_period
Period Ending,"Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020","Sep '19 Sep 30, 2019",,
Revenue,"988,914","939,583","763,391","1,208,288","1,574,607","1,027,674","917,072","3,860,501","1,947,121","3,215,147",Financials in USD,Fiscal year is April - March
Revenue Growth (YoY),29.542%,-22.238%,-51.519%,17.575%,71.699%,-73.380%,-52.901%,20.072%,-37.074%,-17.933%,Financials in USD,Fiscal year is April - March
Cost of Revenue,"723,284","651,242","426,804","1,118,604","646,921","703,717","898,458","1,039,565","1,082,804","1,375,762",Financials in USD,Fiscal year is April - March
Gross Profit,"265,630","288,341","336,587","89,684","927,686","323,957","18,614","2,820,936","864,317","1,839,385",Financials in USD,Fiscal year is April - March
"Selling, General & Admin","-6,991,098","9,637,362","4,444,260","1,240,130","3,225,832","3,215,484","3,379,500","1,657,126","1,984,681","2,060,138",Financials in USD,Fiscal year is April - March
Operating Expenses,"-6,991,098","9,637,362","4,444,260","1,240,130","3,225,832","3,215,484","3,379,500","1,657,126","1,984,681","2,060,138",Financials in USD,Fiscal year is April - March
Operating Income,"7,256,728","-9,349,021","-4,107,673","-1,150,446","-2,298,146","-2,891,527","-3,360,886","1,163,810","-1,120,364","-220,753",Financials in USD,Fiscal year is April - March
Interest Expense,"-216,856","-336,520","-92,490","-384,286","-36,946",-,"-664,361","-482,732","-1,251,349","-2,170,561",Financials in USD,Fiscal year is April - March
Interest & Investment Income,"9,097",-,-,-,182,69,-,"40,653","73,120",-,Financials in USD,Fiscal year is April - March
Other Non Operating Income (Expenses),"-28,419","-10,617","109,390","40,123","-306,995","125,414","-531,893","894,543","-111,850","38,079",Financials in USD,Fiscal year is April - March
EBT Excluding Unusual Items,"7,020,550","-9,696,158","-4,090,773","-1,494,609","-2,641,905","-2,766,044","-4,557,140","1,616,274","-2,410,443","-2,353,235",Financials in USD,Fiscal year is April - March
Asset Writedown,"-422,924",-,"-349,390",-,-,-,-,-,-,-,Financials in USD,Fiscal year is April - March
Other Unusual Items,-,-,-,-,-,-,-,-,"-5,625,916",-,Financials in USD,Fiscal year is April - March
Pretax Income,"6,597,626","-9,696,158","-4,440,163","-1,494,609","-2,641,905","-2,766,044","-4,557,140","1,616,274","-8,036,359","-2,353,235",Financials in USD,Fiscal year is April - March
Income Tax Expense,-,-,-,-,"2,366","325,780","-427,699","235,016","-96,556","-5,166",Financials in USD,Fiscal year is April - March
Net Income,"6,597,626","-9,696,158","-4,440,163","-1,494,609","-2,644,271","-3,091,824","-4,129,441","1,381,258","-7,939,803","-2,348,069",Financials in USD,Fiscal year is April - March
Net Income to Common,"6,597,626","-9,696,158","-4,440,163","-1,494,609","-2,644,271","-3,091,824","-4,129,441","1,381,258","-7,939,803","-2,348,069",Financials in USD,Fiscal year is April - March
Shares Outstanding (Basic),"1,233,377","501,467","431,630","102,316","52,083","31,099","28,784","28,780","13,365","11,363",Financials in USD,Fiscal year is April - March
Shares Outstanding (Diluted),"1,233,377","501,467","431,630","102,316","52,083","31,099","28,784","28,780","13,365","11,363",Financials in USD,Fiscal year is April - March
Shares Change (YoY),185.749%,390.116%,728.735%,229.001%,80.944%,8.058%,115.368%,153.278%,-,-,Financials in USD,Fiscal year is April - March
EPS (Basic),5.349,-19.336,-10.287,-14.608,-50.770,-99.419,-143.463,47.994,-594.074,-206.642,Financials in USD,Fiscal year is April - March
EPS (Diluted),5.349,-19.336,-10.287,-14.608,-50.770,-99.419,-143.463,47.994,-594.074,-206.642,Financials in USD,Fiscal year is April - March
Free Cash Flow,"-1,355,548","-579,568","417,799","-569,240","539,289","-333,486","-956,880","-452,725","2,925,144","-2,397,555",Financials in USD,Fiscal year is April - March
Free Cash Flow Per Share,-1.099,-1.156,0.968,-5.564,10.354,-10.723,-33.243,-15.731,218.866,-210.997,Financials in USD,Fiscal year is April - March
Operating Margin,733.808%,-995.018%,-538.082%,-95.213%,-145.950%,-281.366%,-366.480%,30.147%,-57.540%,-6.866%,Financials in USD,Fiscal year is April - March
Profit Margin,667.159%,-1031.964%,-581.637%,-123.696%,-167.932%,-300.856%,-450.285%,35.779%,-407.771%,-73.031%,Financials in USD,Fiscal year is April - March
Free Cash Flow Margin,-137.074%,-61.684%,54.729%,-47.111%,34.249%,-32.451%,-104.341%,-11.727%,150.229%,-74.571%,Financials in USD,Fiscal year is April - March
EBITDA,"7,357,225","-9,246,271","-3,967,477","-1,040,480","-2,164,139","-2,705,527","-3,198,397","1,346,735","-922,067","-87,213",Financials in USD,Fiscal year is April - March
D&A For EBITDA,"100,497","102,750","140,196","109,966","134,007","186,000","162,489","182,925","198,297","133,540",Financials in USD,Fiscal year is April - March
EBIT,"7,256,728","-9,349,021","-4,107,673","-1,150,446","-2,298,146","-2,891,527","-3,360,886","1,163,810","-1,120,364","-220,753",Financials in USD,Fiscal year is April - March
Revenue as Reported,"988,914","939,583","763,391","1,208,288","1,574,607","1,027,674","917,072","3,860,501","1,947,121","3,215,147",Financials in USD,Fiscal year is April - March
