Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022",,
Revenue,"2,172,000","1,863,000","874,000","457,000","924,000","969,000","476,000","1,175,000","1,173,000","3,204,000","865,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),135.065%,92.260%,83.613%,-61.106%,-21.228%,-69.757%,-44.971%,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"2,172,000","1,863,000","874,000","457,000","924,000","969,000","476,000","1,175,000","1,173,000","3,204,000","865,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","6,528,000","5,997,000","5,640,000","4,632,000","8,723,000","2,492,000","2,312,000","2,037,000","2,209,000","1,594,000","903,000",Financials in USD,Fiscal year is January - December
Research & Development,"25,544,000","18,070,000","13,078,000","8,781,000","7,960,000","10,253,000","5,847,000","9,831,000","7,218,000","7,456,000","4,874,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"32,072,000","24,067,000","18,718,000","13,413,000","16,683,000","12,745,000","8,159,000","11,868,000","9,427,000","9,050,000","5,777,000",Financials in USD,Fiscal year is January - December
Operating Income,"-29,900,000","-22,204,000","-17,844,000","-12,956,000","-15,759,000","-11,776,000","-7,683,000","-10,693,000","-8,254,000","-5,846,000","-4,912,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,445,000","4,708,000","4,222,000","2,444,000","1,027,000","687,000","606,000","640,000","416,000","89,000",-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-48,000","-31,000","-12,000","-32,000","-16,000","-28,000","-9,000","-20,000","56,000","68,000","32,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"22,000","-80,000","-114,000","-19,000","-15,000","-23,000","-3,000","-43,000","-2,000","-6,000","-1,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-25,481,000","-17,607,000","-13,748,000","-10,563,000","-14,763,000","-11,140,000","-7,089,000","-10,116,000","-7,784,000","-5,695,000","-4,881,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"307,000",-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-25,174,000","-17,607,000","-13,748,000","-10,563,000","-14,763,000","-11,140,000","-7,089,000","-10,116,000","-7,784,000","-5,695,000","-4,881,000",Financials in USD,Fiscal year is January - December
