Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
"Selling, General & Admin","1,676,020","2,394,912","2,352,097","2,145,000","2,021,724","2,014,777","2,575,266","2,175,183","1,942,995","2,363,095","2,104,975","2,273,855","2,670,317","137,527","124,254","416,418","196,578","137,134","194,118",Financials in USD,Fiscal year is January - December
Research & Development,"1,466,037","1,713,973","1,591,142","2,034,634","2,226,688","1,480,485","1,879,900","1,911,840","1,609,554","1,506,165","1,297,098","944,641","697,674","391,118","489,721","352,134","1,349,835","578,605","374,443",Financials in USD,Fiscal year is January - December
Operating Expenses,"3,142,057","4,108,885","3,943,239","4,179,634","4,248,412","3,495,262","4,455,166","4,087,023","3,552,549","3,869,260","3,402,073","3,218,496","3,367,991","528,645","613,975","768,552","1,546,413","715,739","568,561",Financials in USD,Fiscal year is January - December
Operating Income,"-3,142,057","-4,108,885","-3,943,239","-4,179,634","-4,248,412","-3,495,262","-4,455,166","-4,087,023","-3,552,549","-3,869,260","-3,402,073","-3,218,496","-3,367,991","-528,645","-613,975","-768,552","-1,546,413","-715,739","-568,561",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"73,021","93,618","136,562","176,854","326,024","250,197","201,928","431,246","86,184","33,758","36,919","2,174",827,"13,166","1,554","-1,667","3,680","3,121","9,980",Financials in USD,Fiscal year is January - December
Pretax Income,"-3,069,036","-4,015,267","-3,806,677","-4,002,780","-3,922,388","-3,245,065","-4,253,238","-3,655,777","-3,466,365","-3,835,502","-3,365,154","-3,216,322","-3,367,164","-515,479","-612,421","-770,219","-1,542,733","-712,618","-558,581",Financials in USD,Fiscal year is January - December
Net Income,"-3,069,036","-4,015,267","-3,806,677","-4,002,780","-3,922,388","-3,245,065","-4,253,238","-3,655,777","-3,466,365","-3,835,502","-3,365,154","-3,216,322","-3,367,164","-515,479","-612,421","-770,219","-1,542,733","-712,618","-558,581",Financials in USD,Fiscal year is January - December
Net Income to Common,"-3,069,036","-4,015,267","-3,806,677","-4,002,780","-3,922,388","-3,245,065","-4,253,238","-3,655,777","-3,466,365","-3,835,502","-3,365,154","-3,216,322","-3,367,164","-515,479","-612,421","-770,219","-1,542,733","-712,618","-558,581",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"9,510,447","8,543,919","8,442,364","8,401,047","8,401,047","8,401,047","8,401,047","8,272,685","8,258,597","8,258,597","8,258,597","8,284,086","4,180,744","1,944,672","1,944,672","1,944,672","1,944,672","732,635","732,635",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"9,510,447","8,543,919","8,442,364","8,401,047","8,401,047","8,401,047","8,401,047","8,272,685","8,258,597","8,258,597","8,258,597","8,284,086","4,180,744","1,944,672","1,944,672","1,944,672","1,944,672","732,635","732,635",Financials in USD,Fiscal year is January - December
Shares Change (YoY),13.205%,1.701%,0.492%,1.552%,1.725%,1.725%,1.725%,-0.138%,97.539%,324.678%,324.678%,325.989%,114.985%,165.435%,165.435%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.323,-0.470,-0.451,-0.476,-0.467,-0.386,-0.506,-0.442,-0.420,-0.464,-0.407,-0.388,-0.805,-0.265,-0.315,-0.396,-0.793,-0.973,-0.762,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.323,-0.470,-0.451,-0.476,-0.467,-0.386,-0.506,-0.442,-0.420,-0.464,-0.407,-0.388,-0.805,-0.265,-0.315,-0.396,-0.793,-0.973,-0.762,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-2,513,028","-2,477,951","-3,936,462","-2,601,945","-3,734,389","-2,106,759","-4,962,222","-2,210,913","-4,601,544","-3,148,162","-3,117,728","-3,539,715","-5,632,153","-1,296,937","-825,584","-957,030","-1,138,260","-816,603","-412,735",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.264,-0.290,-0.466,-0.310,-0.445,-0.251,-0.591,-0.267,-0.557,-0.381,-0.378,-0.427,-1.347,-0.667,-0.425,-0.492,-0.585,-1.115,-0.563,Financials in USD,Fiscal year is January - December
EBITDA,"-3,142,057","-4,108,885","-3,942,504","-4,179,314","-4,248,091","-3,494,940","-4,454,845","-4,086,702","-3,552,157","-3,868,726","-3,401,539","-3,217,961","-3,367,549","-528,432","-613,762","-768,339","-1,546,200","-715,526","-568,348",Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,-,735,320,321,322,321,321,392,534,534,535,442,213,213,213,213,213,213,Financials in USD,Fiscal year is January - December
EBIT,"-3,142,057","-4,108,885","-3,943,239","-4,179,634","-4,248,412","-3,495,262","-4,455,166","-4,087,023","-3,552,549","-3,869,260","-3,402,073","-3,218,496","-3,367,991","-528,645","-613,975","-768,552","-1,546,413","-715,739","-568,561",Financials in USD,Fiscal year is January - December
