Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
"Selling, General & Admin","29,555,000","28,884,000","30,651,000","26,957,000","10,586,000","3,830,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"116,707,000","103,393,000","92,889,000","86,778,000","48,177,000","24,279,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"146,262,000","132,277,000","123,540,000","113,735,000","58,763,000","28,109,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-143,262,000","-132,277,000","-123,540,000","-113,735,000","-58,763,000","-28,109,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"11,745,000","10,445,000","8,102,000","2,041,000","1,834,000","539,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-131,517,000","-121,832,000","-115,438,000","-111,694,000","-56,929,000","-27,570,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-131,517,000","-121,832,000","-115,438,000","-111,694,000","-56,929,000","-27,570,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-131,517,000","-121,832,000","-115,438,000","-111,694,000","-56,929,000","-27,570,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"74,236,632","60,357,052","47,371,589","46,049,763","12,478,463","1,668,549",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"74,236,632","60,357,052","47,371,589","46,049,763","12,478,463","1,668,549",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),35.267%,27.412%,2.870%,269.034%,647.863%,18.933%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.772,-2.019,-2.437,-2.426,-4.562,-16.523,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.772,-2.019,-2.437,-2.426,-4.562,-16.523,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-107,562,000","-110,576,000","-86,748,000","-85,854,000","-46,798,000","-26,445,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.449,-1.832,-1.831,-1.864,-3.750,-15.849,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-141,648,000","-131,108,000","-122,216,000","-112,820,000","-58,221,000","-27,727,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,614,000","1,169,000","1,324,000","915,000","542,000","382,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-143,262,000","-132,277,000","-123,540,000","-113,735,000","-58,763,000","-28,109,000",Upgrade,Financials in USD,Fiscal year is January - December
