Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q2 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021",,
"Selling, General & Admin","2,628,028","2,846,167","3,287,750","374,588","258,013","1,599,616","1,015,643","1,373,349","786,685","326,580","354,777","430,496","1,000",Financials in USD,Fiscal year is January - December
Research & Development,"1,774,210","2,302,070","1,264,320",-,"1,277,558","814,130","1,422,703",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,"-5,250",-,-,-,"-85,950","50,000","50,000","50,000","137,698",-,Financials in USD,Fiscal year is January - December
Operating Expenses,"4,402,238","5,148,237","4,552,070","369,338","1,535,571","2,413,746","2,438,346","1,287,399","836,685","376,580","404,777","568,194","1,000",Financials in USD,Fiscal year is January - December
Operating Income,"-4,402,238","-5,148,237","-4,552,070","-369,338","-1,535,571","-2,413,746","-2,438,346","-1,287,399","-836,685","-376,580","-404,777","-568,194","-1,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,"-16,977","-14,434",-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,418",-,"4,805","110,988",157,"59,417",16,"2,479,281","320,475","37,108",-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"169,853","2,269,225","2,120,117",-,"186,067","261,822",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-4,227,967","-2,895,989","-2,441,582","-258,350","-1,349,347","-2,092,507","-2,438,330","1,191,882","-516,210","-339,472","-404,777","-568,194","-1,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,"-915,859","661,176","227,903","26,780",-660,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"447,335","141,888",-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-4,227,967","-2,448,654","-2,299,694","-258,350","-1,349,347","-2,092,507","-2,438,330","276,023","144,966","-111,569","-377,997","-568,854","-1,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,"24,410",-,-,-,"538,698","60,461",-,-,"-28,917",-,Financials in USD,Fiscal year is January - December
Net Income,"-4,227,967","-2,448,654","-2,299,694","-282,760","-1,349,347","-2,092,507","-2,438,330","-262,675","84,505","-111,569","-377,997","-539,938","-1,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,"-572,211",-,-,-,-,-,-,-,-,"36,164,586",-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-4,227,967","-2,448,654","-1,727,483","-282,760","-1,349,347","-2,092,507","-2,438,330","-262,675","84,505","-111,569","-377,997","-36,704,524","-1,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"496,758","161,989","116,739","62,449","90,689","90,634","90,597","210,269","229,813","229,813","229,813","245,575","46,791",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"496,758","161,989","116,739","62,449","90,689","90,634","90,597","210,269","229,813","229,813","229,813","245,575","46,791",Financials in USD,Fiscal year is January - December
Shares Change (YoY),447.760%,78.729%,28.855%,-70.300%,-60.538%,-60.562%,-60.578%,-14.377%,391.148%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-8.511,-15.116,-14.798,-4.528,-14.879,-23.087,-26.914,-1.249,0.368,-0.485,-1.645,-149.464,-0.021,Financials in USD,Fiscal year is January - December
EPS (Diluted),-8.511,-15.116,-14.798,-4.528,-14.879,-23.087,-26.914,-1.249,0.368,-0.485,-1.645,-149.464,-0.021,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-2,758,588","-3,537,227","-5,080,058","-186,609","-1,318,299","-2,074,240","-1,436,678","-373,100","-174,349","-236,707","-308,091","-1,195,044",-,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-5.553,-21.836,-43.516,-2.988,-14.536,-22.886,-15.858,-1.774,-0.759,-1.030,-1.341,-4.866,-,Financials in USD,Fiscal year is January - December
EBITDA,"-4,288,383","-5,033,933","-4,438,427",-,"-1,420,183","-2,298,358","-2,322,958",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"113,855","114,304","113,643",-,"115,388","115,388","115,388",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-4,402,238","-5,148,237","-4,552,070","-369,338","-1,535,571","-2,413,746","-2,438,346","-1,287,399","-836,685","-376,580","-404,777","-568,194","-1,000",Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,-,-,-,195.164%,41.707%,-,-,-,-,Financials in USD,Fiscal year is January - December
