Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020",,
Revenue,"416,000","-1,023,000","88,643,000","108,449,000","102,693,000","98,216,000","71,428,000","21,885,000","345,000",-,-,-,"285,000",-,-,"350,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-99.595%,-,24.101%,395.540%,29666.087%,-,-,-,21.053%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"58,249,000","30,765,000","153,014,000","54,274,000","35,255,000","34,624,000","29,475,000","25,634,000","25,086,000","24,259,000","21,464,000","13,394,000","12,853,000","10,929,000","6,864,000","5,013,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-57,833,000","-31,788,000","-64,371,000","54,175,000","67,438,000","63,592,000","41,953,000","-3,749,000","-24,741,000","-24,259,000","-21,464,000","-13,394,000","-12,568,000","-10,929,000","-6,864,000","-4,663,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","17,828,000","21,647,000","57,759,000","52,241,000","48,718,000","43,391,000","44,006,000","40,844,000","29,940,000","29,994,000","26,350,000","14,921,000","10,350,000","7,658,000","6,004,000","3,929,000",Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,"22,851,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"17,828,000","44,498,000","57,759,000","52,241,000","48,718,000","43,391,000","44,006,000","40,844,000","29,940,000","29,994,000","26,350,000","14,921,000","10,350,000","7,658,000","6,004,000","3,929,000",Financials in USD,Fiscal year is January - December
Operating Income,"-75,661,000","-76,286,000","-122,130,000","1,934,000","18,720,000","20,201,000","-2,053,000","-44,593,000","-54,681,000","-54,253,000","-47,814,000","-28,315,000","-22,918,000","-18,587,000","-12,868,000","-8,592,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"3,098,000","4,069,000","4,326,000","4,371,000","4,179,000","3,887,000","3,718,000","3,157,000","601,000","402,000","131,000","30,000","3,000","1,000","2,000",-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-,"-483,000","-747,000","831,000",-,"-81,000","-262,000","-138,000","199,000","-42,000","-19,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-141,000",-,-,"-10,600,000","-488,000",-,-,"-2,607,000",-,-,-,"5,239,000","-227,000","-26,000","261,000","1,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-72,704,000","-72,700,000","-118,551,000","-3,464,000","22,411,000","24,007,000","1,403,000","-44,181,000","-53,881,000","-53,893,000","-47,702,000","-23,046,000","-23,142,000","-18,612,000","-12,605,000","-8,592,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"9,940,000",-,-,-,"2,056,000",-,-,-,"-98,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,"-5,200,000",-,"-3,310,000","-1,918,000",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-72,704,000","-72,700,000","-118,551,000","6,476,000","22,411,000","24,007,000","1,403,000","-42,125,000","-53,881,000","-53,893,000","-47,702,000","-28,344,000","-23,142,000","-21,922,000","-14,523,000","-8,592,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,"242,000","1,745,000","1,518,000","1,933,000","-170,000","579,000","-125,000","174,000","146,000",-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-72,704,000","-72,700,000","-118,793,000","4,731,000","20,893,000","22,074,000","1,573,000","-42,704,000","-53,756,000","-54,067,000","-47,848,000","-28,344,000","-23,142,000","-21,922,000","-14,523,000","-8,592,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-72,704,000","-72,700,000","-118,793,000","4,731,000","20,893,000","22,074,000","1,573,000","-42,704,000","-53,756,000","-54,067,000","-47,848,000","-28,344,000","-23,142,000","-21,922,000","-14,523,000","-8,592,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"68,091,446","68,024,929","67,854,356","67,414,669","67,414,669","67,233,617","66,717,271","65,416,712","58,533,226","58,275,903","51,604,310","6,913,976","6,757,152","6,433,889","6,234,637","6,101,854",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"68,091,446","68,024,929","67,854,356","69,196,421","69,748,547","70,132,040","70,863,665","65,416,712","58,533,226","58,275,903","51,604,310","6,913,976","6,757,152","6,433,889","6,234,637","6,101,854",Financials in USD,Fiscal year is January - December
Shares Change (YoY),-2.376%,-3.004%,-4.247%,5.778%,19.161%,20.345%,37.321%,846.152%,766.241%,805.765%,727.704%,13.309%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.068,-1.069,-1.751,0.070,0.310,0.328,0.024,-0.653,-0.918,-0.928,-0.927,-4.100,-3.425,-3.407,-2.329,-1.408,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.070,-1.070,-1.751,0.069,0.300,0.310,0.020,-0.653,-0.920,-0.930,-0.930,-4.100,-3.425,-3.407,-2.329,-1.408,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-77,754,000","-66,669,000","-556,000","13,195,000","-5,526,000","8,331,000","-5,322,000","-50,317,000","-43,537,000","-47,567,000","-40,976,000","-28,430,000","-21,018,000","-13,047,000","-12,657,000","-9,039,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.142,-0.980,-0.008,0.191,-0.079,0.119,-0.075,-0.769,-0.744,-0.816,-0.794,-4.112,-3.110,-2.028,-2.030,-1.481,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-72.618%,49.954%,65.669%,64.747%,58.735%,-17.130%,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-18187.740%,-,-137.777%,1.783%,18.229%,20.568%,-2.874%,-203.761%,-15849.565%,-,-,-,-8041.404%,-,-,-2454.857%,Financials in USD,Fiscal year is January - December
Profit Margin,-17476.923%,-,-134.013%,4.362%,20.345%,22.475%,2.202%,-195.129%,-15581.449%,-,-,-,-8120.000%,-,-,-2454.857%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-18690.865%,-,-0.627%,12.167%,-5.381%,8.482%,-7.451%,-229.915%,-12619.420%,-,-,-,-7374.737%,-,-,-2582.571%,Financials in USD,Fiscal year is January - December
EBITDA,"-75,440,000","-76,078,000","-121,815,000","2,235,000","19,022,000","20,482,000","-1,849,000","-44,411,000","-54,516,000","-54,148,000","-47,779,000","-28,293,000","-22,908,000","-18,577,000","-12,858,000","-8,591,750",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-137.422%,2.061%,18.523%,20.854%,-2.589%,-202.929%,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"221,000","208,000","315,000","301,000","302,000","281,000","204,000","182,000","165,000","105,000","35,000","22,000","10,000","10,000","10,000",250,Financials in USD,Fiscal year is January - December
EBIT,"-75,661,000","-76,286,000","-122,130,000","1,934,000","18,720,000","20,201,000","-2,053,000","-44,593,000","-54,681,000","-54,253,000","-47,814,000","-28,315,000","-22,918,000","-18,587,000","-12,868,000","-8,592,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-137.777%,1.783%,18.229%,20.568%,-2.874%,-203.761%,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,26.946%,6.773%,8.052%,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,"380,786,000",-,-,-,"22,230,000",-,-,-,-,"285,000",-,-,-,Financials in USD,Fiscal year is January - December
