Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"38,783,000","42,786,000","33,126,000","33,747,000","36,009,000","37,579,000","38,698,000","33,580,000","36,145,000","39,679,000","47,670,000","126,269,000","37,689,000","22,601,000","23,260,000","35,100,000","21,333,000","33,514,000","18,138,000","18,096,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),7.704%,13.856%,-14.399%,0.497%,-0.376%,-5.292%,-18.821%,-73.406%,-4.097%,75.563%,104.944%,259.741%,76.670%,-32.563%,28.239%,93.966%,62.240%,253.039%,11601.935%,8684.466%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"37,434,000","39,836,000","37,336,000","-97,883,000","36,464,000","32,671,000","33,690,000","-115,862,000","32,339,000","41,448,000","43,488,000","-107,145,000","43,491,000","35,119,000","37,983,000","38,237,000","37,475,000","42,990,000","34,816,000","32,973,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"1,349,000","2,950,000","-4,210,000","131,630,000","-455,000","4,908,000","5,008,000","149,442,000","3,806,000","-1,769,000","4,182,000","233,414,000","-5,802,000","-12,518,000","-14,723,000","-3,137,000","-16,142,000","-9,476,000","-16,678,000","-14,877,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","27,632,000","31,070,000","29,549,000","30,688,000","30,805,000","34,481,000","35,907,000","38,149,000","34,645,000","33,839,000","38,768,000","34,562,000","35,104,000","36,530,000","37,650,000","33,929,000","30,967,000","30,843,000","30,678,000","28,389,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,"138,750,000",-,-,-,"148,662,000",-,-,-,"151,890,000","2,906,000",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"27,632,000","31,070,000","29,549,000","169,438,000","30,805,000","34,481,000","35,907,000","186,811,000","34,645,000","33,839,000","38,768,000","186,452,000","38,010,000","36,530,000","37,650,000","33,929,000","30,967,000","30,843,000","30,678,000","28,389,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-26,283,000","-28,120,000","-33,759,000","-37,808,000","-31,260,000","-29,573,000","-30,899,000","-37,369,000","-30,839,000","-35,608,000","-34,586,000","46,962,000","-43,812,000","-49,048,000","-52,373,000","-37,066,000","-47,109,000","-40,319,000","-47,356,000","-43,266,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-11,385,000","-8,949,000","-5,884,000","-6,208,000","-6,073,000","-5,784,000","-5,758,000","-5,885,000","-6,114,000","-6,313,000","-6,684,000","-7,940,000","-8,010,000","-5,001,000","-5,095,000","-7,072,000","-6,801,000","-6,758,000","-6,509,000","-6,467,000",Upgrade,Financials in USD,Fiscal year is January - December
