Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+1 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+1 Quarters,,
Cost of Revenue,-,-,-,"-1,124,132",-,-,-,"-707,947","242,352",-,-,"-3,668,936","429,817",-,-,-,-,"60,198",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,"1,124,132",-,-,-,"707,947","-242,352",-,-,"3,668,936","-429,817",-,-,-,-,"-60,198",-,-,Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","2,223,356","2,583,126","2,518,023","2,741,552","1,863,782","1,922,568","1,261,836","2,146,898","700,376","1,182,849","1,406,384","4,557,597","1,047,199","1,332,280","4,505,519","240,708","279,573","197,304","491,820","673,386",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"4,049,865","3,971,975","4,175,453","10,197,585","4,758,934","3,787,196","2,274,623","5,717,582","3,852,069","4,910,791","1,945,766","1,743,178","3,555,991","3,625,718","669,704","-200,835","212,157","397,005","451,454","-395,296",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"6,273,221","6,555,101","6,693,476","12,827,290","6,622,716","5,709,764","3,536,459","7,762,405","4,602,332","6,142,538","3,391,515","6,342,188","4,632,755","4,978,311","5,195,461","62,061","512,677","616,037","995,220","331,482",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-6,273,221","-6,555,101","-6,693,476","-11,703,158","-6,622,716","-5,709,764","-3,536,459","-7,054,458","-4,844,684","-6,142,538","-3,391,515","-2,673,252","-5,062,572","-4,978,311","-5,195,461","-62,061","-512,677","-676,235","-995,220","-331,482",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-451,"-281,845","-321,140","-229,023","-320,466","-301,770","-291,477","-298,238","-341,846","-369,598","-334,590","-270,380","-323,958","-184,171","-452,109","-431,003","-396,046","-501,145","-553,439","-524,315",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"304,342","401,226","236,369","344,118","193,875","152,271","163,033","179,089","192,589","114,129","35,305","31,758","19,141","14,728",101,107,107,106,107,690,Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-21,990","-75,041","-143,728","59,220","-25,965","9,942","23,033","-24,728","301,112","126,663","-68,746","94,848","232,204","-122,748","-5,238","289,401","137,836","262,586","-562,150","115,833",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,"430,499","770,042","1,238,033","1,879,190","-3,652,601","-314,080","-1,131,649","-696,557",-,-,"-4,723,714",-,-2,"-1,273,219","62,036","42,562","59,399","-42,149","24,885",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-5,991,320","-6,080,262","-6,151,933","-10,290,811","-4,896,082","-9,501,922","-3,955,950","-8,329,985","-5,389,386","-6,271,344","-3,759,546","-7,540,740","-5,135,185","-5,270,504","-6,925,926","-141,520","-728,218","-855,289","-2,152,851","-714,389",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,"11,368",-,-157,-,"-4,520",-138,-445,-,"-8,380",-,-,-,-,-,"1,679",-,"-134,438",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,"2,794,943",-,"-324,561","-1,935,916",-,-,-,-,"1,737",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-5,991,320","-6,068,894","-6,151,933","-10,290,968","-4,896,082","-9,506,442","-3,956,088","-8,330,430","-5,389,386","-6,279,724","-3,759,546","-4,745,797","-5,135,185","-5,595,065","-8,861,842","-139,841","-728,218","-989,727","-2,152,851","-712,652",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,"-5,000","5,000","36,423",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-5,991,320","-6,063,894","-6,156,933","-10,327,391","-4,896,082","-9,506,442","-3,956,088","-8,330,430","-5,389,386","-6,279,724","-3,759,546","-4,745,797","-5,135,185","-5,595,065","-8,861,842","-139,841","-728,218","-989,727","-2,152,851","-712,652",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"47,995","56,678","113,895","374,118","174,741","129,379","60,696","207,345","139,221","189,636","68,764","59,296","160,790","158,040","1,819","2,106","-2,206","6,488","7,048","-21,983",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-5,943,325","-6,007,216","-6,043,038","-9,953,273","-4,721,341","-9,377,063","-3,895,392","-8,123,085","-5,250,165","-6,090,088","-3,690,782","-4,686,501","-4,974,395","-5,437,025","-8,860,023","-137,735","-730,424","-983,239","-2,145,803","-734,635",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-5,943,325","-6,007,216","-6,043,038","-9,953,273","-4,721,341","-9,377,063","-3,895,392","-8,123,085","-5,250,165","-6,090,088","-3,690,782","-4,686,501","-4,974,395","-5,437,025","-8,860,023","-137,735","-730,424","-983,239","-2,145,803","-734,635",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"35,622,553","35,622,553","28,812,641","27,307,018","25,524,188","22,009,026","21,704,284","21,527,299","21,393,145","19,900,173","14,242,595","14,262,781","14,242,595","13,232,891","7,814,446","6,120,686","6,118,002","6,118,002","6,118,002","6,118,002",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"35,622,553","35,622,553","28,812,641","27,307,018","25,524,188","22,009,026","21,704,284","21,527,299","21,393,145","19,900,173","14,242,595","14,262,781","14,242,595","13,232,891","7,814,446","6,120,686","6,118,002","6,118,002","6,118,002","6,118,002",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),39.564%,61.854%,32.751%,26.848%,19.310%,10.597%,52.390%,50.933%,50.205%,50.384%,82.260%,133.026%,132.798%,116.294%,27.729%,0.044%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.167,-0.169,-0.210,-0.364,-0.185,-0.426,-0.179,-0.377,-0.245,-0.306,-0.259,-0.329,-0.349,-0.411,-1.134,-0.023,-0.119,-0.161,-0.351,-0.120,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.167,-0.169,-0.210,-0.364,-0.185,-0.426,-0.179,-0.377,-0.245,-0.306,-0.259,-0.329,-0.349,-0.411,-1.134,-0.023,-0.119,-0.161,-0.351,-0.120,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-10,231,884","-7,722,943","-6,127,246","-5,736,010","-5,954,185","-4,278,306","-4,575,364","-4,499,027","-5,930,718","-3,890,566","-3,891,192","-3,756,200","-2,889,093","-4,235,358","-4,377,968","-111,617","-343,984","-452,106","503,923","-1,050,655",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.287,-0.217,-0.213,-0.210,-0.233,-0.194,-0.211,-0.209,-0.277,-0.196,-0.273,-0.263,-0.203,-0.320,-0.560,-0.018,-0.056,-0.074,0.082,-0.172,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-6,248,313","-6,530,939","-6,668,536","-11,674,019","-6,616,079","-5,660,990","-3,509,655","-7,046,430","-4,770,054","-6,106,012","-3,364,521","-2,644,211","-5,033,007","-4,957,998","-5,175,223","-55,640","-507,497","-670,275","-970,264","-301,468",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"24,908","24,162","24,940","29,139","6,637","48,774","26,804","8,028","74,630","36,526","26,994","29,041","29,565","20,313","20,238","6,421","5,180","5,960","24,956","30,014",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-6,273,221","-6,555,101","-6,693,476","-11,703,158","-6,622,716","-5,709,764","-3,536,459","-7,054,458","-4,844,684","-6,142,538","-3,391,515","-2,673,252","-5,062,572","-4,978,311","-5,195,461","-62,061","-512,677","-676,235","-995,220","-331,482",Upgrade,Financials in USD,Fiscal year is January - December
