Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,-,-,"6,992,000","353,000","53,000","5,139,000","1,224,000","2,640,000","15,261,000","468,000","1,022,000","1,066,000","2,095,000","1,080,000","1,000,000","1,764,220","827,000","592,000",-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,471.242%,-86.629%,-99.653%,998.077%,19.765%,147.655%,628.449%,-56.667%,2.200%,-39.577%,153.325%,82.432%,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,-,-,-,"154,000","10,000","2,388,000","930,000",-,-,-,-,"6,634,000","6,703,000","4,895,000","18,712,000","4,322,403","3,292,000","3,074,000","2,935,000",Financials in USD,Fiscal year is January - December
Gross Profit,-,-,"6,992,000","199,000","43,000","2,751,000","294,000","2,640,000","15,261,000","468,000","1,022,000","-5,568,000","-4,608,000","-3,815,000","-17,712,000","-2,558,183","-2,465,000","-2,482,000","-2,935,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","2,785,000","3,025,000","2,935,000","2,281,000","2,858,000","3,697,000","3,890,000","3,579,000","3,135,000","3,173,000","4,237,000","3,768,000","3,760,000","2,764,000","1,727,000","256,614","660,000","672,000","682,000",Financials in USD,Fiscal year is January - December
Research & Development,"8,500,000","6,336,000","6,009,000","3,360,000","7,912,000","12,599,000","9,943,000","10,540,000","13,697,000","8,371,000","7,497,000",-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"11,285,000","9,361,000","8,944,000","5,641,000","10,770,000","16,296,000","13,833,000","14,119,000","16,832,000","11,544,000","11,734,000","3,768,000","3,760,000","2,764,000","1,727,000","256,614","660,000","672,000","682,000",Financials in USD,Fiscal year is January - December
Operating Income,"-11,285,000","-9,361,000","-1,952,000","-5,442,000","-10,727,000","-13,545,000","-13,539,000","-11,479,000","-1,571,000","-11,076,000","-10,712,000","-9,336,000","-8,368,000","-6,579,000","-19,439,000","-2,814,797","-3,125,000","-3,154,000","-3,617,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,"-90,000","-163,000","-151,000","-158,000","-187,000","-129,000","-97,352","-92,000","-57,000","-51,000",Financials in USD,Fiscal year is January - December
