Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021",,
Revenue,-,"19,306,000","73,300,000","101,293,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-73.662%,-27.636%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"59,494,000","60,382,000","79,684,000","53,084,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-59,494,000","-41,076,000","-6,384,000","48,209,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","17,570,000","17,847,000","18,223,000","13,546,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"17,570,000","17,847,000","18,223,000","13,546,000",Financials in USD,Fiscal year is January - December
Operating Income,"-77,064,000","-58,923,000","-24,607,000","34,663,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"3,594,000","3,546,000","933,000","708,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-73,470,000","-55,377,000","-23,674,000","35,371,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,"-1,908,000","-109,000","-7,019,000","-1,670,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-75,378,000","-55,486,000","-30,693,000","33,701,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"-963,000","-286,000","141,000","432,000",Financials in USD,Fiscal year is January - December
Net Income,"-74,415,000","-55,200,000","-30,834,000","33,269,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,"39,000","190,000","29,790,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-74,415,000","-55,239,000","-31,024,000","3,479,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"23,036,719","11,562,910","2,484,569","2,149,554",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"23,036,719","11,562,910","2,484,569","2,699,570",Financials in USD,Fiscal year is January - December
Shares Change (YoY),256.357%,365.389%,-7.964%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-3.230,-4.777,-12.487,1.618,Financials in USD,Fiscal year is January - December
EPS (Diluted),-3.230,-4.777,-12.487,1.278,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-66,714,000","-67,401,000","-76,232,000","-49,035,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-2.896,-5.829,-30.682,-18.164,Financials in USD,Fiscal year is January - December
Gross Margin,-,-212.763%,-8.709%,47.594%,Financials in USD,Fiscal year is January - December
Operating Margin,-,-305.206%,-33.570%,34.221%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-286.123%,-42.325%,3.435%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-349.119%,-104.000%,-48.409%,Financials in USD,Fiscal year is January - December
EBITDA,"-74,907,000","-56,125,000","-20,706,000","36,053,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-290.713%,-28.248%,35.593%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"2,157,000","2,798,000","3,901,000","1,390,000",Financials in USD,Fiscal year is January - December
EBIT,"-77,064,000","-58,923,000","-24,607,000","34,663,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-33.570%,34.221%,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,1.282%,Financials in USD,Fiscal year is January - December
