Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"7,197,000","11,086,000","1,490,000","1,833,000","830,000","1,658,000","437,000","1,486,000","451,000","983,000","3,107,000","35,945,000","940,000","901,000","375,000","27,581,000","557,000","444,000","804,000","422,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),767.108%,568.637%,240.961%,23.351%,84.035%,68.667%,-85.935%,-95.866%,-52.021%,9.101%,728.533%,30.325%,68.761%,102.928%,-53.358%,6435.782%,-93.710%,-53.846%,-90.112%,-74.955%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"817,000","1,161,000","33,000","25,000","25,000","39,000","54,000","28,000","29,000","40,000","56,000","42,000","30,000","38,000","61,000","36,000","34,000","38,000","62,000","130,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"6,380,000","9,925,000","1,457,000","1,808,000","805,000","1,619,000","383,000","1,458,000","422,000","943,000","3,051,000","35,903,000","910,000","863,000","314,000","27,545,000","523,000","406,000","742,000","292,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","8,020,000","11,004,000","8,461,000","7,265,000","6,368,000","5,777,000","6,196,000","7,571,000","4,794,000","5,710,000","5,116,000","5,538,000","4,255,000","3,927,000","6,741,000","3,673,000","3,212,000","3,557,000","6,358,000","4,293,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"8,020,000","11,004,000","8,461,000","7,489,000","6,592,000","6,001,000","6,421,000","7,668,000","4,794,000","5,710,000","5,116,000","5,538,000","4,255,000","3,927,000","6,741,000","3,673,000","3,212,000","3,557,000","6,358,000","4,293,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-1,640,000","-1,079,000","-7,004,000","-5,681,000","-5,787,000","-4,382,000","-6,038,000","-6,210,000","-4,372,000","-4,767,000","-2,065,000","30,365,000","-3,345,000","-3,064,000","-6,427,000","23,872,000","-2,689,000","-3,151,000","-5,616,000","-4,001,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-3,493,000","-3,402,000","-3,551,000","-569,000",-,-,-,-,-,-,-,-,-,"-172,000","-289,000","-360,000","-434,000","-508,000","-542,000","-583,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,698,000","1,682,000","1,708,000","447,000","385,000","472,000","381,000","322,000","274,000","83,000","15,000","7,000","8,000","10,000","10,000","6,000","5,000","2,000","147,000","867,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"103,000","8,185,000",-,-,-,"75,000",-,"5,000",-,"39,000","-4,000",-,-,-,"5,000","52,000",-,"1,000",-,"-44,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-3,332,000","5,386,000","-8,847,000","-5,803,000","-5,402,000","-3,835,000","-5,657,000","-5,883,000","-4,098,000","-4,645,000","-2,054,000","30,372,000","-3,337,000","-3,226,000","-6,701,000","23,570,000","-3,118,000","-3,656,000","-6,011,000","-3,761,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"89,000","283,000","252,000","-53,000","-107,000","10,000","-24,000","-108,000","-80,000","-25,000","-226,000","-437,000","-1,099,000","1,289,000","-672,000","-879,000","2,041,000","123,000","-273,000","-192,000",Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,"-14,000,000","-9,000,000",-,"-14,253,000",-,"-1,575,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,"19,316,000",-,-,-,-,"-4,132,000",-,-,-,-,-,-,"-300,000",-,-,-,-,-,"-368,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-17,243,000","15,985,000","-8,595,000","-20,109,000","-5,509,000","-5,400,000","-9,813,000","-5,991,000","-4,178,000","-4,670,000","-2,280,000","29,935,000","-4,436,000","-2,237,000","-7,373,000","22,691,000","-1,077,000","-3,533,000","-6,284,000","-4,321,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,-,"-15,000",-,-,-,"91,000",-,-,-,"25,000",-,-,"-1,526,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-17,243,000","15,985,000","-8,595,000","-20,109,000","-5,509,000","-5,400,000","-9,813,000","-5,976,000","-4,178,000","-4,670,000","-2,280,000","29,844,000","-4,436,000","-2,237,000","-7,373,000","22,666,000","-1,077,000","-3,533,000","-4,758,000","-4,321,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"1,368,000","4,360,000","-1,624,000","1,368,000","1,368,000","1,368,000","1,368,000","1,368,000","1,368,000","1,368,000","1,368,000","4,819,000","1,368,000","1,293,000","530,000","4,505,000",-,-,-,"-977,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-18,611,000","11,625,000","-6,971,000","-21,477,000","-6,877,000","-6,768,000","-11,181,000","-7,344,000","-5,546,000","-6,038,000","-3,648,000","25,025,000","-5,804,000","-3,530,000","-7,903,000","18,161,000","-1,077,000","-3,533,000","-4,758,000","-3,344,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-,-,-,-,-,-,-,-,-,31.669%,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
