Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"35,000","50,000","40,000","65,000","46,000","42,000","49,000","56,000","21,000","30,000","33,000","50,000","33,000","23,000","28,000","42,000","36,000","40,000","45,000","50,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-23.913%,19.048%,-18.367%,16.071%,119.048%,40.000%,48.485%,12.000%,-36.364%,30.435%,17.857%,19.048%,-8.333%,-42.500%,-37.778%,-16.000%,-40.984%,37.931%,-,-79.167%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"8,000","8,000","8,000","12,000","30,000",-,-,-,-,"69,000","77,000","176,000","157,000","279,000","237,000","198,000","204,000","200,000","204,000","217,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"27,000","42,000","32,000","53,000","16,000","42,000","49,000","56,000","21,000","-39,000","-44,000","-126,000","-124,000","-256,000","-209,000","-156,000","-168,000","-160,000","-159,000","-167,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","3,079,000","2,591,000","3,916,000","11,355,000","5,439,000","2,550,000","2,311,000","3,725,000","5,170,000","2,181,000","2,072,000","2,617,000","1,799,000","2,145,000","2,112,000","2,584,000","2,085,000","1,717,000","2,268,000","1,484,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"1,437,000","1,145,000","1,850,000","2,702,000","2,734,000","2,953,000","2,033,000","1,887,000","1,372,000","2,475,000","1,036,000","2,923,000","2,006,000","1,317,000","1,424,000","2,117,000","1,102,000","1,463,000","898,000","1,437,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"4,516,000","3,736,000","5,766,000","14,057,000","8,173,000","5,503,000","4,344,000","5,612,000","6,542,000","4,656,000","3,108,000","5,540,000","3,805,000","3,462,000","3,536,000","4,701,000","3,187,000","3,180,000","3,166,000","2,921,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-4,489,000","-3,694,000","-5,734,000","-14,004,000","-8,157,000","-5,461,000","-4,295,000","-5,556,000","-6,521,000","-4,695,000","-3,152,000","-5,666,000","-3,929,000","-3,718,000","-3,745,000","-4,857,000","-3,355,000","-3,340,000","-3,325,000","-3,088,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-202,000","-179,000","-72,000",-,-,-,-,-,-,-,-,"-100,000",-,"-19,000","-50,000","-186,000","-51,000","-249,000","-322,000",-,Upgrade,Financials in USD,Fiscal year is January - December
