Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
"Selling, General & Admin","13,851,000","18,665,000","19,805,000","15,820,000","7,528,000","4,085,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"18,731,000","18,299,000","30,383,000","21,662,000","11,185,000","8,350,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"32,582,000","36,964,000","50,188,000","37,482,000","18,713,000","12,435,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-32,582,000","-36,964,000","-50,188,000","-37,482,000","-18,713,000","-12,435,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-104,000","-144,000","-219,000","-670,000","-1,689,000","-2,256,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,854,000","3,624,000","1,783,000","800,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-853,000","-1,271,000","252,000","606,000","995,000","-1,974,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-30,685,000","-34,755,000","-48,372,000","-36,746,000","-19,407,000","-16,665,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"100,000","-100,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"784,000","1,056,000","-216,000","-615,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,"-302,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"567,000","45,000","-75,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-29,801,000","-34,101,000","-48,588,000","-36,794,000","-20,100,000","-16,740,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-29,801,000","-34,101,000","-48,588,000","-36,794,000","-20,100,000","-16,740,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,"104,000","3,804,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-29,801,000","-34,101,000","-48,588,000","-36,794,000","-20,204,000","-20,544,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"25,071,272","27,952,857","30,703,295","27,710,686","1,612,140","367,359",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"25,071,272","27,952,857","30,703,295","27,710,686","1,612,140","367,359",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),-14.703%,-8.958%,10.799%,1618.876%,338.846%,0.025%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.189,-1.220,-1.583,-1.328,-12.532,-55.923,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.189,-1.220,-1.583,-1.328,-12.532,-55.923,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-25,187,000","-32,203,000","-39,347,000","-32,285,000","-18,911,000","-8,624,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.005,-1.152,-1.282,-1.165,-11.730,-23.476,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-31,262,000","-35,613,000","-48,841,000","-36,797,000","-18,504,000","-12,362,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,320,000","1,351,000","1,347,000","685,000","209,000","73,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-32,582,000","-36,964,000","-50,188,000","-37,482,000","-18,713,000","-12,435,000",Upgrade,Financials in USD,Fiscal year is January - December
