Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"4,000","249,000","98,000","299,000","43,000","10,184,000","433,000","58,000","109,000","66,000","66,000","310,000","140,000","691,000","14,500,000","557,000","4,148,000","823,000","609,000","439,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-90.698%,-97.555%,-77.367%,415.517%,-60.550%,15330.303%,556.061%,-81.290%,-22.143%,-90.449%,-99.545%,-44.345%,-96.625%,-16.039%,2280.952%,26.879%,510.898%,35.809%,2.525%,-90.053%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"272,000","536,000","545,000","773,000","278,000","615,000","325,000","62,000","264,000","43,000","31,000","548,000","142,000","429,000","886,000","338,000","1,441,000","748,000","475,000","395,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-268,000","-287,000","-447,000","-474,000","-235,000","9,569,000","108,000","-4,000","-155,000","23,000","35,000","-238,000","-2,000","262,000","13,614,000","219,000","2,707,000","75,000","134,000","44,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,405,000","1,422,000","1,476,000","1,481,000","1,672,000","1,318,000","1,525,000","2,035,000","1,536,000","1,609,000","1,561,000","967,000","1,184,000","1,014,000","1,955,000","1,600,000","1,052,000","986,000","1,031,000","1,189,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"2,869,000","2,697,000","2,406,000","3,113,000","2,695,000","2,574,000","2,102,000","2,637,000","2,777,000","2,599,000","2,242,000","2,189,000","1,908,000","1,901,000","1,633,000","1,332,000","921,000","1,002,000","810,000","1,689,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"4,274,000","4,119,000","3,882,000","4,594,000","4,367,000","3,892,000","3,627,000","4,672,000","4,313,000","4,208,000","3,803,000","3,156,000","3,092,000","2,915,000","3,588,000","2,932,000","1,973,000","1,988,000","1,841,000","2,878,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-4,542,000","-4,406,000","-4,329,000","-5,068,000","-4,602,000","5,677,000","-3,519,000","-4,676,000","-4,468,000","-4,185,000","-3,768,000","-3,394,000","-3,094,000","-2,653,000","10,026,000","-2,713,000","734,000","-1,913,000","-1,707,000","-2,834,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,"-196,000",-,-,"-100,000","-92,000",-,"-8,000",-,"-19,000","-16,000","-11,000","-2,000","-4,000",-,Upgrade,Financials in USD,Fiscal year is January - December
