Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"1,100,152","924,943","1,369,839","2,149,686","1,803,461","1,097,862","1,960,290","2,921,000","1,965,931","1,613,156","1,604,005","2,889,368","1,978,627","2,415,559","2,358,371","2,931,104","2,400,667","3,770,723","1,763,955","3,048,411",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-38.998%,-15.751%,-30.121%,-26.406%,-8.264%,-31.943%,22.212%,1.095%,-0.642%,-33.218%,-31.987%,-1.424%,-17.580%,-35.939%,33.698%,-3.848%,1.002%,46.755%,-39.782%,-5.995%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"1,619,801","1,940,329","1,659,863","2,228,844","2,036,651","1,244,523","1,782,366","2,878,318","2,103,687","1,842,537","1,773,466","2,587,432","2,275,023","2,344,559","2,085,641","2,369,631","2,353,471","2,620,925","1,569,516","2,759,064",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"-519,649","-1,015,386","-290,024","-79,158","-233,190","-146,661","177,924","42,682","-137,756","-229,381","-169,461","301,936","-296,396","71,000","272,730","561,473","47,196","1,149,798","194,439","289,347",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","479,654","203,325","596,643","949,337","452,791","281,853","562,431","1,193,831","535,987","539,507","693,729","1,147,200","436,262","775,236","787,333","1,328,632","944,676","1,050,087","714,654","1,947,263",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"87,610","164,334","31,451","147,552","45,773","23,747","23,008","27,999","88,747","15,063","54,049","54,048","21,374","53,456","190,086","261,473","37,628","30,044","48,819","53,995",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"565,608","376,135","626,028","1,105,333","480,352","309,647","575,403","1,211,694","550,898","550,212","742,257","950,626","466,008","823,948","969,198","1,662,977","999,690","1,074,813","793,719","1,949,703",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-1,085,257","-1,391,521","-916,052","-1,184,491","-713,542","-456,308","-397,479","-1,169,012","-688,654","-779,593","-911,718","-648,690","-762,404","-752,948","-696,468","-1,101,504","-952,494","74,985","-599,280","-1,660,356",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-34,114","-48,140","-42,155","-50,252","-66,240","-137,663","-79,445","-96,175","-103,976","-110,041","-124,427","-333,441","-64,903","-72,392","-71,265","-107,945","-61,067","-63,144","-62,003","-70,094",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,460","1,531","2,315","2,530","2,182",942,948,"1,003","1,857","1,240","6,655","1,412",638,579,406,412,"3,665","1,212",386,311,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,117,911","-1,438,130","-955,892","-1,232,213","-777,600","-593,029","-475,976","-1,264,184","-790,773","-888,394","-1,029,490","-980,719","-826,669","-824,761","-767,327","-1,209,037","-1,009,896","13,053","-660,897","-1,730,139",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-17,015,117",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-1,117,911","-1,438,130","-955,892","-1,232,213","-777,600","-593,029","-475,976","-1,264,184","-790,773","-888,394","-1,029,490","-980,719","-826,669","-824,761","-767,327","-1,209,037","-1,009,896","13,053","-660,897","-18,745,256",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-1,117,911","-1,438,130","-955,892","-1,232,213","-777,600","-593,029","-475,976","-1,264,184","-790,773","-888,394","-1,029,490","-980,719","-826,669","-824,761","-767,327","-1,209,037","-1,009,896","13,053","-660,897","-18,745,256",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-1,117,911","-1,438,130","-955,892","-1,232,213","-777,600","-593,029","-475,976","-1,264,184","-790,773","-888,394","-1,029,490","-980,719","-826,669","-824,761","-767,327","-1,209,037","-1,009,896","13,053","-660,897","-18,745,256",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"17,306,689","16,124,241","13,133,224","7,280,738","2,643,270","1,689,985","1,615,757","1,287,192","1,000,570","969,773","947,362","955,567","920,009","911,591","911,591","875,087","871,591","871,591","871,591","871,591",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"17,306,689","16,124,241","13,133,224","7,280,738","2,643,270","1,689,985","1,615,757","1,287,192","1,000,570","969,773","947,362","955,567","920,009","911,591","911,591","875,087","871,591","871,591","871,591","871,591",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),554.745%,854.106%,712.822%,465.630%,164.176%,74.266%,70.553%,34.705%,8.757%,6.382%,3.924%,9.197%,5.555%,4.589%,4.589%,0.401%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.065,-0.089,-0.073,-0.169,-0.294,-0.351,-0.295,-0.982,-0.790,-0.916,-1.087,-1.026,-0.899,-0.905,-0.842,-1.382,-1.159,0.015,-0.758,-21.507,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.065,-0.089,-0.073,-0.169,-0.294,-0.351,-0.295,-0.982,-0.790,-0.916,-1.087,-1.026,-0.899,-0.905,-0.842,-1.382,-1.159,0.015,-0.758,-21.507,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-37,732","-100,812","-585,158","-26,850","1,000,296","-272,399","-1,412,250","611,862","-33,427","-509,114","-880,830","-205,168","-866,823","661,014","-276,916","567,439","-483,817","-401,239","-591,950","-72,366",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.002,-0.006,-0.045,-0.004,0.378,-0.161,-0.874,0.475,-0.033,-0.525,-0.930,-0.215,-0.942,0.725,-0.304,0.648,-0.555,-0.460,-0.679,-0.083,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-47.234%,-109.778%,-21.172%,-3.682%,-12.930%,-13.359%,9.076%,1.461%,-7.007%,-14.219%,-10.565%,10.450%,-14.980%,2.939%,11.564%,19.156%,1.966%,30.493%,11.023%,9.492%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-98.646%,-150.444%,-66.873%,-55.101%,-39.565%,-41.563%,-20.277%,-40.021%,-35.029%,-48.327%,-56.840%,-22.451%,-38.532%,-31.171%,-29.532%,-37.580%,-39.676%,1.989%,-33.974%,-54.466%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-101.614%,-155.483%,-69.781%,-57.321%,-43.117%,-54.017%,-24.281%,-43.279%,-40.224%,-55.072%,-64.182%,-33.942%,-41.780%,-34.144%,-32.536%,-41.249%,-42.067%,0.346%,-37.467%,-614.919%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-3.430%,-10.899%,-42.717%,-1.249%,55.465%,-24.812%,-72.043%,20.947%,-1.700%,-31.560%,-54.914%,-7.101%,-43.809%,27.365%,-11.742%,19.359%,-20.153%,-10.641%,-33.558%,-2.374%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-388,314","-652,269","-182,254","-327,118","-30,448","238,534","282,403","-501,673","-52,231","-96,379","-198,161","62,026","214,053","-52,488","3,719","-400,397","-279,201","724,134","56,641","-993,357",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-35.296%,-70.520%,-13.305%,-15.217%,-1.688%,21.727%,14.406%,-17.175%,-2.657%,-5.974%,-12.354%,2.147%,10.818%,-2.173%,0.158%,-13.660%,-11.630%,19.204%,3.211%,-32.586%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"696,943","739,252","733,798","857,373","683,094","694,842","679,882","667,339","636,423","683,214","713,557","710,716","976,457","700,460","700,187","701,107","673,293","649,149","655,921","666,999",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-1,085,257","-1,391,521","-916,052","-1,184,491","-713,542","-456,308","-397,479","-1,169,012","-688,654","-779,593","-911,718","-648,690","-762,404","-752,948","-696,468","-1,101,504","-952,494","74,985","-599,280","-1,660,356",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-98.646%,-150.444%,-66.873%,-55.101%,-39.565%,-41.563%,-20.276%,-40.021%,-35.029%,-48.327%,-56.840%,-22.451%,-38.532%,-31.171%,-29.532%,-37.580%,-39.676%,1.989%,-33.974%,-54.466%,Upgrade,Financials in USD,Fiscal year is January - December
