Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021",,
Revenue,-,-,"7,025,000","5,656,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,24.204%,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"96,153,000","49,923,000","28,402,000","25,852,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-96,153,000","-49,923,000","-21,377,000","-20,196,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","23,987,000","12,483,000","8,007,000","6,150,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"23,987,000","12,483,000","8,007,000","6,150,000",Financials in USD,Fiscal year is January - December
Operating Income,"-120,140,000","-62,406,000","-29,384,000","-26,346,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-162,000","-187,000","-65,000","-3,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"12,573,000","2,282,000","565,000","1,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-126,000","-55,000","-9,000","-2,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-110,655,000","-60,366,000","-28,893,000","-26,350,000",Financials in USD,Fiscal year is January - December
Net Income,"-110,655,000","-60,366,000","-28,893,000","-26,350,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-110,655,000","-60,366,000","-28,893,000","-26,350,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"27,725,791","673,622","455,478","265,888",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"27,725,791","673,622","455,478","265,888",Financials in USD,Fiscal year is January - December
Shares Change (YoY),5987.186%,47.893%,71.304%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-3.991,-89.614,-63.434,-99.102,Financials in USD,Fiscal year is January - December
EPS (Diluted),-3.991,-89.614,-63.434,-99.102,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-97,759,000","-53,031,000","-36,881,000","-23,444,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-3.526,-78.725,-80.972,-88.172,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-418.278%,-465.806%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-411.288%,-465.877%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-524.996%,-414.498%,Financials in USD,Fiscal year is January - December
EBITDA,"-119,051,000","-61,537,000","-28,609,000","-25,760,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,089,000","869,000","775,000","586,000",Financials in USD,Fiscal year is January - December
EBIT,"-120,140,000","-62,406,000","-29,384,000","-26,346,000",Financials in USD,Fiscal year is January - December
