Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022",,
Revenue,"527,478","605,529","614,563","698,591","554,654","316,530","142,820","138,898","432,122","170,464","24,793",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-4.900%,91.302%,330.306%,402.953%,28.356%,85.687%,476.050%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"133,577","166,275","168,911","236,893","188,509","108,180","44,433","45,488","194,428","64,857","14,195",Financials in USD,Fiscal year is January - December
Gross Profit,"393,901","439,254","445,652","461,698","366,145","208,350","98,387","93,410","237,694","105,607","10,598",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","1,178,055","1,786,152","1,916,255","1,435,905","1,056,896","1,085,312","827,310","680,822","600,611","339,809","325,579",Financials in USD,Fiscal year is January - December
Research & Development,"95,260","52,385","93,741","91,464","86,374","133,654","76,442","41,855","89,325","41,622","36,941",Financials in USD,Fiscal year is January - December
Operating Expenses,"1,276,001","1,841,246","2,030,327","1,529,840","1,145,709","1,221,854","906,249","724,386","691,566","382,238","363,408",Financials in USD,Fiscal year is January - December
Operating Income,"-882,100","-1,401,992","-1,584,675","-1,068,142","-779,564","-1,013,504","-807,862","-630,976","-453,872","-276,631","-352,810",Financials in USD,Fiscal year is January - December
Interest Expense,"-648,332","-30,806","-23,537","-6,767","-5,713","-4,409","-2,636",-1,-646,"-1,982",-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,95,64,86,83,25,349,"5,107","4,457","3,159",86,-,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),-875,-244,-541,"-6,610","3,113","-2,374",-259,"-1,357",465,206,"-2,063",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"29,955","20,487","211,417","-76,480",-908,"-259,920","-275,046","-24,780","-48,191","-8,164","-5,622",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,501,257","-1,412,491","-1,397,250","-1,157,916","-783,047","-1,279,858","-1,080,696","-652,657","-499,085","-286,485","-360,495",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,"-1,546",-,Financials in USD,Fiscal year is January - December
Pretax Income,"-1,501,257","-1,412,491","-1,397,250","-1,157,916","-783,047","-1,279,858","-1,080,696","-652,657","-499,085","-288,031","-360,495",Financials in USD,Fiscal year is January - December
Net Income,"-1,501,257","-1,412,491","-1,397,250","-1,157,916","-783,047","-1,279,858","-1,080,696","-652,657","-499,085","-288,031","-360,495",Financials in USD,Fiscal year is January - December
Net Income to Common,"-1,501,257","-1,412,491","-1,397,250","-1,157,916","-783,047","-1,279,858","-1,080,696","-652,657","-499,085","-288,031","-360,495",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"110,796","91,493","86,648","66,408","50,115","49,884","48,537","47,674","47,634","47,634","47,634",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"110,796","91,493","86,648","66,408","50,115","49,884","48,537","47,674","47,634","47,634","47,634",Financials in USD,Fiscal year is January - December
Shares Change (YoY),121.084%,83.412%,78.519%,39.296%,5.208%,4.724%,1.896%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-13.550,-15.438,-16.126,-17.436,-15.625,-25.657,-22.265,-13.690,-10.477,-6.047,-7.568,Financials in USD,Fiscal year is January - December
EPS (Diluted),-13.550,-15.438,-16.126,-17.436,-15.625,-25.657,-22.265,-13.690,-10.477,-6.047,-7.568,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-381,678","-780,689","-2,333,228","-2,388,150","-514,399","-768,756","-896,697","-505,004","-620,131","-169,119","-327,149",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-3.445,-8.533,-26.928,-35.962,-10.264,-15.411,-18.475,-10.593,-13.019,-3.550,-6.868,Financials in USD,Fiscal year is January - December
Gross Margin,74.676%,72.540%,72.515%,66.090%,66.013%,65.823%,68.889%,67.251%,55.006%,61.953%,42.746%,Financials in USD,Fiscal year is January - December
Operating Margin,-167.230%,-231.532%,-257.854%,-152.899%,-140.550%,-320.192%,-565.650%,-454.273%,-105.033%,-162.281%,-1423.023%,Financials in USD,Fiscal year is January - December
Profit Margin,-284.610%,-233.266%,-227.357%,-165.750%,-141.178%,-404.340%,-756.684%,-469.882%,-115.496%,-168.969%,-1454.019%,Financials in USD,Fiscal year is January - December
