Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Q1 2022,Q4 2021,Q1 2021,Q4 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020",,
Revenue,-,-,"251,000","26,656,000","3,497,000","989,000","1,348,000","1,422,000","111,000",-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),-,-,-81.380%,1774.543%,3050.450%,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,"251,000","26,656,000","3,497,000","989,000","1,348,000","1,422,000","111,000",-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","4,811,000","3,857,000","3,587,000","2,780,000","4,059,000","3,906,000","3,767,000","4,320,000","2,657,000","1,696,000",Financials in USD,Fiscal year is January - December
Research & Development,"13,524,000","12,333,000","11,156,000","13,065,000","11,262,000","14,771,000","9,705,000","8,494,000","21,623,000","4,371,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"18,335,000","16,190,000","14,743,000","15,845,000","15,321,000","18,677,000","13,472,000","12,814,000","24,280,000","6,067,000",Financials in USD,Fiscal year is January - December
Operating Income,"-18,335,000","-16,190,000","-14,492,000","10,811,000","-11,824,000","-17,688,000","-12,124,000","-11,392,000","-24,169,000","-6,067,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,846,000","676,000","650,000","418,000","509,000","1,024,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-983,000","-2,329,000","-121,000","50,000","31,000","-53,000",-,-,"-18,553,000","136,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-17,472,000","-17,843,000","-13,963,000","11,279,000","-11,284,000","-16,717,000","-12,124,000","-11,392,000","-42,722,000","-5,931,000",Financials in USD,Fiscal year is January - December
Net Income,"-17,472,000","-17,843,000","-13,963,000","11,279,000","-11,284,000","-16,717,000","-12,124,000","-11,392,000","-42,722,000","-5,931,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-17,472,000","-17,843,000","-13,963,000","11,279,000","-11,284,000","-16,717,000","-12,124,000","-11,392,000","-42,722,000","-5,931,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"18,896,829","811,210","809,779","806,714","800,889","793,897","750,122","721,246","657,408","645,703",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"18,896,829","811,210","809,779","6,967,099","800,889","793,897","750,122","721,246","657,408","645,703",Financials in USD,Fiscal year is January - December
Shares Change (YoY),2259.482%,2.181%,7.953%,865.981%,21.825%,22.951%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.925,-21.996,-17.243,13.981,-14.089,-21.057,-16.163,-15.795,-64.986,-9.185,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.925,-21.996,-17.243,1.620,-14.089,-21.057,-16.163,-15.795,-64.986,-9.185,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-11,707,000","-14,149,000","-15,104,000","-10,927,000","-12,345,000","-16,105,000","-10,266,000","-8,024,000","8,434,000","-3,983,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.620,-17.442,-18.652,-1.568,-15.414,-20.286,-13.686,-11.125,12.829,-6.168,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,100.000%,-,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-5773.705%,40.557%,-338.118%,-1788.473%,-899.407%,-801.125%,-21773.874%,-,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-5562.948%,42.313%,-322.677%,-1690.293%,-899.407%,-801.125%,-38488.288%,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-6017.530%,-40.993%,-353.017%,-1628.413%,-761.573%,-564.276%,7598.198%,-,Financials in USD,Fiscal year is January - December
EBITDA,"-17,708,000","-15,587,000","-13,905,000","11,367,000","-11,286,000","-17,110,000","-11,957,000","-11,251,000","-24,137,000","-6,045,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,42.643%,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"627,000","603,000","587,000","556,000","538,000","578,000","167,000","141,000","32,000","22,000",Financials in USD,Fiscal year is January - December
EBIT,"-18,335,000","-16,190,000","-14,492,000","10,811,000","-11,824,000","-17,688,000","-12,124,000","-11,392,000","-24,169,000","-6,067,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,40.557%,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,"251,000","26,656,000","3,497,000","989,000",-,-,-,-,Financials in USD,Fiscal year is January - December
