Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,"7,212,000","6,179,000","5,353,000","6,326,000","5,959,000","6,202,000","5,867,000","5,227,000","4,245,000","3,437,000","2,307,000","1,000,000",-,-,"120,000","14,149,000","231,000","89,385","110,558",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),21.027%,-0.371%,-8.761%,21.025%,40.377%,80.448%,154.313%,422.700%,-,-,1822.500%,-92.932%,-,-,8.540%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"10,801,000","13,871,000","14,245,000","13,695,000","12,587,000","13,971,000","11,485,000","9,592,000","9,366,000","8,067,000","6,973,000","7,227,000","5,754,000","3,045,000","3,644,000","5,324,000","2,395,000","4,647,722","2,641,482",Financials in USD,Fiscal year is January - December
Gross Profit,"-3,589,000","-7,692,000","-8,892,000","-7,369,000","-6,628,000","-7,769,000","-5,618,000","-4,365,000","-5,121,000","-4,630,000","-4,666,000","-6,227,000","-5,754,000","-3,045,000","-3,524,000","8,825,000","-2,164,000","-4,558,337","-2,530,924",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","7,186,000","7,892,000","10,620,000","10,345,000","11,221,000","11,776,000","11,207,000","11,107,000","9,915,000","10,006,000","9,148,000","9,718,000","7,401,000","830,000","563,000","421,000","499,000","527,411","672,402",Financials in USD,Fiscal year is January - December
Operating Expenses,"7,186,000","7,892,000","10,620,000","10,345,000","11,221,000","11,776,000","11,207,000","11,107,000","9,915,000","10,006,000","9,148,000","9,718,000","7,401,000","830,000","563,000","421,000","499,000","527,411","672,402",Financials in USD,Fiscal year is January - December
Operating Income,"-10,775,000","-15,584,000","-19,512,000","-17,714,000","-17,849,000","-19,545,000","-16,825,000","-15,472,000","-15,036,000","-14,636,000","-13,814,000","-15,945,000","-13,155,000","-3,875,000","-4,087,000","8,404,000","-2,663,000","-5,085,748","-3,203,326",Financials in USD,Fiscal year is January - December
Interest Expense,"-38,000","-58,000","-58,000","-57,000","-58,000","-58,000","-58,000","-57,000","-58,000","-58,000","-58,000","-57,000","-157,000","-227,000","-224,000","-230,000","-229,000","-207,947","-148,760",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"906,000","1,061,000","1,282,000","1,500,000","1,605,000","1,635,000","1,660,000","1,607,000","620,000","158,000","15,000","12,000",-,"1,000",-,-,"1,000","11,468","28,291",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-1,000","-2,000","-1,000","2,000",-,"-3,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-9,908,000","-14,583,000","-18,289,000","-16,269,000","-16,302,000","-17,971,000","-15,223,000","-13,922,000","-14,474,000","-14,536,000","-13,857,000","-15,990,000","-13,312,000","-4,101,000","-4,311,000","8,174,000","-2,891,000","-5,282,227","-3,323,795",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,"-2,638,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,-,-,"-3,724,000",-,-,"-74,156,000",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
