Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
Revenue,"80,248,000","75,400,000","70,502,000","66,270,803","64,850,000","59,757,000","54,659,000","59,082,958","41,199,000","32,002,000","22,474,000","6,593,000","5,924,000","5,733,000","8,270,000","7,420,000","6,652,000","7,787,000","8,255,000","5,642,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),23.744%,26.178%,28.985%,12.166%,57.407%,86.729%,143.210%,796.147%,595.459%,458.207%,171.753%,-11.146%,-10.944%,-26.377%,0.182%,31.514%,18.659%,7.995%,14.486%,-,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"51,399,000","52,779,000","57,705,000","49,715,958","41,808,000","38,504,000","36,788,000","27,852,452","23,364,000","20,184,000","18,829,000","20,072,000","16,798,000","16,471,000","19,885,000","73,609,000",-,-,"20,779,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"28,849,000","22,621,000","12,797,000","16,554,846","23,042,000","21,253,000","17,871,000","31,230,506","17,835,000","11,818,000","3,645,000","-13,479,000","-10,874,000","-10,738,000","-11,615,000","-66,189,000","6,652,000","7,787,000","-12,524,000","5,642,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","35,532,000","38,638,000","39,287,000","33,075,741","35,469,000","35,010,000","32,567,000","62,116,768","11,663,000","18,811,000","20,105,000","24,366,000","20,048,000","23,801,000","20,184,000","14,171,000","9,714,000","12,250,000","9,605,000","8,572,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"1,819,000",-,-,-,"1,717,000",-,-,-,-,-,-,-,-,-,-,"-57,566,000","20,409,000","16,378,000",-,"24,576,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Operating Expenses,-,-,-,"897,000",-,-,-,"-7,000",-,-,-,"-193,000","28,000","-40,000","82,000","-1,346,000","148,000","-146,000","-10,000","235,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"37,351,000","38,638,000","39,287,000","33,972,741","37,186,000","35,010,000","32,567,000","62,109,768","11,663,000","18,811,000","20,105,000","24,173,000","20,076,000","23,761,000","20,266,000","-44,741,000","30,271,000","28,482,000","9,595,000","33,383,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-8,502,000","-16,017,000","-26,490,000","-17,417,896","-14,144,000","-13,757,000","-14,696,000","-30,879,261","6,172,000","-6,993,000","-16,460,000","-37,652,000","-30,950,000","-34,499,000","-31,881,000","-21,448,000","-23,619,000","-20,695,000","-22,119,000","-27,741,000",Upgrade,Financials in USD,Fiscal year is January - December
