Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",,
Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"33,000","20,000","31,000","142,000",Financials in USD,Fiscal year is January - December
Cost of Revenue,"11,876,000","1,588,000","9,801,000","11,012,000","13,257,000","1,619,000","15,730,000","14,255,000","14,304,000","11,295,000","8,759,000","7,337,000","8,539,000","5,027,000","3,875,000","2,708,000","1,914,000","1,061,000","377,000",Financials in USD,Fiscal year is January - December
Gross Profit,"-11,876,000","-1,588,000","-9,801,000","-11,012,000","-13,257,000","-1,619,000","-15,730,000","-14,255,000","-14,304,000","-11,295,000","-8,759,000","-7,337,000","-8,539,000","-5,027,000","-3,875,000","-2,675,000","-1,894,000","-1,030,000","-235,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","4,370,000","4,527,000","4,599,000","4,109,000","5,565,000","5,532,000","5,921,000","5,137,000","4,888,000","4,344,000","4,611,000","3,790,000","2,798,000","2,660,000","1,805,000","1,186,000","489,000","433,000","388,000",Financials in USD,Fiscal year is January - December
Research & Development,-,"8,928,000",-,-,-,"15,445,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Expenses,"4,370,000","13,455,000","4,599,000","4,109,000","5,565,000","20,977,000","5,921,000","5,137,000","4,888,000","4,344,000","4,611,000","3,790,000","2,798,000","2,660,000","1,805,000","1,186,000","489,000","433,000","388,000",Financials in USD,Fiscal year is January - December
Operating Income,"-16,246,000","-15,043,000","-14,400,000","-15,121,000","-18,822,000","-22,596,000","-21,651,000","-19,392,000","-19,192,000","-15,639,000","-13,370,000","-11,127,000","-11,337,000","-7,687,000","-5,680,000","-3,861,000","-2,383,000","-1,463,000","-623,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"3,207,000","3,250,000","3,295,000","-2,805,000","3,033,000","2,659,000","2,357,000","656,000","1,488,000","640,000","105,000","-15,000","19,000","51,000","166,000","-65,000","63,000","21,000","-40,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-13,039,000","-11,793,000","-11,105,000","-17,926,000","-15,789,000","-19,937,000","-19,294,000","-18,736,000","-17,704,000","-14,999,000","-13,265,000","-11,142,000","-11,318,000","-7,636,000","-5,514,000","-3,926,000","-2,320,000","-1,442,000","-663,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"6,084,000",-,-,-,"1,396,000",-,-,-,"77,000",-,-,-,"71,000",-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-13,039,000","-11,793,000","-11,105,000","-11,842,000","-15,789,000","-19,937,000","-19,294,000","-17,340,000","-17,704,000","-14,999,000","-13,265,000","-11,065,000","-11,318,000","-7,636,000","-5,514,000","-3,855,000","-2,320,000","-1,442,000","-663,000",Financials in USD,Fiscal year is January - December
Net Income,"-13,039,000","-11,793,000","-11,105,000","-11,842,000","-15,789,000","-19,937,000","-19,294,000","-17,340,000","-17,704,000","-14,999,000","-13,265,000","-11,065,000","-11,318,000","-7,636,000","-5,514,000","-3,855,000","-2,320,000","-1,442,000","-663,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-13,039,000","-11,793,000","-11,105,000","-11,842,000","-15,789,000","-19,937,000","-19,294,000","-17,340,000","-17,704,000","-14,999,000","-13,265,000","-11,065,000","-11,318,000","-7,636,000","-5,514,000","-3,855,000","-2,320,000","-1,442,000","-663,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"56,620,731","56,555,960","56,488,527","56,090,912","55,988,691","55,948,990","55,908,033","55,864,872","55,782,329","55,670,780","55,507,338","55,362,390","55,155,030","55,081,397","17,630,178","15,957,825","25,701,737","25,597,154","15,667,115",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"56,620,731","56,555,960","56,488,527","56,090,912","55,988,691","55,948,990","55,908,033","55,864,872","55,782,329","55,670,780","55,507,338","55,362,390","55,155,030","55,081,397","17,630,178","15,957,825","25,701,737","25,597,154","15,667,115",Financials in USD,Fiscal year is January - December
Shares Change (YoY),1.129%,1.085%,1.038%,0.405%,0.370%,0.500%,0.722%,0.908%,1.137%,1.070%,214.843%,246.929%,114.597%,115.186%,12.530%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.230,-0.209,-0.197,-0.211,-0.282,-0.356,-0.345,-0.310,-0.317,-0.269,-0.239,-0.200,-0.205,-0.139,-0.313,-0.242,-0.090,-0.056,-0.042,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.230,-0.209,-0.197,-0.211,-0.282,-0.356,-0.345,-0.310,-0.317,-0.269,-0.240,-0.200,-0.205,-0.139,-0.313,-0.242,-0.090,-0.056,-0.042,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-9,530,000","-11,421,000","-12,634,000","-12,825,000","-14,587,000","-13,893,000","-17,511,000","-15,379,000","-14,209,000","-10,744,000","-11,903,000","-9,581,000","-9,132,000","-8,472,000","-3,730,000","-2,858,000","-1,921,000","-1,307,000","-2,659,000",Financials in USD,Fiscal year is January - December
