Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",,
Revenue,"9,296,000","12,111,000","14,681,000","12,112,000","3,786,000","2,938,000","3,935,000","4,129,000","4,135,000","3,776,000","5,935,000","4,856,000","10,622,000","3,197,000","2,660,000","3,243,000","3,355,000","3,472,000","4,208,000","5,151,000",Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),145.536%,312.219%,273.088%,193.340%,-8.440%,-22.193%,-33.698%,-14.971%,-61.071%,18.111%,123.120%,49.738%,216.602%,-7.921%,-36.787%,-37.041%,-,-,-,-,Financials in USD,Fiscal year is January - December
Cost of Revenue,"3,883,000","2,123,000","1,640,000","9,609,000","3,602,000","802,000","2,003,000","5,247,000","7,213,000","3,179,000","4,026,000","4,660,000","2,311,000","1,440,000","1,242,000","1,170,000","1,033,000","1,492,000","1,237,000","1,414,000",Financials in USD,Fiscal year is January - December
Gross Profit,"5,413,000","9,988,000","13,041,000","2,503,000","184,000","2,136,000","1,932,000","-1,118,000","-3,078,000","597,000","1,909,000","196,000","8,311,000","1,757,000","1,418,000","2,073,000","2,322,000","1,980,000","2,971,000","3,737,000",Financials in USD,Fiscal year is January - December
"Selling, General & Admin","12,650,000","15,907,000","14,028,000","13,068,000","10,748,000","12,826,000","13,934,000","19,080,000","14,907,000","15,574,000","16,460,000","4,077,000","21,644,000","28,863,000","7,626,000","5,973,000","8,327,000","7,586,000","9,450,000","9,967,000",Financials in USD,Fiscal year is January - December
Research & Development,"3,915,000","3,800,000","5,843,000","-272,000","5,182,000","8,604,000","16,951,000","10,990,000","20,351,000","25,349,000","21,673,000","21,299,000","23,765,000","22,911,000","16,990,000","13,924,000","11,217,000","15,804,000","11,762,000","12,750,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"16,940,000","20,163,000","20,417,000","13,349,000","16,483,000","21,976,000","31,426,000","30,623,000","35,811,000","41,469,000","38,674,000","25,928,000","45,962,000","52,320,000","25,157,000","20,448,000","20,327,000","24,420,000","22,242,000","23,759,000",Financials in USD,Fiscal year is January - December
Operating Income,"-11,527,000","-10,175,000","-7,376,000","-10,846,000","-16,299,000","-19,840,000","-29,494,000","-31,741,000","-38,889,000","-40,872,000","-36,765,000","-25,732,000","-37,651,000","-50,563,000","-23,739,000","-18,375,000","-18,005,000","-22,440,000","-19,271,000","-20,022,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-1,752,000","-1,552,000","-1,148,000","-663,000","-971,000","-1,104,000","-277,000",-,-,-,-,"-759,000","-843,000","-817,000","-752,000","-724,000","-706,000","-924,000",-,-,Financials in USD,Fiscal year is January - December
