Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018,,
"Selling, General & Admin","13,083,000","13,510,000","14,459,000","7,306,000","3,179,000","2,708,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"17,890,000","16,827,000","14,062,000","7,347,000","5,378,000","2,358,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"31,303,000","30,337,000","28,521,000","14,653,000","8,557,000","5,066,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-31,303,000","-30,337,000","-28,521,000","-14,653,000","-8,557,000","-5,066,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"330,000","330,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-30,807,000","-30,007,000","-28,521,000","-14,653,000","-8,557,000","-5,066,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,"-68,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-31,875,000","-30,007,000","-28,521,000","-14,653,000","-8,557,000","-5,134,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-31,875,000","-30,007,000","-28,521,000","-14,653,000","-8,557,000","-5,134,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,"1,783,000","778,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-31,875,000","-30,007,000","-28,521,000","-14,653,000","-10,340,000","-5,912,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"42,926,478","29,864,932","20,967,955","9,969,733","3,419,075","3,188,165",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"42,926,478","29,864,932","20,967,955","9,969,733","3,419,075","3,188,165",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),56.988%,42.431%,110.316%,191.592%,7.243%,1.654%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.743,-1.005,-1.360,-1.470,-3.024,-1.854,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.743,-1.005,-1.360,-1.470,-3.024,-1.854,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-25,197,000","-23,940,000","-27,826,000","-13,818,000","-7,133,000","-5,131,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.587,-0.802,-1.327,-1.386,-2.086,-1.609,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-29,501,000","-28,504,000","-27,913,000","-14,027,000","-8,469,000","-4,970,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,802,000","1,833,000","608,000","626,000","88,000","96,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-31,303,000","-30,337,000","-28,521,000","-14,653,000","-8,557,000","-5,066,000",Upgrade,Financials in USD,Fiscal year is January - December
