Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022",,
Revenue,-,"5,000,000",-,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,-,"5,000,000",-,-,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","4,717,000","10,058,000","5,231,000","6,000,000","7,039,000",Financials in USD,Fiscal year is January - December
Research & Development,"26,016,000","30,909,000","27,243,000","32,577,000","21,913,000",Financials in USD,Fiscal year is January - December
Other Operating Expenses,"-1,490,000","-541,000","-349,000","-122,000","-137,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"29,243,000","40,426,000","32,125,000","38,455,000","28,815,000",Financials in USD,Fiscal year is January - December
Operating Income,"-29,243,000","-35,426,000","-32,125,000","-38,455,000","-28,815,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-946,000","-549,000","-243,000","-171,000","-262,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,000",-,"63,000","469,000","81,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"2,575,000","10,165,000","-46,113,000","-5,913,000","13,792,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-27,612,000","-25,810,000","-78,418,000","-44,070,000","-15,204,000",Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"-160,000","644,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-27,612,000","-25,810,000","-78,418,000","-44,230,000","-14,560,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,"643,000",-,-,-,Financials in USD,Fiscal year is January - December
Net Income,"-27,612,000","-26,453,000","-78,418,000","-44,230,000","-14,560,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-27,612,000","-26,453,000","-78,418,000","-44,230,000","-14,560,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"26,128,336","20,414,712","8,480,000","8,480,000","8,480,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"26,128,336","20,414,712","8,480,000","8,480,000","8,480,000",Financials in USD,Fiscal year is January - December
Shares Change (YoY),208.117%,140.740%,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.057,-1.296,-9.247,-5.216,-1.717,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.057,-1.296,-9.247,-5.216,-1.717,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-28,493,000","-38,444,000","-18,408,000","-20,536,000","-23,936,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.091,-1.883,-2.171,-2.422,-2.823,Financials in USD,Fiscal year is January - December
Operating Margin,-,-708.520%,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-,-529.060%,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-768.880%,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-28,711,000","-34,859,000","-31,454,000","-37,958,000","-28,361,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"532,000","567,000","671,000","497,000","454,000",Financials in USD,Fiscal year is January - December
EBIT,"-29,243,000","-35,426,000","-32,125,000","-38,455,000","-28,815,000",Financials in USD,Fiscal year is January - December
