Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2017,Currency,Fiscal_Year_period
Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2017,,
"Selling, General & Admin","4,515,060","5,898,775","6,505,721","5,941,169","2,199,790","3,299,251",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"1,796,013","5,908,288","8,976,643","5,919,452","99,580","897,788",Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"6,311,073","11,807,063","15,482,364","11,860,621","2,299,370","4,197,039",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-6,311,073","-11,807,063","-15,482,364","-11,860,621","-2,299,370","-4,197,039",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-232,009","-145,153","-100,866","-68,134","-233,700","-819,711",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-52,043","-219,813","10,045","-17,323","-328,365","-65,445",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-6,595,125","-12,172,029","-15,573,185","-11,946,078","-2,861,435","-5,082,195",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"-922,495",-,-,"-364,950",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-6,595,125","-12,172,029","-16,495,680","-11,946,078","-2,861,435","-5,447,145",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-6,595,125","-12,172,029","-16,495,680","-11,946,078","-2,861,435","-5,447,145",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-6,595,125","-12,172,029","-16,495,680","-11,946,078","-2,861,435","-5,447,145",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,001,517","954,401","492,066","297,541","174,000","171,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,001,517","954,401","492,066","297,541","174,000","171,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),29.964%,93.958%,65.378%,71.001%,1.754%,9.615%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-6.585,-12.754,-33.523,-40.149,-16.445,-31.855,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-6.585,-12.754,-33.523,-40.149,-16.445,-31.855,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-3,918,432","-9,684,466","-13,879,371","-14,975,604","-729,386","-190,009",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-3.912,-10.147,-28.206,-50.331,-4.192,-1.111,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-6,299,665","-11,795,655","-15,470,956","-11,850,571",-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"11,408","11,408","11,408","10,050",-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-6,311,073","-11,807,063","-15,482,364","-11,860,621","-2,299,370","-4,197,039",Upgrade,Financials in USD,Fiscal year is January - December
