Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","8,734,000","9,256,000","11,246,000","2,343,000","1,700,000","1,374,000",Financials in USD,Fiscal year is January - December
Research & Development,"26,977,000","26,424,000","20,890,000","11,447,000","7,544,000","6,636,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"35,711,000","35,680,000","32,136,000","13,790,000","9,244,000","8,010,000",Financials in USD,Fiscal year is January - December
Operating Income,"-35,711,000","-35,680,000","-32,136,000","-13,790,000","-9,244,000","-8,010,000",Financials in USD,Fiscal year is January - December
Interest Expense,"-75,000","-75,000",-,-,-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"4,375,000","4,830,000","1,790,000","211,000","613,000","776,000",Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-210,000","-210,000","413,000","-412,000","101,000","-79,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"1,994,000","1,994,000","-3,809,000","-13,273,000","-194,000","-1,005,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-29,627,000","-29,141,000","-33,742,000","-27,264,000","-8,724,000","-8,318,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,"12,000","16,000","20,000","7,000","158,000","146,000",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-29,639,000","-29,157,000","-33,762,000","-27,271,000","-8,882,000","-8,464,000",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,-,-,"97,000",Financials in USD,Fiscal year is January - December
Net Income,"-29,639,000","-29,157,000","-33,762,000","-27,271,000","-8,882,000","-8,367,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-29,639,000","-29,157,000","-33,762,000","-27,271,000","-8,882,000","-8,367,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"69,785,258","69,377,922","63,534,875","40,534,697","40,274,935","33,815,448",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"69,785,258","69,377,922","63,534,875","40,534,697","40,274,935","33,815,448",Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.730%,9.197%,56.742%,0.645%,19.102%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.425,-0.420,-0.531,-0.673,-0.221,-0.247,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.425,-0.420,-0.531,-0.673,-0.221,-0.247,Financials in USD,Fiscal year is January - December
Free Cash Flow,-,"-24,359,000","-24,783,000","-14,739,000","-11,018,000","-8,203,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-,-0.351,-0.390,-0.364,-0.274,-0.243,Financials in USD,Fiscal year is January - December
EBITDA,"-34,565,750","-34,606,000","-31,157,000","-13,014,000","-9,158,000","-7,944,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,145,250","1,074,000","979,000","776,000","86,000","66,000",Financials in USD,Fiscal year is January - December
EBIT,"-35,711,000","-35,680,000","-32,136,000","-13,790,000","-9,244,000","-8,010,000",Financials in USD,Fiscal year is January - December
