Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",,
"Selling, General & Admin","4,891,000","5,729,000","5,649,000","2,632,000","818,000","899,000",Financials in USD,Fiscal year is January - December
Research & Development,"5,224,000","5,667,000","4,301,000","3,039,000","2,386,000","2,997,000",Financials in USD,Fiscal year is January - December
Operating Expenses,"10,115,000","11,396,000","9,950,000","5,671,000","3,204,000","3,896,000",Financials in USD,Fiscal year is January - December
Operating Income,"-10,115,000","-11,396,000","-9,950,000","-5,671,000","-3,204,000","-3,896,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,"-834,000","-587,000",-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"310,000","108,000","57,000",-,-,"63,000",Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"642,000","1,056,000","4,000","119,000","-7,000","-6,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-9,163,000","-10,232,000","-9,889,000","-6,386,000","-3,798,000","-3,839,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,"62,000",-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-9,163,000","-10,232,000","-9,889,000","-6,324,000","-3,798,000","-3,839,000",Financials in USD,Fiscal year is January - December
Net Income,"-9,163,000","-10,232,000","-9,889,000","-6,324,000","-3,798,000","-3,839,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-9,163,000","-10,232,000","-9,889,000","-6,324,000","-3,798,000","-3,839,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"18,668,753","10,290,667","9,051,726","5,217,000","2,214,000","2,177,200",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"18,668,753","10,290,667","9,051,726","5,217,000","2,214,000","2,177,200",Financials in USD,Fiscal year is January - December
Shares Change (YoY),88.794%,13.687%,73.504%,135.637%,1.690%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.491,-0.994,-1.092,-1.212,-1.715,-1.763,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.493,-0.994,-1.092,-1.212,-1.715,-1.763,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-8,748,000","-10,258,000","-8,811,000","-5,931,000","-3,528,000","-3,350,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.469,-0.997,-0.973,-1.137,-1.593,-1.539,Financials in USD,Fiscal year is January - December
EBITDA,-,"-11,390,000","-9,944,000","-5,662,000",-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,"6,000","6,000","9,000",-,-,Financials in USD,Fiscal year is January - December
EBIT,"-10,115,000","-11,396,000","-9,950,000","-5,671,000","-3,204,000","-3,896,000",Financials in USD,Fiscal year is January - December
