Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020",,
Revenue,"35,688","17,065",950,901,-,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),180.897%,1696.316%,5.438%,-,-,Financials in USD,Fiscal year is January - December
Gross Profit,"35,688","17,065",950,901,-,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","8,377,111","7,095,160","4,492,953","573,881","596,997",Financials in USD,Fiscal year is January - December
Research & Development,"30,859","145,182","40,448","31,468","1,500",Financials in USD,Fiscal year is January - December
Operating Expenses,"8,427,161","7,259,524","4,549,401","621,349","609,164",Financials in USD,Fiscal year is January - December
Operating Income,"-8,391,473","-7,242,459","-4,548,451","-620,448","-609,164",Financials in USD,Fiscal year is January - December
Interest Expense,"-111,614","-6,735,013",-,-,-,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"1,144","1,068",-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-195,832","5,406,220",-,-,"4,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-8,697,775","-8,570,184","-4,548,451","-620,448","-605,164",Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,"-112,534",-,-,Financials in USD,Fiscal year is January - December
Other Unusual Items,"444,701","193,350",-,-,-,Financials in USD,Fiscal year is January - December
Pretax Income,"-8,253,074","-8,376,834","-4,660,985","-620,448","-605,164",Financials in USD,Fiscal year is January - December
Net Income,"-8,253,074","-8,376,834","-4,660,985","-620,448","-605,164",Financials in USD,Fiscal year is January - December
Net Income to Common,"-8,253,074","-8,376,834","-4,660,985","-620,448","-605,164",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"21,792,000","12,685,133","3,087,683","1,163,222","1,035,403",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"21,792,000","12,685,133","3,087,683","1,163,222","1,035,403",Financials in USD,Fiscal year is January - December
Shares Change (YoY),212.666%,310.830%,165.442%,12.345%,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.379,-0.660,-1.510,-0.533,-0.584,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.379,-0.660,-1.510,-0.533,-0.584,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-6,034,666","-6,247,838","-5,090,968","-585,291","25,859",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.277,-0.493,-1.649,-0.503,0.025,Financials in USD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,100.000%,-,Financials in USD,Fiscal year is January - December
Operating Margin,-23513.430%,-42440.428%,-478784.316%,-68862.153%,-,Financials in USD,Fiscal year is January - December
Profit Margin,-23125.628%,-49087.805%,-490630.000%,-68862.153%,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-16909.510%,-36612.001%,-535891.368%,-64960.155%,-,Financials in USD,Fiscal year is January - December
EBITDA,"-8,137,683","-7,130,839","-4,532,451","-604,448","-598,497",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"253,790","111,620","16,000","16,000","10,667",Financials in USD,Fiscal year is January - December
EBIT,"-8,391,473","-7,242,459","-4,548,451","-620,448","-609,164",Financials in USD,Fiscal year is January - December
Advertising Expenses,-,"158,514","92,700","103,318","5,476",Financials in USD,Fiscal year is January - December
