Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+3 Quarters,,
Cost of Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,862,000",-,"6,682,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-7,862,000",-,"-6,682,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","8,544,000","7,585,000","7,525,000","2,563,000","7,100,000","7,636,000","8,178,000","8,139,000","6,827,000","6,563,000","6,530,000","5,586,000","5,812,000","5,677,000","5,942,000","6,728,000","3,918,000","2,493,000","2,148,000","1,966,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,"25,250,000","23,130,000","25,237,000","23,322,000","22,194,000","25,122,000","26,135,000","26,844,000","23,435,000","21,049,000","19,568,000","17,301,000","16,616,000","15,957,000","13,539,000","11,270,000","9,828,000",-,"7,260,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"33,794,000","30,715,000","32,762,000","25,885,000","29,294,000","32,758,000","34,313,000","34,983,000","30,262,000","27,612,000","26,098,000","22,887,000","22,428,000","21,634,000","19,481,000","17,998,000","13,746,000","2,493,000","9,408,000","1,966,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-33,794,000","-30,715,000","-32,762,000","-25,885,000","-29,294,000","-32,758,000","-34,313,000","-34,983,000","-30,262,000","-27,612,000","-26,098,000","-22,887,000","-22,428,000","-21,634,000","-19,481,000","-17,998,000","-13,746,000","-10,355,000","-9,408,000","-8,648,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-45,000",-,-,-,"-1,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"5,453,000","5,724,000","3,246,000","3,456,000","3,616,000","3,570,000","3,465,000","2,890,000","1,900,000","686,000","112,000","75,000","81,000","104,000","110,000",-,"206,000","27,000","124,000","244,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"-3,000","-2,000","-2,000","-59,000","33,000","1,000","33,000","1,000","17,000","3,000","-1,000","-2,000","-6,000","-5,000","-2,000","146,000","-153,000","-40,737,000","578,000","-2,082,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-28,344,000","-24,993,000","-29,518,000","-22,488,000","-25,645,000","-29,187,000","-30,815,000","-32,092,000","-28,345,000","-26,923,000","-25,987,000","-22,814,000","-22,353,000","-21,535,000","-19,373,000","-17,897,000","-13,693,000","-51,065,000","-8,706,000","-10,487,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,"-1,200,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"34,000",-,-,-,"-490,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,"-4,100,000",-,"-4,100,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-28,344,000","-24,993,000","-29,518,000","-27,754,000","-25,645,000","-33,287,000","-30,815,000","-32,582,000","-28,345,000","-26,923,000","-25,987,000","-22,814,000","-22,353,000","-21,535,000","-19,373,000","-17,897,000","-13,693,000","-51,065,000","-8,706,000","-10,487,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-28,344,000","-24,993,000","-29,518,000","-27,754,000","-25,645,000","-33,287,000","-30,815,000","-32,582,000","-28,345,000","-26,923,000","-25,987,000","-22,814,000","-22,353,000","-21,535,000","-19,373,000","-17,897,000","-13,693,000","-51,065,000","-8,706,000","-10,487,000",Upgrade,Financials in USD,Fiscal year is January - December
