Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters,,
Revenue,"40,901,000","128,231,000","5,678,000","231,000","7,319,000","5,130,000","47,601,000","11,028,000","7,007,000","5,538,000","3,575,000","1,417,000","1,203,000","3,095,000","434,000","1,502,000","1,193,000","502,000","761,000","728,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue Growth (YoY),458.833%,2399.630%,-88.072%,-97.905%,4.453%,-7.367%,1231.497%,678.264%,482.461%,78.934%,723.733%,-5.659%,0.838%,516.534%,-42.970%,106.319%,403.376%,219.745%,-,-50.778%,Upgrade,Financials in USD,Fiscal year is January - December
Cost of Revenue,"34,304,000","40,448,000","35,207,000","126,509,000","37,788,000","29,965,000","25,548,000","127,726,000",-,"34,740,000","36,752,000","29,505,000","28,211,000","28,868,000","24,506,000","25,777,000","24,067,000","20,460,000","21,264,000","20,354,000",Upgrade,Financials in USD,Fiscal year is January - December
Gross Profit,"6,597,000","87,783,000","-29,529,000","-126,278,000","-30,469,000","-24,835,000","22,053,000","-116,698,000","7,007,000","-29,202,000","-33,177,000","-28,088,000","-27,008,000","-25,773,000","-24,072,000","-24,275,000","-22,874,000","-19,958,000","-20,503,000","-19,626,000",Upgrade,Financials in USD,Fiscal year is January - December
"Selling, General & Admin","21,277,000","19,083,000","19,732,000","16,879,000","16,164,000","20,073,000","14,621,000","12,921,000","16,815,000","14,550,000","16,804,000","14,776,000","15,173,000","13,539,000","13,817,000","13,238,000","13,001,000","10,295,000","9,261,000","10,729,000",Upgrade,Financials in USD,Fiscal year is January - December
Research & Development,-,-,-,"-93,301,000",-,-,-,"-104,674,000","33,182,000",-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Expenses,"21,277,000","19,083,000","19,732,000","-76,422,000","16,164,000","20,073,000","14,621,000","-91,753,000","49,997,000","14,550,000","16,804,000","14,776,000","15,173,000","13,539,000","13,817,000","13,238,000","13,001,000","10,295,000","9,261,000","10,729,000",Upgrade,Financials in USD,Fiscal year is January - December
Operating Income,"-14,680,000","68,700,000","-49,261,000","-49,856,000","-46,633,000","-44,908,000","7,432,000","-24,945,000","-42,990,000","-43,752,000","-49,981,000","-42,864,000","-42,181,000","-39,312,000","-37,889,000","-37,513,000","-35,875,000","-30,253,000","-29,764,000","-30,355,000",Upgrade,Financials in USD,Fiscal year is January - December
Interest Expense,"-1,109,000","-526,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,711,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Interest & Investment Income,"2,096,000","1,376,000","1,345,000","1,596,000","2,149,000","1,543,000","676,000","523,000","324,000","357,000","338,000","179,000","225,000","266,000","425,000",-,"2,147,000","1,147,000","730,000","448,000",Upgrade,Financials in USD,Fiscal year is January - December
Currency Exchange Gain (Loss),"-3,093,000","497,000","-61,000","-313,000","-324,000","501,000","-671,000","-1,537,000","1,644,000","-655,000","12,000","4,036,000","-237,000","54,000","-1,000","2,606,000","-1,689,000","-749,000","937,000","-137,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,"-198,000",-,-,-,-,-,-,-,"-6,000",-,-,-,"-32,000",-,-,-,"755,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-16,786,000","70,047,000","-47,977,000","-48,771,000","-44,808,000","-42,864,000","7,437,000","-25,959,000","-41,022,000","-44,050,000","-49,631,000","-38,655,000","-42,193,000","-38,992,000","-37,465,000","-36,650,000","-35,417,000","-29,855,000","-28,097,000","-29,289,000",Upgrade,Financials in USD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,-,"-5,776,000","-2,297,000",-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,"198,000",-,-,-,-,-,-,-,"6,000",-,-,-,"89,000",-,-,-,"13,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,"-106,000","22,155,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-16,786,000","70,047,000","-47,977,000","-48,573,000","-44,914,000","-20,709,000","1,661,000","-28,256,000","-41,022,000","-44,050,000","-49,631,000","-38,649,000","-42,193,000","-38,992,000","-37,465,000","-36,561,000","-35,417,000","-29,855,000","-28,097,000","-29,276,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"831,000","526,000","526,000","-656,000","687,000","680,000","625,000","994,000","399,000","470,000","634,000","209,000","208,000","76,000","298,000","52,000","15,000","25,000","70,000","88,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-17,617,000","69,521,000","-48,503,000","-47,917,000","-45,601,000","-21,389,000","1,036,000","-29,250,000","-41,421,000","-44,520,000","-50,265,000","-38,858,000","-42,401,000","-39,068,000","-37,763,000","-36,613,000","-35,432,000","-29,880,000","-28,167,000","-29,364,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-17,617,000","69,521,000","-48,503,000","-47,917,000","-45,601,000","-21,389,000","1,036,000","-29,250,000","-41,421,000","-44,520,000","-50,265,000","-38,858,000","-42,401,000","-39,068,000","-37,763,000","-36,613,000","-35,432,000","-29,880,000","-28,167,000","-29,364,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"255,768,996","255,588,640","241,873,610","227,112,063","226,308,276","184,694,493","165,221,734","164,119,206","163,465,186","160,465,679","156,671,541","156,221,452","156,100,108","155,704,683","155,181,468","154,779,360","154,670,343","137,120,926","123,292,229","105,165,680",Upgrade,Financials in USD,Fiscal year is January - December
