Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Currency,Fiscal_Year_period
Period Ending,"Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022",,
"Selling, General & Admin","565,413","556,967","247,762","451,034","567,592","567,666","331,154","332,022",Financials in USD,Fiscal year is April - March
Research & Development,"85,082","75,136","-11,454","531,106","727,787","727,810","2,533","103,723",Financials in USD,Fiscal year is April - March
Operating Expenses,"650,614","632,221","236,308","982,140","1,295,379","1,295,477","333,687","435,745",Financials in USD,Fiscal year is April - March
Operating Income,"-650,614","-632,221","-236,308","-982,140","-1,295,379","-1,295,477","-333,687","-435,745",Financials in USD,Fiscal year is April - March
Interest Expense,"-12,881","-12,536","-37,474","-18,403",-,-,-,-,Financials in USD,Fiscal year is April - March
Interest & Investment Income,"1,067","1,067",-,-,297,297,"1,090",649,Financials in USD,Fiscal year is April - March
Currency Exchange Gain (Loss),"55,858","57,308","-141,626","-77,464","14,835","14,834","-2,005","-1,866",Financials in USD,Fiscal year is April - March
Other Non Operating Income (Expenses),"-2,346,296","-2,346,296","-11,454",-,-,-,-,-,Financials in USD,Fiscal year is April - March
EBT Excluding Unusual Items,"-2,952,866","-2,932,677","-426,862","-1,078,006","-1,280,247","-1,280,345","-334,602","-436,962",Financials in USD,Fiscal year is April - March
Other Unusual Items,"-21,830,565","-21,830,565",-,-,-,-,-,-,Financials in USD,Fiscal year is April - March
Pretax Income,"-24,783,431","-24,763,242","-426,862","-1,078,006","-1,280,247","-1,280,345","-334,602","-436,962",Financials in USD,Fiscal year is April - March
Net Income,"-24,783,431","-24,763,242","-426,862","-1,078,006","-1,280,247","-1,280,345","-334,602","-436,962",Financials in USD,Fiscal year is April - March
Net Income to Common,"-24,783,431","-24,763,242","-426,862","-1,078,006","-1,280,247","-1,280,345","-334,602","-436,962",Financials in USD,Fiscal year is April - March
Shares Outstanding (Basic),"178,542","178,542","178,542",-,"66,667",-,-,-,Financials in USD,Fiscal year is April - March
Shares Outstanding (Diluted),"178,542","178,542","178,542",-,"66,667",-,-,-,Financials in USD,Fiscal year is April - March
Shares Change (YoY),167.812%,-,-,-,-,-,-,-,Financials in USD,Fiscal year is April - March
EPS (Basic),-138.810,-138.697,-2.391,-,-19.204,-,-,-,Financials in USD,Fiscal year is April - March
EPS (Diluted),-138.810,-138.697,-2.391,-,-19.204,-,-,-,Financials in USD,Fiscal year is April - March
Free Cash Flow,"-685,183","-665,140","-1,070,249","-1,070,249","-521,930","-522,013","-370,874","-370,874",Financials in USD,Fiscal year is April - March
Free Cash Flow Per Share,-3.838,-3.725,-5.994,-,-7.829,-,-,-,Financials in USD,Fiscal year is April - March
EBITDA,"-650,554","-632,101",-,-,-,-,-,-,Financials in USD,Fiscal year is April - March
D&A For EBITDA,60,120,-,-,-,-,-,-,Financials in USD,Fiscal year is April - March
EBIT,"-650,614","-632,221","-236,308","-982,140","-1,295,379","-1,295,477","-333,687","-435,745",Financials in USD,Fiscal year is April - March
