Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Period Ending,"Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020","Dec '19 Dec 31, 2019",2018 - 2014,,
Revenue,"327,427,000","266,718,000","51,174,000","7,778,000","6,953,000","13,375,000",Upgrade,Financials in EUR,Fiscal year is January - December
Revenue Growth (YoY),115.537%,421.198%,557.933%,11.865%,-48.015%,26.406%,Upgrade,Financials in EUR,Fiscal year is January - December
Cost of Revenue,"49,692,000","44,395,000","12,137,000","3,523,000",-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Gross Profit,"277,735,000","222,323,000","39,037,000","4,255,000","6,953,000","13,375,000",Upgrade,Financials in EUR,Fiscal year is January - December
"Selling, General & Admin","274,903,000","264,410,000","221,227,000","160,180,000","76,669,000","48,473,000",Upgrade,Financials in EUR,Fiscal year is January - December
Research & Development,"318,589,000","413,454,000","379,624,000","295,867,000","260,904,000","191,621,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Expenses,"593,492,000","677,864,000","600,851,000","456,047,000","337,573,000","240,094,000",Upgrade,Financials in EUR,Fiscal year is January - December
Operating Income,"-315,757,000","-455,541,000","-561,814,000","-451,792,000","-330,620,000","-226,719,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest Expense,"-109,779,000","-44,065,000","-30,682,000","-3,911,000","-1,918,000","-1,221,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest & Investment Income,-,"16,857,000","7,426,000","692,000","1,812,000","10,056,000",Upgrade,Financials in EUR,Fiscal year is January - December
Earnings From Equity Investments,"-18,409,000","-18,395,000","-17,697,000","12,041,000","-9,524,000","-8,113,000",Upgrade,Financials in EUR,Fiscal year is January - December
Currency Exchange Gain (Loss),"12,346,000","12,346,000","40,433,000","59,026,000","-78,924,000","7,747,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Non Operating Income (Expenses),"14,654,000","14,654,000","-15,483,000",-,-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Pretax Income,"-416,945,000","-474,144,000","-577,817,000","-383,944,000","-419,174,000","-218,250,000",Upgrade,Financials in EUR,Fiscal year is January - December
Income Tax Expense,"9,548,000","7,303,000","5,377,000","-367,000","-219,000","-234,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income,"-426,493,000","-481,447,000","-583,194,000","-383,577,000","-418,955,000","-218,016,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income to Common,"-426,493,000","-481,447,000","-583,194,000","-383,577,000","-418,955,000","-218,016,000",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Basic),"57,082,666","56,287,060","56,071,793","54,771,763","50,616,528","46,506,862",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Diluted),"57,082,666","56,287,060","56,071,793","54,771,763","50,616,528","46,506,862",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Change (YoY),1.695%,0.384%,2.374%,8.209%,8.837%,13.196%,Upgrade,Financials in EUR,Fiscal year is January - December
EPS (Basic),-7.471,-8.553,-10.401,-7.003,-8.277,-4.688,Upgrade,Financials in EUR,Fiscal year is January - December
EPS (Diluted),-7.471,-8.553,-10.401,-7.003,-8.277,-4.688,Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow,"-262,436,000","-469,803,000","-510,188,000","-441,353,000","-291,408,000","-181,095,000",Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow Per Share,-4.597,-8.347,-9.099,-8.058,-5.757,-3.894,Upgrade,Financials in EUR,Fiscal year is January - December
Gross Margin,84.823%,83.355%,76.283%,54.705%,100.000%,100.000%,Upgrade,Financials in EUR,Fiscal year is January - December
Operating Margin,-96.436%,-170.795%,-1097.850%,-5808.588%,-4755.070%,-1695.095%,Upgrade,Financials in EUR,Fiscal year is January - December
Profit Margin,-130.256%,-180.508%,-1139.629%,-4931.563%,-6025.529%,-1630.026%,Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow Margin,-80.151%,-176.142%,-996.967%,-5674.376%,-4191.112%,-1353.981%,Upgrade,Financials in EUR,Fiscal year is January - December
EBITDA,"-309,899,000","-448,988,000","-556,040,000","-436,846,000","-321,172,000","-225,267,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBITDA Margin,-94.647%,-168.338%,-,-,-,-,Upgrade,Financials in EUR,Fiscal year is January - December
D&A For EBITDA,"5,858,000","6,553,000","5,774,000","14,946,000","9,448,000","1,452,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBIT,"-315,757,000","-455,541,000","-561,814,000","-451,792,000","-330,620,000","-226,719,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBIT Margin,-96.436%,-170.795%,-,-,-,-,Upgrade,Financials in EUR,Fiscal year is January - December
